ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1538,49.0%,250,48.9%,345,48.9%,108,55.1%,819,48.4%,60.2%,62.5%,80,15,465,50.0%
2,Female,1598,51.0%,261,51.1%,361,51.1%,88,44.9%,874,51.6%,39.8%,37.5%,53,9,465,50.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,145,4.6%,9,1.8%,46,6.5%,3,1.5%,87,5.1%,0.0%,0.0%,0,0,38,4.1%
5,10-19 Years,317,10.1%,41,8.0%,57,8.1%,20,10.2%,191,11.3%,0.8%,0.0%,1,0,87,9.4%
6,20-29 Years,774,24.7%,126,24.7%,177,25.1%,30,15.3%,433,25.6%,6.8%,0.0%,9,0,210,22.6%
7,30-39 Years,594,18.9%,104,20.4%,133,18.8%,40,20.4%,312,18.4%,11.3%,8.3%,15,2,187,20.1%
8,40-49 Years,423,13.5%,81,15.9%,87,12.3%,36,18.4%,214,12.6%,9.0%,4.2%,12,1,137,14.7%
9,50-59 Years,405,12.9%,66,12.9%,108,15.3%,27,13.8%,203,12.0%,19.5%,12.5%,26,3,128,13.8%
10,60-69 Years,294,9.4%,50,9.8%,65,9.2%,25,12.8%,152,9.0%,19.5%,12.5%,26,3,98,10.5%
11,70-79 Years,137,4.4%,27,5.3%,23,3.3%,14,7.1%,73,4.3%,23.3%,45.8%,31,11,38,4.1%
12,80+ Years,47,1.5%,7,1.4%,10,1.4%,1,0.5%,28,1.7%,9.8%,16.7%,13,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,165,5.3%,41,8.0%,64,9.1%,24,12.2%,34,2.0%,5.3%,0.0%,7,0,96,10.3%
15,Non-Hispanic,1308,41.7%,405,79.3%,511,72.4%,147,75.0%,232,13.7%,80.5%,100.0%,107,24,753,81.0%
16,UI Ethnicity,1427,45.5%,0,0.0%,0,0.0%,0,0.0%,1427,84.3%,11.3%,0.0%,15,0,1,0.1%
17,Unknown Ethnicity,236,7.5%,65,12.7%,131,18.6%,25,12.8%,0,0.0%,3.0%,0.0%,4,0,80,8.6%
18,White,892,28.4%,249,48.7%,341,48.3%,138,70.4%,160,9.5%,36.8%,45.8%,49,11,525,56.5%
19,Black,92,2.9%,31,6.1%,19,2.7%,12,6.1%,28,1.7%,3.0%,0.0%,4,0,36,3.9%
20,AI/AN,407,13.0%,109,21.3%,116,16.4%,9,4.6%,167,9.9%,24.8%,33.3%,33,8,139,14.9%
21,Asian,89,2.8%,20,3.9%,46,6.5%,7,3.6%,15,0.9%,7.5%,8.3%,10,2,61,6.6%
22,NHOPI,122,3.9%,30,5.9%,43,6.1%,1,0.5%,48,2.8%,15.8%,12.5%,21,3,38,4.1%
23,Multiple,84,2.7%,20,3.9%,29,4.1%,8,4.1%,26,1.5%,0.0%,0.0%,0,0,40,4.3%
24,Other,60,1.9%,9,1.8%,17,2.4%,8,4.1%,25,1.5%,3.0%,0.0%,4,0,26,2.8%
25,UI Race,1224,39.0%,0,0.0%,0,0.0%,0,0.0%,1224,72.3%,6.0%,0.0%,8,0,3,0.3%
26,Unknown Race,166,5.3%,43,8.4%,95,13.5%,13,6.6%,0,0.0%,3.0%,0.0%,4,0,62,6.7%
