Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4151,50.5%,509,52.9%,658,51.0%,147,50.7%,2802,50.0%,163,54.3%,38,65.5%,1,2277,49.2%
Female,4066,49.5%,454,47.1%,633,49.0%,143,49.3%,2807,50.0%,137,45.7%,20,34.5%,2,2349,50.8%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,421,5.1%,17,1.8%,77,6.0%,8,2.8%,318,5.7%,3,1.0%,0,0.0%,4,234,5.1%
10-19 Years,848,10.3%,78,8.1%,129,10.0%,42,14.5%,586,10.4%,2,0.7%,0,0.0%,5,498,10.8%
20-29 Years,2033,24.7%,271,28.1%,350,27.1%,53,18.3%,1345,24.0%,17,5.7%,0,0.0%,6,1133,24.5%
30-39 Years,1551,18.9%,190,19.7%,240,18.6%,57,19.7%,1052,18.8%,26,8.7%,2,3.4%,7,915,19.8%
40-49 Years,1103,13.4%,149,15.5%,150,11.6%,46,15.9%,745,13.3%,41,13.7%,4,6.9%,8,611,13.2%
50-59 Years,1060,12.9%,115,11.9%,176,13.6%,37,12.8%,731,13.0%,54,18.0%,6,10.3%,9,593,12.8%
60-69 Years,742,9.0%,97,10.1%,95,7.4%,29,10.0%,517,9.2%,57,19.0%,11,19.0%,10,418,9.0%
70-79 Years,323,3.9%,36,3.7%,46,3.6%,17,5.9%,221,3.9%,64,21.3%,21,36.2%,11,166,3.6%
80+ Years,136,1.7%,10,1.0%,28,2.2%,1,0.3%,94,1.7%,36,12.0%,14,24.1%,12,58,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,668,8.1%,80,8.3%,131,10.1%,30,10.3%,420,7.5%,19,6.3%,1,1.7%,14,482,10.4%
Non-Hispanic,4755,57.9%,740,76.8%,957,74.1%,218,75.2%,2804,50.0%,237,79.0%,51,87.9%,15,3490,75.4%
UI Ethnicity,2385,29.0%,0,0.0%,0,0.0%,0,0.0%,2385,42.5%,29,9.7%,1,1.7%,16,407,8.8%
Unknown Ethnicity,409,5.0%,143,14.8%,203,15.7%,42,14.5%,0,0.0%,15,5.0%,5,8.6%,17,247,5.3%
White,2763,33.6%,411,42.7%,550,42.6%,186,64.1%,1597,28.5%,84,28.0%,23,39.7%,18,2055,44.4%
Black,363,4.4%,66,6.9%,94,7.3%,18,6.2%,181,3.2%,8,2.7%,2,3.4%,19,235,5.1%
AI/AN,1833,22.3%,246,25.5%,264,20.4%,21,7.2%,1285,22.9%,93,31.0%,21,36.2%,20,969,20.9%
Asian,367,4.5%,35,3.6%,63,4.9%,9,3.1%,258,4.6%,20,6.7%,4,6.9%,21,245,5.3%
NHOPI,436,5.3%,62,6.4%,99,7.7%,3,1.0%,271,4.8%,51,17.0%,7,12.1%,22,312,6.7%
Multiple,355,4.3%,51,5.3%,50,3.9%,10,3.4%,241,4.3%,11,3.7%,0,0.0%,23,219,4.7%
Other,292,3.6%,21,2.2%,37,2.9%,12,4.1%,221,3.9%,11,3.7%,0,0.0%,24,158,3.4%
UI Race,1555,18.9%,0,0.0%,0,0.0%,0,0.0%,1555,27.7%,14,4.7%,0,0.0%,25,268,5.8%
Unknown Race,253,3.1%,71,7.4%,134,10.4%,31,10.7%,0,0.0%,8,2.7%,1,1.7%,26,165,3.6%
