ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Sex,,,,,,,,,,,,,,
2,Male,391,50.3%,104,51.0%,155,47.0%,71,59.2%,61,49.2%,60.3%,50.0%,38,6
3,Female,387,49.7%,100,49.0%,175,53.0%,49,40.8%,63,50.8%,39.7%,50.0%,25,6
4,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
5,Age Group,,,,,,,,,,,,,,
6,<10 Years,25,3.2%,2,1.0%,13,3.9%,2,1.7%,8,6.5%,0.0%,0.0%,0,0
7,10-19 Years,58,7.5%,16,7.8%,27,8.2%,3,2.5%,12,9.7%,1.6%,0.0%,1,0
8,20-29 Years,146,18.8%,30,14.7%,69,20.9%,15,12.5%,32,25.8%,4.8%,0.0%,3,0
9,30-39 Years,151,19.4%,44,21.6%,56,17.0%,23,19.2%,28,22.6%,9.5%,16.7%,6,2
10,40-49 Years,123,15.8%,35,17.2%,44,13.3%,24,20.0%,20,16.1%,6.3%,0.0%,4,0
11,50-59 Years,128,16.5%,34,16.7%,66,20.0%,19,15.8%,9,7.3%,17.5%,8.3%,11,1
12,60-69 Years,85,10.9%,22,10.8%,33,10.0%,20,16.7%,10,8.1%,17.5%,8.3%,11,1
13,70-79 Years,45,5.8%,16,7.8%,14,4.2%,13,10.8%,2,1.6%,31.7%,50.0%,20,6
14,80+ Years,17,2.2%,5,2.5%,8,2.4%,1,0.8%,3,2.4%,11.1%,16.7%,7,2
15,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
16,Ethnicity,,,,,,,,,,,,,,
17,Hispanic,53,6.8%,12,5.9%,29,8.8%,11,9.2%,1,0.8%,7.9%,0.0%,5,0
18,Non-Hispanic,599,77.0%,177,86.8%,287,87.0%,102,85.0%,33,26.6%,87.3%,100.0%,55,12
19,Unknown Ethnicity,126,16.2%,15,7.4%,14,4.2%,7,5.8%,90,72.6%,4.8%,0.0%,3,0
20,Race,,,,,,,,,,,,,,
21,White,449,57.7%,131,64.2%,205,62.1%,97,80.8%,16,12.9%,60.3%,58.3%,38,7
22,Black,21,2.7%,8,3.9%,7,2.1%,5,4.2%,1,0.8%,0.0%,0.0%,0,0
23,AI/AN,85,10.9%,30,14.7%,35,10.6%,1,0.8%,19,15.3%,11.1%,16.7%,7,2
24,Asian,58,7.5%,12,5.9%,40,12.1%,5,4.2%,1,0.8%,12.7%,16.7%,8,2
25,NHOPI,18,2.3%,4,2.0%,12,3.6%,1,0.8%,1,0.8%,7.9%,8.3%,5,1
26,Multiple,27,3.5%,10,4.9%,12,3.6%,3,2.5%,2,1.6%,0.0%,0.0%,0,0
27,Other,16,2.1%,2,1.0%,9,2.7%,4,3.3%,1,0.8%,6.3%,0.0%,4,0
28,Unknown Race,104,13.4%,7,3.4%,10,3.0%,4,3.3%,83,66.9%,1.6%,0.0%,1,0
29,Grand Total,778,100.0%,204,100.0%,330,100.0%,120,100.0%,124,100.0%,100.0%,100.0%,63,12
