ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,331,49.8%,83,49.1%,127,47.2%,64,58.7%,57,48.7%,30,56.6%,6,50.0%
2,Female,333,50.2%,86,50.9%,142,52.8%,45,41.3%,60,51.3%,23,43.4%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,20,3.0%,2,1.2%,13,4.8%,2,1.8%,3,2.6%,0,0.0%,0,0.0%
5,10-19 Years,47,7.1%,15,8.9%,23,8.6%,3,2.8%,6,5.1%,1,1.9%,0,0.0%
6,20-29 Years,119,17.9%,24,14.2%,58,21.6%,15,13.8%,22,18.8%,3,5.7%,0,0.0%
7,30-39 Years,133,20.0%,37,21.9%,49,18.2%,21,19.3%,26,22.2%,6,11.3%,2,16.7%
8,40-49 Years,99,14.9%,27,16.0%,31,11.5%,21,19.3%,20,17.1%,2,3.8%,0,0.0%
9,50-59 Years,112,16.9%,29,17.2%,54,20.1%,17,15.6%,12,10.3%,9,17.0%,1,8.3%
10,60-69 Years,76,11.4%,20,11.8%,26,9.7%,17,15.6%,13,11.1%,9,17.0%,1,8.3%
11,70-79 Years,42,6.3%,11,6.5%,12,4.5%,12,11.0%,7,6.0%,18,34.0%,6,50.0%
12,80+ Years,16,2.4%,4,2.4%,3,1.1%,1,0.9%,8,6.8%,5,9.4%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,48,7.2%,10,5.9%,27,10.0%,8,7.3%,3,2.6%,4,7.5%,0,0.0%
15,Non-Hispanic,517,77.9%,150,88.8%,232,86.2%,93,85.3%,42,35.9%,46,86.8%,12,100.0%
16,Unknown Ethnicity,99,14.9%,9,5.3%,10,3.7%,8,7.3%,72,61.5%,3,5.7%,0,0.0%
17,White,381,57.4%,104,61.5%,163,60.6%,88,80.7%,26,22.2%,29,54.7%,7,58.3%
18,Black,17,2.6%,7,4.1%,2,0.7%,5,4.6%,3,2.6%,0,0.0%,0,0.0%
19,AI/AN,72,10.8%,26,15.4%,29,10.8%,1,0.9%,16,13.7%,7,13.2%,2,16.7%
20,Asian,58,8.7%,12,7.1%,39,14.5%,4,3.7%,3,2.6%,7,13.2%,2,16.7%
21,NHOPI,17,2.6%,4,2.4%,10,3.7%,1,0.9%,2,1.7%,5,9.4%,1,8.3%
22,Multiple,24,3.6%,9,5.3%,9,3.3%,3,2.8%,3,2.6%,0,0.0%,0,0.0%
23,Other,15,2.3%,2,1.2%,8,3.0%,2,1.8%,3,2.6%,4,7.5%,0,0.0%
24,Unknown Race,80,12.0%,5,3.0%,9,3.3%,5,4.6%,61,52.1%,1,1.9%,0,0.0%
25,Grand Total,664,100.0%,169,100.0%,269,100.0%,109,100.0%,117,100.0%,53,100.0%,12,100.0%
