FID,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,304,49.8%,80,50.3%,116,45.8%,60,58.3%,48,50.5%,28,57.1%,5,45.5%
2,Female,306,50.2%,79,49.7%,137,54.2%,43,41.7%,47,49.5%,21,42.9%,6,54.5%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,19,3.1%,3,1.9%,13,5.1%,0,0.0%,3,3.2%,0,0.0%,0,0.0%
5,10-19 Years,44,7.2%,15,9.4%,23,9.1%,3,2.9%,3,3.2%,1,2.0%,0,0.0%
6,20-29 Years,111,18.2%,24,15.1%,56,22.1%,14,13.6%,17,17.9%,3,6.1%,0,0.0%
7,30-39 Years,121,19.8%,33,20.8%,47,18.6%,20,19.4%,21,22.1%,5,10.2%,2,18.2%
8,40-49 Years,83,13.6%,26,16.4%,25,9.9%,20,19.4%,12,12.6%,2,4.1%,0,0.0%
9,50-59 Years,109,17.9%,27,17.0%,50,19.8%,16,15.5%,16,16.8%,9,18.4%,1,9.1%
10,60-69 Years,70,11.5%,18,11.3%,25,9.9%,17,16.5%,10,10.5%,9,18.4%,1,9.1%
11,70-79 Years,38,6.2%,9,5.7%,11,4.3%,12,11.7%,6,6.3%,16,32.7%,6,54.5%
12,80+ Years,15,2.5%,4,2.5%,3,1.2%,1,1.0%,7,7.4%,4,8.2%,1,9.1%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,45,7.4%,10,6.3%,26,10.3%,8,7.8%,1,1.1%,4,8.2%,0,0.0%
15,Non-Hispanic,486,79.7%,140,88.1%,219,86.6%,88,85.4%,39,41.1%,43,87.8%,11,100.0%
16,Unknown Ethnicity,79,13.0%,9,5.7%,8,3.2%,7,6.8%,55,57.9%,2,4.1%,0,0.0%
17,White,356,58.4%,97,61.0%,151,59.7%,84,81.6%,24,25.3%,27,55.1%,6,54.5%
18,Black,16,2.6%,7,4.4%,1,0.4%,5,4.9%,3,3.2%,0,0.0%,0,0.0%
19,AI/AN,69,11.3%,24,15.1%,29,11.5%,1,1.0%,15,15.8%,7,14.3%,2,18.2%
20,Asian,57,9.3%,12,7.5%,39,15.4%,4,3.9%,2,2.1%,7,14.3%,2,18.2%
21,NHOPI,16,2.6%,3,1.9%,10,4.0%,1,1.0%,2,2.1%,4,8.2%,1,9.1%
22,Multiple,23,3.8%,9,5.7%,9,3.6%,2,1.9%,3,3.2%,0,0.0%,0,0.0%
23,Other,12,2.0%,2,1.3%,8,3.2%,2,1.9%,0,0.0%,4,8.2%,0,0.0%
24,Unknown Race,61,10.0%,5,3.1%,6,2.4%,4,3.9%,46,48.4%,0,0.0%,0,0.0%
25,Grand Total,610,100.0%,159,100.0%,253,100.0%,103,100.0%,95,100.0%,49,100.0%,11,100.0%
