Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2925,50.4%,381,49.6%,513,49.2%,135,51.7%,1866,50.8%,131,56.0%,27,64.3%,1,1013,47.8%
Female,2871,49.5%,387,50.4%,530,50.8%,126,48.3%,1803,49.1%,103,44.0%,15,35.7%,2,1108,52.2%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,278,4.8%,14,1.8%,66,6.3%,8,3.1%,189,5.1%,1,0.4%,0,0.0%,4,97,4.6%
10-19 Years,598,10.3%,55,7.2%,96,9.2%,37,14.2%,398,10.8%,1,0.4%,0,0.0%,5,232,10.9%
20-29 Years,1417,24.4%,195,25.4%,272,26.1%,49,18.8%,888,24.2%,14,6.0%,0,0.0%,6,547,25.8%
30-39 Years,1079,18.6%,158,20.6%,191,18.3%,50,19.2%,670,18.3%,20,8.5%,2,4.8%,7,416,19.6%
40-49 Years,795,13.7%,126,16.4%,122,11.7%,40,15.3%,496,13.5%,26,11.1%,2,4.8%,8,282,13.3%
50-59 Years,757,13.1%,96,12.5%,143,13.7%,35,13.4%,482,13.1%,43,18.4%,4,9.5%,9,264,12.4%
60-69 Years,536,9.2%,78,10.2%,87,8.3%,26,10.0%,341,9.3%,47,20.1%,5,11.9%,10,183,8.6%
70-79 Years,239,4.1%,36,4.7%,39,3.7%,15,5.7%,148,4.0%,52,22.2%,17,40.5%,11,77,3.6%
80+ Years,99,1.7%,10,1.3%,27,2.6%,1,0.4%,59,1.6%,30,12.8%,12,28.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,282,4.9%,56,7.3%,95,9.1%,26,10.0%,102,2.8%,13,5.6%,1,2.4%,14,154,7.3%
Non-Hispanic,2074,35.8%,557,72.5%,687,65.9%,180,69.0%,628,17.1%,174,74.4%,39,92.9%,15,1215,57.3%
UI Ethnicity,2941,50.7%,0,0.0%,0,0.0%,0,0.0%,2941,80.1%,34,14.5%,1,2.4%,16,452,21.3%
Unknown Ethnicity,501,8.6%,155,20.2%,261,25.0%,55,21.1%,0,0.0%,13,5.6%,1,2.4%,17,300,14.1%
White,1303,22.5%,327,42.6%,423,40.6%,169,64.8%,376,10.2%,70,29.9%,18,42.9%,18,802,37.8%
Black,190,3.3%,46,6.0%,50,4.8%,15,5.7%,76,2.1%,7,3.0%,0,0.0%,19,91,4.3%
AI/AN,956,16.5%,174,22.7%,183,17.5%,12,4.6%,574,15.6%,61,26.1%,14,33.3%,20,297,14.0%
Asian,136,2.3%,28,3.6%,53,5.1%,8,3.1%,46,1.3%,13,5.6%,3,7.1%,21,84,4.0%
NHOPI,227,3.9%,50,6.5%,68,6.5%,2,0.8%,106,2.9%,42,17.9%,5,11.9%,22,107,5.0%
Multiple,187,3.2%,31,4.0%,38,3.6%,10,3.8%,106,2.9%,4,1.7%,0,0.0%,23,71,3.3%
Other,169,2.9%,15,2.0%,29,2.8%,10,3.8%,114,3.1%,7,3.0%,0,0.0%,24,56,2.6%
UI Race,2273,39.2%,0,0.0%,0,0.0%,0,0.0%,2273,61.9%,21,9.0%,1,2.4%,25,388,18.3%
Unknown Race,357,6.2%,97,12.6%,199,19.1%,35,13.4%,0,0.0%,9,3.8%,1,2.4%,26,225,10.6%
