ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1937,48.9%,300,48.5%,433,49.4%,116,53.5%,1068,48.2%,57.2%,63.0%,95,17,580,49.1%
2,Female,2026,51.1%,319,51.5%,444,50.6%,101,46.5%,1147,51.8%,42.8%,37.0%,71,10,601,50.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,193,4.9%,13,2.1%,56,6.4%,3,1.4%,121,5.5%,0.0%,0.0%,0,0,50,4.2%
5,10-19 Years,414,10.4%,47,7.6%,83,9.5%,23,10.6%,253,11.4%,0.6%,0.0%,1,0,114,9.7%
6,20-29 Years,963,24.3%,160,25.8%,223,25.4%,37,17.1%,534,24.1%,7.2%,0.0%,12,0,288,24.4%
7,30-39 Years,738,18.6%,127,20.5%,163,18.6%,44,20.3%,399,18.0%,9.6%,7.4%,16,2,240,20.3%
8,40-49 Years,555,14.0%,100,16.2%,105,12.0%,38,17.5%,304,13.7%,10.8%,3.7%,18,1,163,13.8%
9,50-59 Years,497,12.5%,76,12.3%,127,14.5%,30,13.8%,263,11.9%,17.5%,11.1%,29,3,158,13.4%
10,60-69 Years,375,9.5%,56,9.0%,75,8.6%,26,12.0%,215,9.7%,20.5%,14.8%,34,4,114,9.7%
11,70-79 Years,169,4.3%,31,5.0%,30,3.4%,15,6.9%,93,4.2%,24.1%,48.1%,40,13,44,3.7%
12,80+ Years,59,1.5%,9,1.5%,15,1.7%,1,0.5%,33,1.5%,9.6%,14.8%,16,4,10,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,205,5.2%,46,7.4%,82,9.4%,26,12.0%,49,2.2%,5.4%,0.0%,9,0,118,10.0%
15,Non-Hispanic,1543,38.9%,468,75.6%,586,66.8%,156,71.9%,318,14.4%,77.1%,100.0%,128,27,901,76.3%
16,UI Ethnicity,1848,46.6%,0,0.0%,0,0.0%,0,0.0%,1848,83.4%,12.7%,0.0%,21,0,14,1.2%
17,Unknown Ethnicity,367,9.3%,105,17.0%,209,23.8%,35,16.1%,0,0.0%,4.8%,0.0%,8,0,148,12.5%
18,White,1023,25.8%,284,45.9%,378,43.1%,148,68.2%,208,9.4%,33.7%,40.7%,56,11,606,51.3%
19,Black,126,3.2%,40,6.5%,34,3.9%,14,6.5%,36,1.6%,3.6%,0.0%,6,0,59,5.0%
20,AI/AN,540,13.6%,131,21.2%,147,16.8%,9,4.1%,245,11.1%,24.1%,37.0%,40,10,190,16.1%
21,Asian,107,2.7%,24,3.9%,47,5.4%,8,3.7%,27,1.2%,7.2%,7.4%,12,2,67,5.7%
22,NHOPI,168,4.2%,41,6.6%,58,6.6%,1,0.5%,68,3.1%,17.5%,14.8%,29,4,62,5.2%
23,Multiple,112,2.8%,26,4.2%,32,3.6%,8,3.7%,45,2.0%,0.6%,0.0%,1,0,50,4.2%
24,Other,95,2.4%,11,1.8%,23,2.6%,10,4.6%,50,2.3%,3.6%,0.0%,6,0,36,3.0%
25,UI Race,1536,38.8%,0,0.0%,0,0.0%,0,0.0%,1536,69.3%,7.2%,0.0%,12,0,12,1.0%
26,Unknown Race,256,6.5%,62,10.0%,158,18.0%,19,8.8%,0,0.0%,2.4%,0.0%,4,0,99,8.4%
