Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,31752,52.1%,1077,51.9%,1348,50.4%,261,51.9%,28598,52.2%,752,55.1%,184,59.5%,1
Female,29151,47.9%,997,48.1%,1325,49.6%,242,48.1%,26151,47.8%,614,44.9%,125,40.5%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4252,7.0%,63,3.0%,239,8.9%,18,3.6%,3891,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7743,12.7%,203,9.8%,347,13.0%,66,13.1%,7028,12.8%,13,1.0%,0,0.0%,5
20-29 Years,12400,20.4%,524,25.3%,585,21.9%,85,16.9%,11028,20.1%,54,4.0%,3,1.0%,6
30-39 Years,11554,19.0%,358,17.3%,436,16.3%,89,17.7%,10523,19.2%,114,8.3%,6,1.9%,7
40-49 Years,8368,13.7%,293,14.1%,314,11.7%,77,15.3%,7570,13.8%,133,9.7%,12,3.9%,8
50-59 Years,7833,12.9%,257,12.4%,344,12.9%,66,13.1%,7061,12.9%,229,16.8%,20,6.5%,9
60-69 Years,5431,8.9%,214,10.3%,194,7.3%,65,12.9%,4835,8.8%,307,22.5%,61,19.7%,10
70-79 Years,2355,3.9%,106,5.1%,119,4.5%,33,6.6%,2036,3.7%,289,21.2%,95,30.7%,11
80+ Years,982,1.6%,56,2.7%,95,3.6%,4,0.8%,792,1.4%,213,15.6%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3208,5.3%,138,6.7%,217,8.1%,53,10.5%,2770,5.1%,71,5.2%,13,4.2%,14
Non-Hispanic,32844,53.9%,1662,80.1%,2081,77.9%,384,76.3%,28346,51.8%,1035,75.8%,290,93.9%,15
UI Ethnicity,23648,38.8%,0,0.0%,0,0.0%,0,0.0%,23648,43.2%,240,17.6%,4,1.3%,16
Unknown Ethnicity,1218,2.0%,274,13.2%,375,14.0%,66,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,20104,33.0%,865,41.7%,1052,39.4%,301,59.8%,17651,32.2%,481,35.2%,131,42.4%,18
Black,1499,2.5%,96,4.6%,131,4.9%,21,4.2%,1234,2.3%,50,3.7%,10,3.2%,19
AI/AN,12957,21.3%,692,33.4%,787,29.4%,72,14.3%,11205,20.5%,370,27.1%,113,36.6%,20
Asian,2450,4.0%,92,4.4%,163,6.1%,20,4.0%,2145,3.9%,119,8.7%,30,9.7%,21
NHOPI,1608,2.6%,80,3.9%,160,6.0%,4,0.8%,1355,2.5%,131,9.6%,17,5.5%,22
Multiple,4663,7.7%,89,4.3%,112,4.2%,19,3.8%,4408,8.0%,70,5.1%,5,1.6%,23
Other,7255,11.9%,56,2.7%,72,2.7%,19,3.8%,6967,12.7%,59,4.3%,1,0.3%,24
UI Race,9799,16.1%,0,0.0%,0,0.0%,0,0.0%,9799,17.9%,77,5.6%,1,0.3%,25
Unknown Race,583,1.0%,104,5.0%,196,7.3%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
