Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,31403,52.0%,1066,52.0%,1317,50.3%,260,52.1%,28298,52.1%,741,54.9%,184,59.5%,1
Female,28901,47.9%,985,48.0%,1301,49.7%,239,47.9%,25942,47.8%,609,45.1%,125,40.5%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.1%,0,0.0%,0,0.0%,3
<10 Years,4182,6.9%,59,2.9%,231,8.8%,18,3.6%,3834,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7636,12.7%,200,9.8%,327,12.5%,66,13.2%,6946,12.8%,13,1.0%,0,0.0%,5
20-29 Years,12289,20.4%,521,25.4%,580,22.2%,85,17.0%,10928,20.1%,53,3.9%,3,1.0%,6
30-39 Years,11442,19.0%,356,17.4%,426,16.3%,88,17.6%,10424,19.2%,110,8.1%,6,1.9%,7
40-49 Years,8294,13.7%,291,14.2%,312,11.9%,77,15.4%,7501,13.8%,132,9.8%,12,3.9%,8
50-59 Years,7771,12.9%,253,12.3%,340,13.0%,66,13.2%,7008,12.9%,223,16.5%,20,6.5%,9
60-69 Years,5396,8.9%,212,10.3%,189,7.2%,63,12.6%,4809,8.9%,305,22.6%,61,19.7%,10
70-79 Years,2343,3.9%,103,5.0%,118,4.5%,32,6.4%,2029,3.7%,288,21.3%,95,30.7%,11
80+ Years,980,1.6%,56,2.7%,95,3.6%,4,0.8%,790,1.5%,212,15.7%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3192,5.3%,138,6.7%,216,8.3%,53,10.6%,2755,5.1%,69,5.1%,13,4.2%,14
Non-Hispanic,32658,54.1%,1640,80.0%,2031,77.6%,380,76.2%,28240,52.0%,1029,76.2%,290,93.9%,15
UI Ethnicity,23274,38.6%,0,0.0%,0,0.0%,0,0.0%,23274,42.9%,232,17.2%,4,1.3%,16
Unknown Ethnicity,1209,2.0%,273,13.3%,371,14.2%,66,13.2%,0,0.0%,20,1.5%,2,0.6%,17
White,19927,33.0%,859,41.9%,1044,39.9%,301,60.3%,17487,32.2%,475,35.2%,131,42.4%,18
Black,1491,2.5%,96,4.7%,131,5.0%,21,4.2%,1226,2.3%,50,3.7%,10,3.2%,19
AI/AN,12868,21.3%,677,33.0%,742,28.3%,68,13.6%,11188,20.6%,368,27.3%,113,36.6%,20
Asian,2426,4.0%,91,4.4%,162,6.2%,20,4.0%,2123,3.9%,119,8.8%,30,9.7%,21
NHOPI,1596,2.6%,80,3.9%,160,6.1%,4,0.8%,1343,2.5%,130,9.6%,17,5.5%,22
Multiple,4635,7.7%,88,4.3%,112,4.3%,19,3.8%,4381,8.1%,70,5.2%,5,1.6%,23
Other,7211,12.0%,56,2.7%,72,2.8%,19,3.8%,6923,12.8%,58,4.3%,1,0.3%,24
UI Race,9598,15.9%,0,0.0%,0,0.0%,0,0.0%,9598,17.7%,71,5.3%,1,0.3%,25
Unknown Race,581,1.0%,104,5.1%,195,7.4%,47,9.4%,0,0.0%,9,0.7%,1,0.3%,26
