Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32387,52.1%,1071,51.8%,1397,50.3%,265,52.2%,29179,52.2%,764,55.0%,184,59.5%,1
Female,29761,47.9%,995,48.2%,1379,49.7%,243,47.8%,26701,47.8%,624,45.0%,125,40.5%,2
Unknown Sex,13,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0.0%,0,0.0%,0,0.0%,3
<10 Years,4423,7.1%,62,3.0%,254,9.1%,18,3.5%,4048,7.2%,15,1.1%,0,0.0%,4
10-19 Years,7957,12.8%,204,9.9%,367,13.2%,66,13.0%,7220,12.9%,14,1.0%,0,0.0%,5
20-29 Years,12646,20.3%,522,25.3%,599,21.6%,85,16.7%,11258,20.1%,57,4.1%,3,1.0%,6
30-39 Years,11782,19.0%,359,17.4%,452,16.3%,90,17.7%,10733,19.2%,116,8.4%,6,1.9%,7
40-49 Years,8520,13.7%,292,14.1%,323,11.6%,78,15.4%,7712,13.8%,137,9.9%,12,3.9%,8
50-59 Years,7963,12.8%,256,12.4%,354,12.8%,67,13.2%,7179,12.8%,234,16.9%,20,6.5%,9
60-69 Years,5504,8.9%,215,10.4%,201,7.2%,67,13.2%,4894,8.8%,312,22.5%,61,19.7%,10
70-79 Years,2376,3.8%,101,4.9%,127,4.6%,33,6.5%,2052,3.7%,290,20.9%,95,30.7%,11
80+ Years,990,1.6%,55,2.7%,99,3.6%,4,0.8%,797,1.4%,213,15.3%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3231,5.2%,136,6.6%,220,7.9%,53,10.4%,2790,5.0%,72,5.2%,13,4.2%,14
Non-Hispanic,33288,53.6%,1657,80.2%,2178,78.5%,388,76.4%,28683,51.3%,1050,75.6%,290,93.9%,15
UI Ethnicity,24420,39.3%,0,0.0%,0,0.0%,0,0.0%,24420,43.7%,246,17.7%,4,1.3%,16
Unknown Ethnicity,1222,2.0%,273,13.2%,378,13.6%,67,13.2%,0,0.0%,20,1.4%,2,0.6%,17
White,20536,33.0%,852,41.2%,1085,39.1%,303,59.6%,18057,32.3%,492,35.4%,131,42.4%,18
Black,1513,2.4%,96,4.6%,132,4.8%,21,4.1%,1247,2.2%,50,3.6%,10,3.2%,19
AI/AN,13127,21.1%,700,33.9%,845,30.4%,74,14.6%,11298,20.2%,374,26.9%,113,36.6%,20
Asian,2467,4.0%,93,4.5%,166,6.0%,20,3.9%,2158,3.9%,120,8.6%,30,9.7%,21
NHOPI,1622,2.6%,80,3.9%,160,5.8%,4,0.8%,1369,2.4%,132,9.5%,17,5.5%,22
Multiple,4741,7.6%,87,4.2%,116,4.2%,19,3.7%,4484,8.0%,73,5.3%,5,1.6%,23
Other,7351,11.8%,55,2.7%,75,2.7%,20,3.9%,7060,12.6%,59,4.3%,1,0.3%,24
UI Race,10220,16.4%,0,0.0%,0,0.0%,0,0.0%,10220,18.3%,79,5.7%,1,0.3%,25
Unknown Race,584,0.9%,103,5.0%,197,7.1%,47,9.3%,0,0.0%,9,0.6%,1,0.3%,26
