Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32752,52.1%,1080,51.7%,1405,50.1%,272,52.4%,29504,52.2%,770,54.7%,185,59.7%,1
Female,30107,47.9%,1007,48.3%,1402,49.9%,247,47.6%,26987,47.8%,637,45.3%,125,40.3%,2
Unknown Sex,17,0.0%,0,0.0%,0,0.0%,0,0.0%,17,0.0%,0,0.0%,0,0.0%,3
<10 Years,4494,7.1%,63,3.0%,258,9.2%,18,3.5%,4111,7.3%,15,1.1%,0,0.0%,4
10-19 Years,8105,12.9%,206,9.9%,373,13.3%,70,13.5%,7353,13.0%,14,1.0%,0,0.0%,5
20-29 Years,12796,20.4%,529,25.3%,602,21.4%,87,16.8%,11386,20.1%,58,4.1%,3,1.0%,6
30-39 Years,11905,18.9%,361,17.3%,458,16.3%,90,17.3%,10842,19.2%,117,8.3%,6,1.9%,7
40-49 Years,8602,13.7%,293,14.0%,326,11.6%,79,15.2%,7786,13.8%,140,10.0%,12,3.9%,8
50-59 Years,8034,12.8%,258,12.4%,356,12.7%,68,13.1%,7239,12.8%,239,17.0%,20,6.5%,9
60-69 Years,5550,8.8%,217,10.4%,204,7.3%,68,13.1%,4929,8.7%,318,22.6%,61,19.7%,10
70-79 Years,2393,3.8%,104,5.0%,130,4.6%,35,6.7%,2060,3.6%,292,20.8%,95,30.6%,11
80+ Years,997,1.6%,56,2.7%,100,3.6%,4,0.8%,802,1.4%,214,15.2%,113,36.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3248,5.2%,136,6.5%,220,7.8%,55,10.6%,2803,5.0%,73,5.2%,13,4.2%,14
Non-Hispanic,33578,53.4%,1672,80.1%,2204,78.5%,395,76.1%,28912,51.2%,1063,75.6%,291,93.9%,15
UI Ethnicity,24793,39.4%,0,0.0%,0,0.0%,0,0.0%,24793,43.9%,250,17.8%,4,1.3%,16
Unknown Ethnicity,1257,2.0%,279,13.4%,383,13.6%,69,13.3%,0,0.0%,21,1.5%,2,0.6%,17
White,20782,33.1%,866,41.5%,1105,39.4%,308,59.3%,18248,32.3%,501,35.6%,132,42.6%,18
Black,1526,2.4%,96,4.6%,132,4.7%,22,4.2%,1259,2.2%,50,3.6%,10,3.2%,19
AI/AN,13243,21.1%,705,33.8%,853,30.4%,74,14.3%,11397,20.2%,378,26.9%,113,36.5%,20
Asian,2478,3.9%,94,4.5%,166,5.9%,22,4.2%,2165,3.8%,121,8.6%,31,10.0%,21
NHOPI,1636,2.6%,80,3.8%,160,5.7%,4,0.8%,1383,2.4%,133,9.5%,17,5.5%,22
Multiple,4776,7.6%,87,4.2%,118,4.2%,19,3.7%,4515,8.0%,75,5.3%,5,1.6%,23
Other,7399,11.8%,55,2.6%,75,2.7%,20,3.9%,7107,12.6%,60,4.3%,1,0.3%,24
UI Race,10434,16.6%,0,0.0%,0,0.0%,0,0.0%,10434,18.5%,80,5.7%,0,0.0%,25
Unknown Race,602,1.0%,104,5.0%,198,7.1%,50,9.6%,0,0.0%,9,0.6%,1,0.3%,26
