ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,584,50.1%,129,52.2%,187,47.5%,79,58.5%,189,48.5%,58.1%,56.3%,43,9,283,51.3%
2,Female,582,49.9%,118,47.8%,207,52.5%,56,41.5%,201,51.5%,41.9%,43.8%,31,7,269,48.7%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,44,3.8%,4,1.6%,19,4.8%,2,1.5%,19,4.9%,0.0%,0.0%,0,0,15,2.7%
5,10-19 Years,90,7.7%,17,6.9%,33,8.4%,9,6.7%,31,7.9%,1.4%,0.0%,1,0,42,7.6%
6,20-29 Years,243,20.8%,42,17.0%,83,21.1%,18,13.3%,100,25.6%,8.1%,0.0%,6,0,105,19.0%
7,30-39 Years,232,19.9%,50,20.2%,71,18.0%,26,19.3%,85,21.8%,9.5%,12.5%,7,2,109,19.7%
8,40-49 Years,179,15.4%,47,19.0%,56,14.2%,27,20.0%,49,12.6%,5.4%,0.0%,4,0,89,16.1%
9,50-59 Years,178,15.3%,40,16.2%,72,18.3%,19,14.1%,47,12.1%,20.3%,6.3%,15,1,94,17.0%
10,60-69 Years,118,10.1%,26,10.5%,36,9.1%,20,14.8%,36,9.2%,16.2%,12.5%,12,2,65,11.8%
11,70-79 Years,61,5.2%,16,6.5%,15,3.8%,13,9.6%,17,4.4%,29.7%,50.0%,22,8,26,4.7%
12,80+ Years,21,1.8%,5,2.0%,9,2.3%,1,0.7%,6,1.5%,9.5%,18.8%,7,3,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,66,5.7%,14,5.7%,33,8.4%,14,10.4%,5,1.3%,6.8%,0.0%,5,0,47,8.5%
15,Non-Hispanic,738,63.3%,213,86.2%,331,84.0%,113,83.7%,81,20.8%,85.1%,100.0%,63,16,476,86.2%
16,Unknown Ethnicity,362,31.0%,20,8.1%,30,7.6%,8,5.9%,304,77.9%,8.1%,0.0%,6,0,29,5.3%
17,White,552,47.3%,155,62.8%,237,60.2%,106,78.5%,54,13.8%,56.8%,62.5%,42,10,363,65.8%
18,Black,25,2.1%,11,4.5%,7,1.8%,6,4.4%,1,0.3%,0.0%,0.0%,0,0,17,3.1%
19,AI/AN,136,11.7%,41,16.6%,46,11.7%,3,2.2%,46,11.8%,17.6%,18.8%,13,3,55,10.0%
20,Asian,60,5.1%,13,5.3%,41,10.4%,5,3.7%,1,0.3%,10.8%,12.5%,8,2,53,9.6%
21,NHOPI,29,2.5%,6,2.4%,16,4.1%,1,0.7%,6,1.5%,8.1%,6.3%,6,1,13,2.4%
22,Multiple,36,3.1%,10,4.0%,16,4.1%,6,4.4%,4,1.0%,0.0%,0.0%,0,0,23,4.2%
23,Other,22,1.9%,2,0.8%,8,2.0%,4,3.0%,8,2.1%,5.4%,0.0%,4,0,12,2.2%
24,Unknown Race,306,26.2%,9,3.6%,23,5.8%,4,3.0%,270,69.2%,1.4%,0.0%,1,0,16,2.9%
