,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=351,286",,"N=25,698",,"N=2,950",,"N=1,132",
Female,184718,55%,14078,55%,1421,48%,602,53%
Male,149539,45%,11529,45%,1522,52%,530,47%
Other,79,<1%,7,<1%,<5,--,0,0%
Pending further information,16950,--,84,--,<5,--,0,--
Age Group,,,,,,,,
0-4,7812,2%,427,2%,25,1%,0,0%
5-9,7954,2%,442,2%,11,<1%,0,0%
10-14,8048,2%,539,2%,16,1%,<5,--
15-18,15924,5%,988,4%,23,1%,0,0%
19-24,45599,13%,3052,12%,85,3%,<5,--
25-29,31334,9%,2294,9%,99,3%,<5,--
30-39,54724,16%,4064,16%,228,8%,7,1%
40-49,44042,13%,3643,14%,328,11%,16,1%
50-59,52042,15%,3712,14%,452,15%,51,5%
60-69,42608,12%,2571,10%,571,19%,119,11%
70-79,23231,7%,1638,6%,548,19%,264,23%
80-89,11943,3%,1396,5%,389,13%,364,32%
90+,5711,2%,929,4%,172,6%,306,27%
Pending further information,314,--,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,26734,21%,9600,44%,886,36%,108,12%
American Indian or Alaska Native*,2206,2%,81,<1%,5,<1%,<5,--
Asian*,3125,2%,406,2%,43,2%,13,1%
Black or African American*,9787,8%,2650,12%,308,12%,57,6%
Native Hawaiian or Other Pacific Islander*,310,<1%,0,0%,0,0%,0,0%
White*,76352,59%,8577,39%,1168,47%,750,81%
Other race*,10931,8%,343,2%,48,2%,0,0%
Multiple race*,124,<1%,194,1%,8,<1%,0,--
Declined,2511,--,226,--,9,--,0,--
Unknown or pending further information,219206,--,3621,--,475,--,203,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,10/14/2020,,,,,,,
