Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34663,52.1%,1141,51.9%,1485,50.1%,296,52.6%,31211,52.2%,838,55.0%,211,60.8%,1
Female,31797,47.8%,1057,48.1%,1482,49.9%,267,47.4%,28504,47.7%,687,45.0%,136,39.2%,2
Unknown Sex,31,0.0%,0,0.0%,0,0.0%,0,0.0%,31,0.1%,0,0.0%,0,0.0%,3
<10 Years,4865,7.3%,73,3.3%,286,9.6%,20,3.6%,4438,7.4%,16,1.0%,0,0.0%,4
10-19 Years,8681,13.1%,221,10.1%,399,13.4%,73,13.0%,7882,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13634,20.5%,545,24.8%,631,21.3%,97,17.2%,12154,20.3%,65,4.3%,6,1.7%,6
30-39 Years,12542,18.9%,382,17.4%,477,16.1%,98,17.4%,11422,19.1%,124,8.1%,7,2.0%,7
40-49 Years,9043,13.6%,302,13.7%,346,11.7%,82,14.6%,8180,13.7%,154,10.1%,16,4.6%,8
50-59 Years,8412,12.7%,274,12.5%,367,12.4%,81,14.4%,7570,12.7%,267,17.5%,24,6.9%,9
60-69 Years,5795,8.7%,233,10.6%,221,7.4%,71,12.6%,5133,8.6%,339,22.2%,67,19.3%,10
70-79 Years,2494,3.8%,108,4.9%,135,4.6%,36,6.4%,2148,3.6%,321,21.0%,107,30.8%,11
80+ Years,1025,1.5%,60,2.7%,105,3.5%,5,0.9%,819,1.4%,224,14.7%,120,34.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3374,5.1%,139,6.3%,223,7.5%,58,10.3%,2918,4.9%,78,5.1%,16,4.6%,14
Non-Hispanic,34854,52.4%,1770,80.5%,2336,78.7%,425,75.5%,29898,50.0%,1134,74.4%,325,93.7%,15
UI Ethnicity,26930,40.5%,0,0.0%,0,0.0%,0,0.0%,26930,45.1%,290,19.0%,4,1.2%,16
Unknown Ethnicity,1333,2.0%,289,13.1%,408,13.8%,80,14.2%,0,0.0%,23,1.5%,2,0.6%,17
White,21997,33.1%,916,41.7%,1162,39.2%,330,58.6%,19316,32.3%,557,36.5%,156,45.0%,18
Black,1608,2.4%,98,4.5%,134,4.5%,22,3.9%,1334,2.2%,55,3.6%,10,2.9%,19
AI/AN,13804,20.8%,749,34.1%,915,30.8%,79,14.0%,11833,19.8%,389,25.5%,119,34.3%,20
Asian,2555,3.8%,95,4.3%,179,6.0%,26,4.6%,2223,3.7%,125,8.2%,33,9.5%,21
NHOPI,1712,2.6%,82,3.7%,161,5.4%,6,1.1%,1454,2.4%,138,9.0%,20,5.8%,22
Multiple,4991,7.5%,91,4.1%,131,4.4%,22,3.9%,4706,7.9%,81,5.3%,7,2.0%,23
Other,7695,11.6%,57,2.6%,77,2.6%,22,3.9%,7396,12.4%,72,4.7%,1,0.3%,24
UI Race,11484,17.3%,0,0.0%,0,0.0%,0,0.0%,11484,19.2%,98,6.4%,0,0.0%,25
Unknown Race,645,1.0%,110,5.0%,208,7.0%,56,9.9%,0,0.0%,10,0.7%,1,0.3%,26
