,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=841,864",,"N=140,633",,"N=10,275",,"N=2,690",,"N=537,288",,"N=410,708",,"N=910,593",
0-4,29287,3%,3539,3%,85,1%,<5,--,0,0%,0,0%,0,0%
5-9,38305,5%,4543,3%,28,<1%,0,0%,<5,--,0,0%,<5,--
10-14,40136,5%,5802,4%,36,<1%,<5,--,7,<1%,<5,--,7,<1%
15-18,44167,5%,7679,5%,80,1%,0,0%,15795,3%,5175,1%,20563,2%
19-24,88794,11%,17653,13%,276,3%,<5,--,35588,7%,18935,5%,51843,6%
25-29,69533,8%,12498,9%,345,3%,5,<1%,30147,6%,18207,4%,46181,5%
30-39,125120,15%,22046,16%,674,7%,13,<1%,66875,12%,42432,10%,104189,11%
40-49,102176,12%,18464,13%,917,9%,35,1%,70469,13%,47934,12%,112633,12%
50-59,118594,14%,20245,14%,1520,15%,128,5%,99180,18%,77749,19%,166010,18%
60-69,98653,12%,14156,10%,1989,19%,327,12%,110287,21%,98921,24%,201739,22%
70-79,53051,6%,7179,5%,2044,20%,610,23%,70389,13%,65705,16%,134105,15%
80-89,23333,3%,4388,3%,1567,15%,845,31%,29595,6%,27492,7%,56498,6%
90+,9431,1%,2436,2%,709,7%,721,27%,8949,2%,8154,2%,16815,2%
Pending further information,1284,--,5,--,5,--,0,--,6,--,<5,--,9,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,64346,17%,35941,29%,2164,26%,221,10%,55932,11%,37442,10%,87804,10%
American Indian or Alaska Native*,4978,1%,401,<1%,30,<1%,<5,--,1748,<1%,1235,<1%,2879,<1%
Asian*,10491,3%,2815,2%,194,2%,48,2%,18360,4%,11370,3%,28512,3%
Black or African American*,21467,6%,8957,7%,703,8%,112,5%,20683,4%,14376,4%,33320,4%
Native Hawaiian or Other Pacific Islander*,573,<1%,0,0%,0,0%,0,0%,856,<1%,625,<1%,1437,<1%
White*,257311,66%,70415,57%,5000,60%,1933,83%,383381,76%,301177,78%,659483,77%
Other race*,22495,6%,2701,2%,218,3%,7,<1%,23604,5%,17747,5%,39611,5%
Multiple race*,6856,2%,1611,1%,56,1%,<5,--,--,--,--,--,--,--
Declined,12009,--,3003,--,113,--,0,--,0,--,0,--,0,--
Unknown or pending further information,441338,--,14789,--,1797,--,363,--,32724,--,26736,--,57547,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,376644,54%,69244,53%,4640,51%,1385,52%,295736,55%,234055,57%,510323,56%
Male,321732,46%,61757,47%,4526,49%,1299,48%,240869,45%,176255,43%,399274,44%
Other,208,<1%,203,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,143280,--,9429,--,1095,--,<5,--,683,--,398,--,996,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3540,5%,119,3%,--,--,--,--,--,--,--,--
No,--,--,70153,95%,3737,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,66940,--,6419,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,45532,52%,5151,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40305,46%,5106,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,618,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,278,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27763,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26137,--,16,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,45,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,758,1%,12,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1300,2%,49,1%,--,--,--,--,--,--,--,--
Queer,--,--,157,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,74547,96%,3975,98%,--,--,--,--,--,--,--,--
Other,--,--,702,1%,20,<1%,--,--,--,--,--,--,--,--
Declined,--,--,33812,--,2536,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,29312,--,3677,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,5/12/2021,,,,,,,,,,,,,
