ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,592,50.0%,136,51.3%,193,47.5%,81,57.9%,182,48.8%,57.7%,52.9%,45,9,286,51.1%
2,Female,592,50.0%,129,48.7%,213,52.5%,59,42.1%,191,51.2%,42.3%,47.1%,33,8,274,48.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,44,3.7%,4,1.5%,21,5.2%,2,1.4%,17,4.6%,0.0%,0.0%,0,0,15,2.7%
5,10-19 Years,91,7.7%,17,6.4%,34,8.4%,10,7.1%,30,8.0%,1.3%,0.0%,1,0,42,7.5%
6,20-29 Years,247,20.9%,47,17.7%,85,20.9%,20,14.3%,95,25.5%,7.7%,0.0%,6,0,107,19.1%
7,30-39 Years,238,20.1%,54,20.4%,73,18.0%,26,18.6%,85,22.8%,9.0%,11.8%,7,2,110,19.6%
8,40-49 Years,180,15.2%,53,20.0%,57,14.0%,27,19.3%,43,11.5%,5.1%,0.0%,4,0,89,15.9%
9,50-59 Years,182,15.4%,41,15.5%,75,18.5%,20,14.3%,46,12.3%,20.5%,5.9%,16,1,95,17.0%
10,60-69 Years,120,10.1%,27,10.2%,37,9.1%,21,15.0%,35,9.4%,17.9%,11.8%,14,2,67,12.0%
11,70-79 Years,61,5.2%,17,6.4%,15,3.7%,13,9.3%,16,4.3%,29.5%,52.9%,23,9,28,5.0%
12,80+ Years,21,1.8%,5,1.9%,9,2.2%,1,0.7%,6,1.6%,9.0%,17.6%,7,3,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,68,5.7%,15,5.7%,33,8.1%,15,10.7%,5,1.3%,6.4%,0.0%,5,0,48,8.6%
15,Non-Hispanic,764,64.5%,229,86.4%,341,84.0%,117,83.6%,77,20.6%,84.6%,100.0%,66,17,482,86.1%
16,Unknown Ethnicity,352,29.7%,21,7.9%,32,7.9%,8,5.7%,291,78.0%,9.0%,0.0%,7,0,30,5.4%
17,White,570,48.1%,166,62.6%,244,60.1%,109,77.9%,51,13.7%,56.4%,64.7%,44,11,370,66.1%
18,Black,29,2.4%,13,4.9%,8,2.0%,6,4.3%,2,0.5%,1.3%,0.0%,1,0,17,3.0%
19,AI/AN,138,11.7%,45,17.0%,49,12.1%,3,2.1%,41,11.0%,16.7%,17.6%,13,3,55,9.8%
20,Asian,60,5.1%,13,4.9%,41,10.1%,5,3.6%,1,0.3%,10.3%,11.8%,8,2,53,9.5%
21,NHOPI,28,2.4%,6,2.3%,16,3.9%,1,0.7%,5,1.3%,7.7%,5.9%,6,1,13,2.3%
22,Multiple,38,3.2%,11,4.2%,16,3.9%,7,5.0%,4,1.1%,0.0%,0.0%,0,0,23,4.1%
23,Other,22,1.9%,2,0.8%,9,2.2%,5,3.6%,6,1.6%,5.1%,0.0%,4,0,13,2.3%
24,Unknown Race,299,25.3%,9,3.4%,23,5.7%,4,2.9%,263,70.5%,2.6%,0.0%,2,0,16,2.9%
