Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,6849,49.8%,715,52.6%,903,50.9%,187,52.8%,4986,49.1%,212,53.0%,45,64.3%,1,3157,49.6%
Female,6889,50.1%,645,47.4%,871,49.1%,167,47.2%,5159,50.8%,188,47.0%,25,35.7%,2,3211,50.4%
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3,2,0.0%
<10 Years,736,5.4%,29,2.1%,113,6.4%,8,2.3%,583,5.7%,4,1.0%,0,0.0%,4,320,5.0%
10-19 Years,1566,11.4%,118,8.7%,199,11.2%,51,14.4%,1182,11.6%,3,0.8%,0,0.0%,5,678,10.6%
20-29 Years,3093,22.5%,387,28.5%,467,26.3%,62,17.5%,2151,21.2%,20,5.0%,1,1.4%,6,1529,24.0%
30-39 Years,2610,19.0%,250,18.4%,320,18.0%,72,20.3%,1947,19.2%,34,8.5%,2,2.9%,7,1227,19.3%
40-49 Years,1870,13.6%,207,15.2%,226,12.7%,56,15.8%,1364,13.4%,53,13.3%,4,5.7%,8,848,13.3%
50-59 Years,1782,13.0%,165,12.1%,234,13.2%,47,13.3%,1331,13.1%,67,16.8%,7,10.0%,9,835,13.1%
60-69 Years,1300,9.5%,137,10.1%,125,7.0%,38,10.7%,991,9.8%,86,21.5%,13,18.6%,10,608,9.5%
70-79 Years,550,4.0%,50,3.7%,58,3.3%,19,5.4%,418,4.1%,81,20.3%,23,32.9%,11,235,3.7%
80+ Years,235,1.7%,17,1.3%,32,1.8%,1,0.3%,182,1.8%,52,13.0%,20,28.6%,12,90,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,865,6.3%,106,7.8%,172,9.7%,37,10.5%,543,5.4%,19,4.8%,1,1.4%,14,594,9.3%
Non-Hispanic,7040,51.2%,1035,76.1%,1314,74.1%,268,75.7%,4373,43.1%,303,75.8%,61,87.1%,15,4847,76.1%
UI Ethnicity,5233,38.1%,0,0.0%,0,0.0%,0,0.0%,5233,51.6%,62,15.5%,5,7.1%,16,570,8.9%
Unknown Ethnicity,604,4.4%,219,16.1%,288,16.2%,49,13.8%,0,0.0%,16,4.0%,3,4.3%,17,359,5.6%
White,4243,30.9%,602,44.3%,744,41.9%,214,60.5%,2657,26.2%,102,25.5%,25,35.7%,18,2758,43.3%
Black,492,3.6%,89,6.5%,114,6.4%,20,5.6%,264,2.6%,19,4.8%,3,4.3%,19,288,4.5%
AI/AN,3172,23.1%,323,23.8%,397,22.4%,38,10.7%,2387,23.5%,127,31.8%,24,34.3%,20,1415,22.2%
Asian,606,4.4%,69,5.1%,93,5.2%,18,5.1%,424,4.2%,28,7.0%,7,10.0%,21,415,6.5%
NHOPI,586,4.3%,73,5.4%,128,7.2%,4,1.1%,379,3.7%,57,14.3%,7,10.0%,22,382,6.0%
Multiple,697,5.1%,72,5.3%,80,4.5%,12,3.4%,529,5.2%,19,4.8%,0,0.0%,23,340,5.3%
Other,535,3.9%,33,2.4%,47,2.6%,14,4.0%,440,4.3%,13,3.3%,1,1.4%,24,195,3.1%
UI Race,3069,22.3%,0,0.0%,0,0.0%,0,0.0%,3069,30.2%,27,6.8%,3,4.3%,25,363,5.7%
Unknown Race,342,2.5%,99,7.3%,171,9.6%,34,9.6%,0,0.0%,8,2.0%,0,0.0%,26,214,3.4%
