ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1224,48.5%,215,49.3%,301,48.6%,100,54.3%,597,47.2%,60.0%,50.0%,69,10,408,49.9%
2,Female,1300,51.5%,221,50.7%,318,51.4%,84,45.7%,668,52.8%,40.0%,50.0%,46,10,409,50.1%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,118,4.7%,8,1.8%,41,6.6%,3,1.6%,66,5.2%,0.0%,0.0%,0,0,34,4.2%
5,10-19 Years,243,9.6%,35,8.0%,47,7.6%,19,10.3%,137,10.8%,0.9%,0.0%,1,0,69,8.4%
6,20-29 Years,610,24.2%,113,25.9%,147,23.7%,28,15.2%,316,25.0%,7.8%,0.0%,9,0,181,22.2%
7,30-39 Years,486,19.3%,88,20.2%,119,19.2%,37,20.1%,238,18.8%,12.2%,10.0%,14,2,166,20.3%
8,40-49 Years,348,13.8%,71,16.3%,75,12.1%,34,18.5%,166,13.1%,7.0%,0.0%,8,0,122,14.9%
9,50-59 Years,327,13.0%,56,12.8%,101,16.3%,25,13.6%,144,11.4%,20.9%,10.0%,24,2,117,14.3%
10,60-69 Years,241,9.5%,38,8.7%,58,9.4%,23,12.5%,120,9.5%,18.3%,10.0%,21,2,86,10.5%
11,70-79 Years,113,4.5%,21,4.8%,21,3.4%,14,7.6%,57,4.5%,23.5%,50.0%,27,10,35,4.3%
12,80+ Years,38,1.5%,6,1.4%,10,1.6%,1,0.5%,21,1.7%,9.6%,20.0%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,143,5.7%,36,8.3%,58,9.4%,23,12.5%,26,2.1%,6.1%,0.0%,7,0,85,10.4%
15,Non-Hispanic,1137,45.0%,358,82.1%,461,74.5%,140,76.1%,166,13.1%,80.9%,95.0%,93,19,675,82.6%
16,UI Ethnicity,1073,42.5%,0,0.0%,0,0.0%,0,0.0%,1073,84.8%,9.6%,5.0%,11,1,0,0.0%
17,Unknown Ethnicity,171,6.8%,42,9.6%,100,16.2%,21,11.4%,0,0.0%,3.5%,0.0%,4,0,57,7.0%
18,White,810,32.1%,223,51.1%,320,51.7%,131,71.2%,132,10.4%,40.9%,55.0%,47,11,490,60.0%
19,Black,70,2.8%,23,5.3%,14,2.3%,10,5.4%,22,1.7%,1.7%,0.0%,2,0,27,3.3%
20,AI/AN,318,12.6%,90,20.6%,97,15.7%,8,4.3%,117,9.2%,20.0%,25.0%,23,5,109,13.3%
21,Asian,79,3.1%,19,4.4%,45,7.3%,6,3.3%,9,0.7%,8.7%,10.0%,10,2,59,7.2%
22,NHOPI,92,3.6%,20,4.6%,34,5.5%,1,0.5%,37,2.9%,14.8%,5.0%,17,1,29,3.5%
23,Multiple,56,2.2%,17,3.9%,21,3.4%,8,4.3%,9,0.7%,0.0%,0.0%,0,0,33,4.0%
24,Other,43,1.7%,7,1.6%,15,2.4%,8,4.3%,12,0.9%,4.3%,0.0%,5,0,22,2.7%
25,UI Race,927,36.7%,0,0.0%,0,0.0%,0,0.0%,927,73.3%,6.1%,5.0%,7,1,2,0.2%
26,Unknown Race,129,5.1%,37,8.5%,73,11.8%,12,6.5%,0,0.0%,3.5%,0.0%,4,0,46,5.6%
