Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30086,52.1%,966,51.7%,1187,51.3%,240,53.3%,27265,52.1%,707,55.3%,180,59.6%,1
Female,27684,47.9%,903,48.3%,1129,48.7%,210,46.7%,25063,47.9%,571,44.7%,122,40.4%,2
Unknown Sex,14,0.0%,0,0.0%,0,0.0%,0,0.0%,14,0.0%,0,0.0%,0,0.0%,3
<10 Years,3973,6.9%,45,2.4%,167,7.2%,14,3.1%,3717,7.1%,12,0.9%,0,0.0%,4
10-19 Years,7163,12.4%,158,8.5%,274,11.8%,65,14.4%,6577,12.6%,9,0.7%,0,0.0%,5
20-29 Years,11801,20.4%,478,25.6%,551,23.8%,78,17.3%,10535,20.1%,51,4.0%,3,1.0%,6
30-39 Years,10970,19.0%,326,17.4%,388,16.8%,85,18.9%,10033,19.2%,101,7.9%,6,2.0%,7
40-49 Years,7949,13.8%,276,14.8%,277,12.0%,70,15.6%,7229,13.8%,121,9.5%,12,4.0%,8
50-59 Years,7451,12.9%,237,12.7%,294,12.7%,61,13.6%,6763,12.9%,212,16.6%,20,6.6%,9
60-69 Years,5241,9.1%,196,10.5%,167,7.2%,52,11.6%,4717,9.0%,284,22.2%,59,19.5%,10
70-79 Years,2279,3.9%,98,5.2%,112,4.8%,23,5.1%,1990,3.8%,280,21.9%,93,30.8%,11
80+ Years,957,1.7%,55,2.9%,86,3.7%,2,0.4%,781,1.5%,208,16.3%,109,36.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2879,5.0%,141,7.5%,201,8.7%,49,10.9%,2459,4.7%,66,5.2%,13,4.3%,14
Non-Hispanic,28749,49.8%,1473,78.8%,1786,77.1%,343,76.2%,24841,47.5%,957,74.9%,282,93.4%,15
UI Ethnicity,25042,43.3%,0,0.0%,0,0.0%,0,0.0%,25042,47.8%,236,18.5%,5,1.7%,16
Unknown Ethnicity,1114,1.9%,255,13.6%,329,14.2%,58,12.9%,0,0.0%,19,1.5%,2,0.7%,17
White,17704,30.6%,833,44.6%,977,42.2%,279,62.0%,15396,29.4%,438,34.3%,127,42.1%,18
Black,1398,2.4%,96,5.1%,120,5.2%,21,4.7%,1144,2.2%,46,3.6%,9,3.0%,19
AI/AN,12345,21.4%,524,28.0%,583,25.2%,52,11.6%,11051,21.1%,338,26.4%,111,36.8%,20
Asian,2247,3.9%,90,4.8%,137,5.9%,19,4.2%,1974,3.8%,116,9.1%,29,9.6%,21
NHOPI,1489,2.6%,80,4.3%,150,6.5%,4,0.9%,1246,2.4%,129,10.1%,17,5.6%,22
Multiple,4383,7.6%,86,4.6%,101,4.4%,15,3.3%,4150,7.9%,67,5.2%,5,1.7%,23
Other,6939,12.0%,58,3.1%,64,2.8%,18,4.0%,6660,12.7%,55,4.3%,1,0.3%,24
UI Race,10721,18.6%,0,0.0%,0,0.0%,0,0.0%,10721,20.5%,80,6.3%,2,0.7%,25
Unknown Race,558,1.0%,102,5.5%,184,7.9%,42,9.3%,0,0.0%,9,0.7%,1,0.3%,26
