,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=870,177",,"N=142,945",,"N=10,482",,"N=2,722",,"N=613,013",,"N=547,443",,"N=111,8024",
0-4,31613,4%,3662,3%,85,1%,<5,--,0,0%,0,0%,0,0%
5-9,41010,5%,4735,3%,29,<1%,0,0%,0,0%,0,0%,0,0%
10-14,42698,5%,6005,4%,40,<1%,<5,--,13365,2%,7756,<1%,21120,2%
15-18,46223,5%,7851,5%,83,1%,0,0%,26271,4%,20428,4%,46204,4%
19-24,91244,11%,17925,13%,287,3%,<5,--,44644,7%,36700,7%,77979,7%
25-29,71440,8%,12736,9%,359,3%,5,<1%,36036,6%,30681,6%,63990,6%
30-39,128817,15%,22420,16%,700,7%,14,<1%,78206,13%,67946,12%,140037,13%
40-49,104943,12%,18760,13%,943,9%,36,1%,79904,13%,70954,13%,144217,13%
50-59,121398,14%,20457,14%,1566,15%,138,5%,107832,18%,98372,18%,194218,17%
60-69,101047,12%,14278,10%,2020,19%,332,12%,115140,19%,108631,20%,215733,19%
70-79,54624,6%,7241,5%,2069,20%,618,23%,72255,12%,68943,13%,139052,12%
80-89,24051,3%,4424,3%,1582,15%,848,31%,30224,5%,28576,5%,58172,5%
90+,9700,1%,2446,2%,717,7%,725,27%,9154,1%,8456,2%,17302,2%
Pending further information,1369,--,5,--,<5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,67595,17%,36672,29%,2214,26%,225,10%,72796,13%,59349,11%,125837,12%
American Indian or Alaska Native*,5047,1%,413,<1%,30,<1%,<5,--,2122,<1%,1790,<1%,3781,<1%
Asian*,11137,3%,2870,2%,204,2%,49,2%,21189,4%,18694,4%,38568,4%
Black or African American*,22468,6%,9161,7%,734,9%,118,5%,25751,4%,21510,4%,45286,4%
Native Hawaiian or Other Pacific Islander*,592,<1%,72,<1%,10,0%,0,0%,962,<1%,849,<1%,1759,<1%
White*,266866,66%,71544,57%,5138,60%,1951,83%,427522,74%,392023,76%,791012,75%
Other race*,23393,6%,2322,2%,143,2%,7,<1%,27088,5%,23073,4%,48209,5%
Multiple race*,7279,2%,2004,2%,123,1%,<5,--,--,--,--,--,--,--
Declined,12588,--,3059,--,115,--,0,--,0,--,0,--,0,--
Unknown or pending further information,453212,--,14828,--,1771,--,366,--,35601,--,30155,--,63572,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,384767,54%,70480,53%,4784,51%,1398,51%,333565,54%,300212,55%,612492,55%
Male,329533,46%,62870,47%,4642,49%,1321,49%,278699,46%,246593,45%,504224,45%
Other,210,<1%,206,<1%,15,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,155667,--,9389,--,1041,--,<5,--,767,--,638,--,1308,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3589,5%,123,3%,--,--,--,--,--,--,--,--
No,--,--,71250,95%,3850,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,68106,--,6509,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46240,52%,5277,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40964,46%,5190,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,629,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,278,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27860,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26974,--,12,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,45,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,781,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1317,2%,52,1%,--,--,--,--,--,--,--,--
Queer,--,--,158,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75684,96%,4093,98%,--,--,--,--,--,--,--,--
Other,--,--,702,1%,19,<1%,--,--,--,--,--,--,--,--
Declined,--,--,34023,--,2568,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,30235,--,3731,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,6/16/2021,,,,,,,,,,,,,
