Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,20595,51.8%,744,52.5%,938,51.1%,196,52.5%,18460,51.8%,475,54.7%,104,59.4%,1
Female,19109,48.1%,673,47.5%,897,48.9%,177,47.5%,17134,48.1%,394,45.3%,71,40.6%,2
Unknown Sex,34,0.1%,0,0.0%,0,0.0%,0,0.0%,34,0.1%,0,0.0%,0,0.0%,3
<10 Years,2416,6.1%,30,2.1%,122,6.6%,9,2.4%,2244,6.3%,8,0.9%,0,0.0%,4
10-19 Years,4676,11.8%,121,8.5%,211,11.5%,55,14.7%,4226,11.9%,7,0.8%,0,0.0%,5
20-29 Years,8146,20.5%,403,28.4%,475,25.9%,62,16.6%,7109,20.0%,44,5.1%,3,1.7%,6
30-39 Years,7612,19.2%,260,18.3%,329,17.9%,77,20.6%,6849,19.2%,77,8.9%,5,2.9%,7
40-49 Years,5656,14.2%,215,15.2%,232,12.6%,58,15.5%,5085,14.3%,81,9.3%,7,4.0%,8
50-59 Years,5158,13.0%,175,12.4%,238,13.0%,50,13.4%,4639,13.0%,140,16.1%,12,6.9%,9
60-69 Years,3695,9.3%,144,10.2%,134,7.3%,39,10.5%,3318,9.3%,195,22.4%,33,18.9%,10
70-79 Years,1669,4.2%,52,3.7%,61,3.3%,22,5.9%,1505,4.2%,188,21.6%,52,29.7%,11
80+ Years,710,1.8%,17,1.2%,33,1.8%,1,0.3%,653,1.8%,129,14.8%,63,36.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1977,5.0%,113,8.0%,174,9.5%,40,10.7%,1632,4.6%,40,4.6%,4,2.3%,14
Non-Hispanic,18350,46.2%,1102,77.8%,1393,75.9%,286,76.7%,15453,43.4%,612,70.4%,140,80.0%,15
UI Ethnicity,18543,46.7%,0,0.0%,0,0.0%,0,0.0%,18543,52.0%,202,23.2%,28,16.0%,16
Unknown Ethnicity,868,2.2%,202,14.3%,268,14.6%,47,12.6%,0,0.0%,15,1.7%,3,1.7%,17
White,11459,28.8%,638,45.0%,784,42.7%,225,60.3%,9723,27.3%,267,30.7%,61,34.9%,18
Black,1027,2.6%,91,6.4%,115,6.3%,21,5.6%,790,2.2%,34,3.9%,7,4.0%,19
AI/AN,8001,20.1%,348,24.6%,409,22.3%,43,11.5%,7136,20.0%,234,26.9%,65,37.1%,20
Asian,1498,3.8%,72,5.1%,95,5.2%,18,4.8%,1306,3.7%,71,8.2%,18,10.3%,21
NHOPI,1126,2.8%,73,5.2%,133,7.2%,4,1.1%,913,2.6%,97,11.2%,11,6.3%,22
Multiple,2958,7.4%,71,5.0%,90,4.9%,13,3.5%,2757,7.7%,59,6.8%,6,3.4%,23
Other,4915,12.4%,36,2.5%,49,2.7%,16,4.3%,4698,13.2%,38,4.4%,3,1.7%,24
UI Race,8305,20.9%,0,0.0%,0,0.0%,0,0.0%,8305,23.3%,62,7.1%,4,2.3%,25
Unknown Race,449,1.1%,88,6.2%,160,8.7%,33,8.8%,0,0.0%,7,0.8%,0,0.0%,26
