ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1759,48.7%,280,48.3%,390,48.4%,111,53.6%,960,48.3%,59.1%,65.4%,88,17,522,48.5%
2,Female,1854,51.3%,300,51.7%,416,51.6%,96,46.4%,1028,51.7%,40.9%,34.6%,61,9,555,51.5%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,167,4.6%,12,2.1%,52,6.5%,3,1.4%,100,5.0%,0.0%,0.0%,0,0,48,4.5%
5,10-19 Years,384,10.6%,48,8.3%,73,9.1%,22,10.6%,233,11.7%,0.7%,0.0%,1,0,105,9.7%
6,20-29 Years,884,24.5%,149,25.7%,207,25.7%,35,16.9%,484,24.3%,8.1%,0.0%,12,0,248,23.0%
7,30-39 Years,683,18.9%,120,20.7%,154,19.1%,42,20.3%,362,18.2%,10.1%,7.7%,15,2,228,21.2%
8,40-49 Years,498,13.8%,92,15.9%,94,11.7%,37,17.9%,269,13.5%,8.7%,3.8%,13,1,151,14.0%
9,50-59 Years,459,12.7%,73,12.6%,117,14.5%,28,13.5%,240,12.1%,18.1%,11.5%,27,3,143,13.3%
10,60-69 Years,333,9.2%,50,8.6%,70,8.7%,25,12.1%,186,9.4%,18.8%,15.4%,28,4,108,10.0%
11,70-79 Years,153,4.2%,28,4.8%,25,3.1%,14,6.8%,86,4.3%,25.5%,46.2%,38,12,39,3.6%
12,80+ Years,52,1.4%,8,1.4%,14,1.7%,1,0.5%,28,1.4%,10.1%,15.4%,15,4,7,0.6%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,196,5.4%,46,7.9%,78,9.7%,26,12.6%,44,2.2%,5.4%,0.0%,8,0,114,10.6%
15,Non-Hispanic,1452,40.2%,449,77.4%,568,70.5%,152,73.4%,270,13.6%,78.5%,100.0%,117,26,842,78.2%
16,UI Ethnicity,1674,46.3%,0,0.0%,0,0.0%,0,0.0%,1674,84.2%,12.1%,0.0%,18,0,1,0.1%
17,Unknown Ethnicity,291,8.1%,85,14.7%,160,19.9%,29,14.0%,0,0.0%,4.0%,0.0%,6,0,120,11.1%
18,White,978,27.1%,275,47.4%,369,45.8%,143,69.1%,187,9.4%,35.6%,42.3%,53,11,566,52.6%
19,Black,117,3.2%,39,6.7%,31,3.8%,13,6.3%,32,1.6%,2.7%,0.0%,4,0,48,4.5%
20,AI/AN,484,13.4%,126,21.7%,137,17.0%,8,3.9%,206,10.4%,24.8%,34.6%,37,9,178,16.5%
21,Asian,100,2.8%,23,4.0%,47,5.8%,8,3.9%,21,1.1%,7.4%,7.7%,11,2,66,6.1%
22,NHOPI,146,4.0%,35,6.0%,53,6.6%,1,0.5%,57,2.9%,16.8%,15.4%,25,4,50,4.6%
23,Multiple,107,3.0%,25,4.3%,34,4.2%,8,3.9%,39,2.0%,0.0%,0.0%,0,0,49,4.5%
24,Other,86,2.4%,11,1.9%,23,2.9%,10,4.8%,41,2.1%,3.4%,0.0%,5,0,35,3.2%
25,UI Race,1405,38.9%,0,0.0%,0,0.0%,0,0.0%,1405,70.7%,6.7%,0.0%,10,0,3,0.3%
26,Unknown Race,190,5.3%,46,7.9%,112,13.9%,16,7.7%,0,0.0%,2.7%,0.0%,4,0,82,7.6%
