Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34335,52.1%,1118,52.0%,1442,49.9%,283,52.4%,30977,52.2%,828,55.0%,206,60.2%,1
Female,31554,47.9%,1034,48.0%,1449,50.1%,257,47.6%,28337,47.8%,678,45.0%,136,39.8%,2
Unknown Sex,19,0.0%,0,0.0%,0,0.0%,0,0.0%,19,0.0%,0,0.0%,0,0.0%,3
<10 Years,4800,7.3%,67,3.1%,270,9.3%,18,3.3%,4399,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8582,13.0%,216,10.0%,386,13.4%,72,13.3%,7803,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13510,20.5%,536,24.9%,620,21.4%,90,16.7%,12066,20.3%,62,4.1%,5,1.5%,6
30-39 Years,12436,18.9%,375,17.4%,469,16.2%,95,17.6%,11335,19.1%,121,8.0%,7,2.0%,7
40-49 Years,8970,13.6%,299,13.9%,340,11.8%,82,15.2%,8122,13.7%,153,10.2%,16,4.7%,8
50-59 Years,8356,12.7%,266,12.4%,357,12.3%,73,13.5%,7542,12.7%,263,17.5%,23,6.7%,9
60-69 Years,5754,8.7%,227,10.5%,215,7.4%,69,12.8%,5108,8.6%,337,22.4%,67,19.6%,10
70-79 Years,2478,3.8%,107,5.0%,132,4.6%,36,6.7%,2138,3.6%,315,20.9%,105,30.7%,11
80+ Years,1022,1.6%,59,2.7%,102,3.5%,5,0.9%,820,1.4%,224,14.9%,119,34.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3345,5.1%,138,6.4%,221,7.6%,57,10.6%,2894,4.9%,76,5.0%,16,4.7%,14
Non-Hispanic,34607,52.5%,1727,80.3%,2268,78.5%,410,75.9%,29789,50.2%,1123,74.6%,320,93.6%,15
UI Ethnicity,26650,40.4%,0,0.0%,0,0.0%,0,0.0%,26650,44.9%,285,18.9%,4,1.2%,16
Unknown Ethnicity,1306,2.0%,287,13.3%,402,13.9%,73,13.5%,0,0.0%,22,1.5%,2,0.6%,17
White,21766,33.0%,887,41.2%,1129,39.1%,321,59.4%,19161,32.3%,549,36.5%,152,44.4%,18
Black,1592,2.4%,98,4.6%,132,4.6%,22,4.1%,1322,2.2%,53,3.5%,10,2.9%,19
AI/AN,13731,20.8%,738,34.3%,893,30.9%,77,14.3%,11802,19.9%,388,25.8%,120,35.1%,20
Asian,2528,3.8%,94,4.4%,171,5.9%,23,4.3%,2209,3.7%,125,8.3%,32,9.4%,21
NHOPI,1692,2.6%,81,3.8%,161,5.6%,4,0.7%,1437,2.4%,136,9.0%,20,5.8%,22
Multiple,4962,7.5%,89,4.1%,125,4.3%,22,4.1%,4685,7.9%,79,5.2%,6,1.8%,23
Other,7651,11.6%,56,2.6%,75,2.6%,21,3.9%,7357,12.4%,70,4.6%,1,0.3%,24
UI Race,11360,17.2%,0,0.0%,0,0.0%,0,0.0%,11360,19.1%,97,6.4%,0,0.0%,25
Unknown Race,626,0.9%,109,5.1%,205,7.1%,50,9.3%,0,0.0%,9,0.6%,1,0.3%,26
