,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=834,344",,"N=139,455",,"N=10,183",,"N=2,675",,"N=519,490",,"N=374,520",,"N=858,022",
0-4,28794,3%,3478,2%,85,1%,<5,--,0,0%,0,0%,0,0%
5-9,37643,5%,4447,3%,27,<1%,0,0%,<5,--,0,0%,<5,--
10-14,39395,5%,5709,4%,36,<1%,<5,--,6,<1%,<5,--,6,<1%
15-18,43619,5%,7567,5%,77,1%,0,0%,13450,3%,3300,1%,16379,2%
19-24,88260,11%,17509,13%,271,3%,<5,--,33437,6%,15665,4%,46539,5%
25-29,69021,8%,12386,9%,340,3%,<5,--,28529,5%,15788,4%,42254,5%
30-39,124135,15%,21859,16%,664,7%,13,<1%,63501,12%,36910,10%,95550,11%
40-49,101349,12%,18320,13%,904,9%,35,1%,67523,13%,40700,11%,102715,12%
50-59,117769,14%,20117,14%,1503,15%,125,5%,96149,19%,67091,18%,152658,18%
60-69,97996,12%,14084,10%,1973,19%,323,12%,108708,21%,95087,25%,196527,23%
70-79,52622,6%,7162,5%,2030,20%,608,23%,69853,13%,64685,17%,132622,15%
80-89,23131,3%,4379,3%,1559,15%,842,32%,29426,6%,27197,7%,56055,7%
90+,9361,1%,2432,2%,710,7%,719,27%,8901,2%,8094,2%,16708,2%
Pending further information,1249,--,6,--,<5,--,0,--,6,--,<5,--,8,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,63469,17%,35573,29%,2140,26%,220,10%,52401,11%,32810,9%,79803,10%
American Indian or Alaska Native*,4958,1%,399,<1%,30,<1%,<5,--,1654,<1%,1086,<1%,2642,<1%
Asian*,10363,3%,2789,2%,193,2%,47,2%,17384,4%,8915,3%,25108,3%
Black or African American*,21204,6%,8835,7%,699,8%,110,5%,19608,4%,12590,4%,30507,4%
Native Hawaiian or Other Pacific Islander*,568,<1%,0,0%,0,0%,0,0%,833,<1%,564,<1%,1354,<1%
White*,254771,66%,69859,57%,4958,60%,1924,83%,372401,76%,276811,79%,625182,78%
Other race*,22324,6%,2685,2%,218,3%,6,<1%,22754,5%,16154,5%,37246,5%
Multiple race*,6682,2%,1591,1%,56,1%,<5,--,--,--,--,--,--,--
Declined,11791,--,2964,--,113,--,0,--,0,--,0,--,0,--
Unknown or pending further information,438214,--,14760,--,1776,--,362,--,32455,--,25590,--,56180,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,374736,54%,68655,53%,4602,51%,1376,52%,287430,55%,215975,58%,484421,57%
Male,319930,46%,61216,47%,4487,49%,1293,48%,231408,45%,158189,42%,372672,43%
Other,208,<1%,196,<1%,13,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,139470,--,9388,--,1081,--,<5,--,652,--,356,--,929,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3498,5%,117,3%,--,--,--,--,--,--,--,--
No,--,--,66586,95%,3674,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,69371,--,6392,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,45149,53%,5113,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,39938,46%,5054,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,607,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,273,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27642,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,25846,--,14,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,45,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,751,1%,12,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1290,2%,48,1%,--,--,--,--,--,--,--,--
Queer,--,--,154,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,73920,96%,3925,98%,--,--,--,--,--,--,--,--
Other,--,--,693,1%,20,<1%,--,--,--,--,--,--,--,--
Declined,--,--,33624,--,2529,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,28978,--,3643,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,5/5/2021,,,,,,,,,,,,,
