Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,33233,52.1%,1093,51.7%,1422,49.9%,276,52.4%,29943,52.2%,782,54.6%,198,60.2%,1
Female,30531,47.9%,1021,48.3%,1426,50.1%,251,47.6%,27365,47.7%,650,45.4%,131,39.8%,2
Unknown Sex,14,0.0%,0,0.0%,0,0.0%,0,0.0%,14,0.0%,0,0.0%,0,0.0%,3
<10 Years,4586,7.2%,66,3.1%,263,9.2%,18,3.4%,4195,7.3%,16,1.1%,0,0.0%,4
10-19 Years,8251,12.9%,211,10.0%,376,13.2%,72,13.7%,7489,13.1%,15,1.0%,0,0.0%,5
20-29 Years,12995,20.4%,532,25.2%,611,21.5%,88,16.7%,11570,20.2%,58,4.1%,4,1.2%,6
30-39 Years,12070,18.9%,371,17.5%,462,16.2%,91,17.3%,10988,19.2%,119,8.3%,6,1.8%,7
40-49 Years,8714,13.7%,294,13.9%,335,11.8%,79,15.0%,7886,13.8%,144,10.1%,15,4.6%,8
50-59 Years,8131,12.7%,258,12.2%,356,12.5%,71,13.5%,7332,12.8%,243,17.0%,21,6.4%,9
60-69 Years,5606,8.8%,220,10.4%,212,7.4%,68,12.9%,4972,8.7%,323,22.6%,65,19.8%,10
70-79 Years,2418,3.8%,105,5.0%,131,4.6%,35,6.6%,2083,3.6%,296,20.7%,100,30.4%,11
80+ Years,1007,1.6%,57,2.7%,102,3.6%,5,0.9%,807,1.4%,218,15.2%,118,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3281,5.1%,137,6.5%,221,7.8%,56,10.6%,2832,4.9%,75,5.2%,15,4.6%,14
Non-Hispanic,33879,53.1%,1695,80.2%,2232,78.4%,401,76.1%,29151,50.9%,1078,75.3%,308,93.6%,15
UI Ethnicity,25339,39.7%,0,0.0%,0,0.0%,0,0.0%,25339,44.2%,258,18.0%,4,1.2%,16
Unknown Ethnicity,1279,2.0%,282,13.3%,395,13.9%,70,13.3%,0,0.0%,21,1.5%,2,0.6%,17
White,21067,33.0%,872,41.2%,1117,39.2%,314,59.6%,18504,32.3%,512,35.8%,144,43.8%,18
Black,1548,2.4%,96,4.5%,132,4.6%,22,4.2%,1281,2.2%,50,3.5%,10,3.0%,19
AI/AN,13342,20.9%,720,34.1%,870,30.5%,74,14.0%,11463,20.0%,382,26.7%,117,35.6%,20
Asian,2490,3.9%,94,4.4%,168,5.9%,22,4.2%,2175,3.8%,121,8.4%,32,9.7%,21
NHOPI,1656,2.6%,81,3.8%,160,5.6%,4,0.8%,1402,2.4%,133,9.3%,18,5.5%,22
Multiple,4847,7.6%,89,4.2%,124,4.4%,21,4.0%,4572,8.0%,78,5.4%,6,1.8%,23
Other,7484,11.7%,55,2.6%,75,2.6%,20,3.8%,7192,12.5%,63,4.4%,1,0.3%,24
UI Race,10733,16.8%,0,0.0%,0,0.0%,0,0.0%,10733,18.7%,84,5.9%,0,0.0%,25
Unknown Race,611,1.0%,107,5.1%,202,7.1%,50,9.5%,0,0.0%,9,0.6%,1,0.3%,26
