ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1152,49.3%,215,49.3%,300,48.6%,100,54.3%,528,48.7%,60.0%,50.0%,69,10,407,49.9%
2,Female,1186,50.7%,221,50.7%,317,51.4%,84,45.7%,557,51.3%,40.0%,50.0%,46,10,408,50.1%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,111,4.7%,8,1.8%,39,6.3%,3,1.6%,61,5.6%,0.0%,0.0%,0,0,33,4.0%
5,10-19 Years,229,9.8%,35,8.0%,47,7.6%,19,10.3%,126,11.6%,0.9%,0.0%,1,0,69,8.5%
6,20-29 Years,577,24.7%,113,25.9%,147,23.8%,28,15.2%,284,26.2%,7.8%,0.0%,9,0,180,22.1%
7,30-39 Years,450,19.2%,88,20.2%,119,19.3%,37,20.1%,202,18.6%,12.2%,10.0%,14,2,166,20.4%
8,40-49 Years,318,13.6%,71,16.3%,75,12.2%,34,18.5%,136,12.5%,7.0%,0.0%,8,0,122,15.0%
9,50-59 Years,292,12.5%,56,12.8%,101,16.4%,25,13.6%,109,10.0%,20.9%,10.0%,24,2,117,14.4%
10,60-69 Years,221,9.5%,38,8.7%,58,9.4%,23,12.5%,100,9.2%,18.3%,10.0%,21,2,86,10.6%
11,70-79 Years,103,4.4%,21,4.8%,21,3.4%,14,7.6%,47,4.3%,23.5%,50.0%,27,10,35,4.3%
12,80+ Years,37,1.6%,6,1.4%,10,1.6%,1,0.5%,20,1.8%,9.6%,20.0%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,136,5.8%,36,8.3%,56,9.1%,23,12.5%,21,1.9%,6.1%,0.0%,7,0,84,10.3%
15,Non-Hispanic,1122,48.0%,358,82.1%,461,74.7%,140,76.1%,155,14.3%,80.9%,95.0%,93,19,674,82.7%
16,Unknown Ethnicity,1080,46.2%,42,9.6%,100,16.2%,21,11.4%,909,83.8%,13.0%,5.0%,15,1,57,7.0%
17,White,801,34.3%,223,51.1%,320,51.9%,131,71.2%,123,11.3%,40.9%,55.0%,47,11,490,60.1%
18,Black,62,2.7%,23,5.3%,14,2.3%,10,5.4%,14,1.3%,1.7%,0.0%,2,0,27,3.3%
19,AI/AN,307,13.1%,90,20.6%,95,15.4%,8,4.3%,110,10.1%,20.0%,25.0%,23,5,108,13.3%
20,Asian,77,3.3%,19,4.4%,45,7.3%,6,3.3%,7,0.6%,8.7%,10.0%,10,2,59,7.2%
21,NHOPI,89,3.8%,20,4.6%,34,5.5%,1,0.5%,34,3.1%,14.8%,5.0%,17,1,29,3.6%
22,Multiple,53,2.3%,17,3.9%,21,3.4%,8,4.3%,7,0.6%,0.0%,0.0%,0,0,32,3.9%
23,Other,42,1.8%,7,1.6%,15,2.4%,8,4.3%,12,1.1%,4.3%,0.0%,5,0,22,2.7%
24,Unknown Race,907,38.8%,37,8.5%,73,11.8%,12,6.5%,778,71.7%,9.6%,5.0%,11,1,48,5.9%
