Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5016,50.0%,597,52.5%,774,50.8%,172,52.1%,3419,49.2%,173,52.3%,39,65.0%,1,2629,49.8%
Female,5009,50.0%,540,47.5%,749,49.2%,158,47.9%,3521,50.7%,158,47.7%,21,35.0%,2,2655,50.2%
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,517,5.2%,23,2.0%,98,6.4%,8,2.4%,385,5.5%,3,0.9%,0,0.0%,4,265,5.0%
10-19 Years,1058,10.6%,99,8.7%,158,10.4%,49,14.8%,738,10.6%,3,0.9%,0,0.0%,5,560,10.6%
20-29 Years,2405,24.0%,315,27.7%,414,27.2%,59,17.9%,1593,22.9%,19,5.7%,0,0.0%,6,1289,24.4%
30-39 Years,1900,18.9%,219,19.3%,274,18.0%,66,20.0%,1321,19.0%,27,8.2%,2,3.3%,7,1037,19.6%
40-49 Years,1362,13.6%,179,15.7%,186,12.2%,52,15.8%,929,13.4%,46,13.9%,4,6.7%,8,708,13.4%
50-59 Years,1295,12.9%,135,11.9%,204,13.4%,43,13.0%,909,13.1%,60,18.1%,6,10.0%,9,676,12.8%
60-69 Years,922,9.2%,114,10.0%,109,7.2%,33,10.0%,658,9.5%,66,19.9%,11,18.3%,10,485,9.2%
70-79 Years,392,3.9%,42,3.7%,51,3.3%,19,5.8%,277,4.0%,69,20.8%,23,38.3%,11,197,3.7%
80+ Years,177,1.8%,11,1.0%,29,1.9%,1,0.3%,133,1.9%,38,11.5%,14,23.3%,12,67,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,749,7.5%,91,8.0%,152,10.0%,37,11.2%,462,6.7%,19,5.7%,1,1.7%,14,536,10.1%
Non-Hispanic,5643,56.3%,869,76.4%,1127,74.0%,251,76.1%,3350,48.3%,258,77.9%,52,86.7%,15,3990,75.5%
UI Ethnicity,3131,31.2%,0,0.0%,0,0.0%,0,0.0%,3131,45.1%,37,11.2%,2,3.3%,16,453,8.6%
Unknown Ethnicity,505,5.0%,177,15.6%,244,16.0%,42,12.7%,0,0.0%,17,5.1%,5,8.3%,17,305,5.8%
White,3279,32.7%,491,43.2%,641,42.1%,201,60.9%,1922,27.7%,88,26.6%,24,40.0%,18,2325,44.0%
Black,413,4.1%,75,6.6%,103,6.8%,19,5.8%,211,3.0%,12,3.6%,2,3.3%,19,259,4.9%
AI/AN,2294,22.9%,287,25.2%,337,22.1%,34,10.3%,1612,23.2%,106,32.0%,21,35.0%,20,1131,21.4%
Asian,452,4.5%,55,4.8%,82,5.4%,18,5.5%,296,4.3%,24,7.3%,5,8.3%,21,302,5.7%
NHOPI,486,4.8%,65,5.7%,110,7.2%,4,1.2%,305,4.4%,52,15.7%,7,11.7%,22,346,6.5%
Multiple,421,4.2%,59,5.2%,63,4.1%,11,3.3%,285,4.1%,12,3.6%,0,0.0%,23,246,4.7%
Other,354,3.5%,25,2.2%,41,2.7%,13,3.9%,274,3.9%,11,3.3%,0,0.0%,24,171,3.2%
UI Race,2038,20.3%,0,0.0%,0,0.0%,0,0.0%,2038,29.4%,17,5.1%,0,0.0%,25,316,6.0%
Unknown Race,291,2.9%,80,7.0%,146,9.6%,30,9.1%,0,0.0%,9,2.7%,1,1.7%,26,188,3.6%
