Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29507,52.0%,949,52.1%,1167,51.1%,239,53.3%,26734,52.0%,692,55.4%,178,59.5%,1
Female,27228,48.0%,874,47.9%,1118,48.9%,209,46.7%,24663,48.0%,558,44.6%,121,40.5%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3873,6.8%,41,2.2%,164,7.2%,14,3.1%,3624,7.0%,12,1.0%,0,0.0%,4
10-19 Years,7003,12.3%,153,8.4%,272,11.9%,65,14.5%,6426,12.5%,9,0.7%,0,0.0%,5
20-29 Years,11607,20.5%,476,26.1%,542,23.7%,78,17.4%,10354,20.1%,49,3.9%,3,1.0%,6
30-39 Years,10776,19.0%,315,17.3%,387,16.9%,85,19.0%,9851,19.2%,99,7.9%,6,2.0%,7
40-49 Years,7801,13.7%,272,14.9%,272,11.9%,69,15.4%,7096,13.8%,120,9.6%,12,4.0%,8
50-59 Years,7308,12.9%,229,12.6%,288,12.6%,61,13.6%,6636,12.9%,202,16.2%,20,6.7%,9
60-69 Years,5170,9.1%,190,10.4%,166,7.3%,52,11.6%,4655,9.1%,274,21.9%,59,19.7%,10
70-79 Years,2258,4.0%,95,5.2%,108,4.7%,22,4.9%,1982,3.9%,279,22.3%,93,31.1%,11
80+ Years,949,1.7%,52,2.9%,86,3.8%,2,0.4%,783,1.5%,206,16.5%,106,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2857,5.0%,136,7.5%,200,8.8%,48,10.7%,2448,4.8%,66,5.3%,12,4.0%,14
Non-Hispanic,28508,50.2%,1436,78.8%,1761,77.1%,343,76.6%,24676,48.0%,939,75.1%,280,93.6%,15
UI Ethnicity,24283,42.8%,0,0.0%,0,0.0%,0,0.0%,24283,47.2%,226,18.1%,5,1.7%,16
Unknown Ethnicity,1097,1.9%,251,13.8%,324,14.2%,57,12.7%,0,0.0%,19,1.5%,2,0.7%,17
White,17386,30.6%,809,44.4%,958,41.9%,278,62.1%,15130,29.4%,422,33.8%,126,42.1%,18
Black,1378,2.4%,95,5.2%,120,5.3%,21,4.7%,1125,2.2%,45,3.6%,9,3.0%,19
AI/AN,12192,21.5%,511,28.0%,577,25.3%,52,11.6%,10927,21.3%,336,26.9%,111,37.1%,20
Asian,2231,3.9%,89,4.9%,135,5.9%,19,4.2%,1961,3.8%,116,9.3%,29,9.7%,21
NHOPI,1478,2.6%,79,4.3%,149,6.5%,4,0.9%,1237,2.4%,126,10.1%,17,5.7%,22
Multiple,4334,7.6%,84,4.6%,101,4.4%,15,3.3%,4103,8.0%,67,5.4%,4,1.3%,23
Other,6853,12.1%,55,3.0%,64,2.8%,18,4.0%,6578,12.8%,53,4.2%,1,0.3%,24
UI Race,10346,18.2%,0,0.0%,0,0.0%,0,0.0%,10346,20.1%,76,6.1%,1,0.3%,25
Unknown Race,547,1.0%,101,5.5%,181,7.9%,41,9.2%,0,0.0%,9,0.7%,1,0.3%,26
