Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28130,52.0%,896,52.1%,1105,51.4%,234,53.5%,25494,51.9%,661,55.4%,169,60.8%,1
Female,25998,48.0%,823,47.9%,1045,48.6%,203,46.5%,23578,48.0%,533,44.6%,109,39.2%,2
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3
<10 Years,3612,6.7%,39,2.3%,158,7.3%,14,3.2%,3374,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6565,12.1%,145,8.4%,261,12.1%,64,14.6%,6014,12.3%,9,0.8%,0,0.0%,5
20-29 Years,11173,20.6%,456,26.5%,518,24.1%,76,17.4%,9975,20.3%,50,4.2%,3,1.1%,6
30-39 Years,10260,19.0%,301,17.5%,370,17.2%,83,19.0%,9374,19.1%,92,7.7%,6,2.2%,7
40-49 Years,7457,13.8%,253,14.7%,259,12.0%,68,15.6%,6787,13.8%,112,9.4%,11,4.0%,8
50-59 Years,6989,12.9%,214,12.4%,267,12.4%,59,13.5%,6359,13.0%,195,16.3%,21,7.6%,9
60-69 Years,4978,9.2%,179,10.4%,159,7.4%,49,11.2%,4486,9.1%,263,22.0%,55,19.8%,10
70-79 Years,2175,4.0%,86,5.0%,93,4.3%,22,5.0%,1923,3.9%,266,22.3%,86,30.9%,11
80+ Years,925,1.7%,46,2.7%,65,3.0%,2,0.5%,786,1.6%,196,16.4%,96,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2818,5.2%,129,7.5%,192,8.9%,46,10.5%,2424,4.9%,62,5.2%,12,4.3%,14
Non-Hispanic,27735,51.2%,1359,79.1%,1655,77.0%,335,76.7%,24109,49.1%,900,75.4%,259,93.2%,15
UI Ethnicity,22545,41.6%,0,0.0%,0,0.0%,0,0.0%,22545,45.9%,213,17.8%,7,2.5%,16
Unknown Ethnicity,1036,1.9%,231,13.4%,303,14.1%,56,12.8%,0,0.0%,19,1.6%,0,0.0%,17
White,16595,30.7%,760,44.2%,897,41.7%,270,61.8%,14467,29.5%,395,33.1%,115,41.4%,18
Black,1347,2.5%,95,5.5%,117,5.4%,21,4.8%,1098,2.2%,46,3.9%,9,3.2%,19
AI/AN,11772,21.7%,485,28.2%,548,25.5%,52,11.9%,10567,21.5%,323,27.1%,103,37.1%,20
Asian,2128,3.9%,81,4.7%,118,5.5%,19,4.3%,1885,3.8%,114,9.5%,29,10.4%,21
NHOPI,1442,2.7%,79,4.6%,146,6.8%,4,0.9%,1205,2.5%,122,10.2%,16,5.8%,22
Multiple,4220,7.8%,79,4.6%,95,4.4%,15,3.4%,3999,8.1%,67,5.6%,4,1.4%,23
Other,6630,12.2%,47,2.7%,58,2.7%,16,3.7%,6378,13.0%,51,4.3%,1,0.4%,24
UI Race,9479,17.5%,0,0.0%,0,0.0%,0,0.0%,9479,19.3%,68,5.7%,1,0.4%,25
Unknown Race,521,1.0%,93,5.4%,171,8.0%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
