Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,All Ages,212328,2330395,217959,96557,6750,339473,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,Under 1 year,26,13183,123,4,16,161,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,0-17 years,111,23357,358,18,124,575,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,1-4 years,15,2484,78,2,42,133,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,5-14 years,39,3931,111,7,53,196,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,15-24 years,388,25319,509,138,55,810,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,18-29 years,944,44762,1184,392,102,1828,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,25-34 years,1649,51694,1834,733,152,2888,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,30-49 years,9714,155000,9153,4377,571,14983,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,35-44 years,4262,73042,4108,1891,250,6700,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,45-54 years,11252,133461,10726,5309,585,17147,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,50-64 years,33896,385499,35480,16578,1602,54115,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,55-64 years,27034,305504,28686,13281,1246,43466,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,65-74 years,45951,462480,48674,22489,1463,73355,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,75-84 years,56409,562807,59642,26484,1491,90849,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,85 years and over,65303,696490,63468,26219,1397,103768,
10/28/2020,02/01/2020,10/24/2020,United States,Male,All Ages,114917,1216464,119775,54658,3482,182897,
10/28/2020,02/01/2020,10/24/2020,United States,Male,Under 1 year,18,7318,72,3,8,95,
10/28/2020,02/01/2020,10/24/2020,United States,Male,0-17 years,66,13771,195,11,65,315,
10/28/2020,02/01/2020,10/24/2020,United States,Male,1-4 years,7,1447,38,1,25,69,
10/28/2020,02/01/2020,10/24/2020,United States,Male,5-14 years,25,2353,56,6,24,99,
10/28/2020,02/01/2020,10/24/2020,United States,Male,15-24 years,237,18768,311,84,27,488,
10/28/2020,02/01/2020,10/24/2020,United States,Male,18-29 years,603,32829,720,234,53,1135,
10/28/2020,02/01/2020,10/24/2020,United States,Male,25-34 years,1076,36534,1132,465,77,1811,
