Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,7020,49.8%,718,52.4%,908,50.8%,188,53.0%,5146,49.1%,219,53.0%,45,63.4%,1,3185,49.6%
Female,7073,50.2%,653,47.6%,880,49.2%,167,47.0%,5324,50.8%,194,47.0%,26,36.6%,2,3236,50.4%
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,758,5.4%,28,2.0%,116,6.5%,8,2.3%,603,5.8%,4,1.0%,0,0.0%,4,323,5.0%
10-19 Years,1616,11.5%,117,8.5%,205,11.5%,51,14.4%,1227,11.7%,3,0.7%,0,0.0%,5,685,10.7%
20-29 Years,3146,22.3%,387,28.2%,466,26.1%,62,17.5%,2203,21.0%,21,5.1%,1,1.4%,6,1542,24.0%
30-39 Years,2682,19.0%,252,18.4%,323,18.1%,72,20.3%,2014,19.2%,35,8.5%,2,2.8%,7,1236,19.2%
40-49 Years,1921,13.6%,210,15.3%,227,12.7%,56,15.8%,1411,13.5%,53,12.8%,4,5.6%,8,857,13.3%
50-59 Years,1838,13.0%,168,12.3%,235,13.1%,47,13.2%,1381,13.2%,70,16.9%,7,9.9%,9,842,13.1%
60-69 Years,1324,9.4%,140,10.2%,126,7.0%,38,10.7%,1011,9.7%,88,21.3%,13,18.3%,10,611,9.5%
70-79 Years,572,4.1%,52,3.8%,58,3.2%,20,5.6%,437,4.2%,84,20.3%,23,32.4%,11,236,3.7%
80+ Years,240,1.7%,17,1.2%,32,1.8%,1,0.3%,187,1.8%,55,13.3%,21,29.6%,12,90,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,868,6.2%,107,7.8%,171,9.6%,37,10.4%,546,5.2%,19,4.6%,1,1.4%,14,595,9.3%
Non-Hispanic,7125,50.5%,1045,76.2%,1327,74.2%,269,75.8%,4431,42.3%,308,74.6%,61,85.9%,15,4894,76.2%
UI Ethnicity,5497,39.0%,0,0.0%,0,0.0%,0,0.0%,5497,52.5%,70,16.9%,6,8.5%,16,565,8.8%
Unknown Ethnicity,607,4.3%,219,16.0%,290,16.2%,49,13.8%,0,0.0%,16,3.9%,3,4.2%,17,368,5.7%
White,4295,30.5%,613,44.7%,747,41.8%,214,60.3%,2694,25.7%,105,25.4%,25,35.2%,18,2781,43.3%
Black,497,3.5%,89,6.5%,114,6.4%,20,5.6%,269,2.6%,20,4.8%,3,4.2%,19,290,4.5%
AI/AN,3240,23.0%,327,23.9%,399,22.3%,39,11.0%,2446,23.4%,131,31.7%,24,33.8%,20,1427,22.2%
Asian,614,4.4%,69,5.0%,94,5.3%,18,5.1%,431,4.1%,28,6.8%,7,9.9%,21,417,6.5%
NHOPI,589,4.2%,73,5.3%,129,7.2%,4,1.1%,381,3.6%,58,14.0%,7,9.9%,22,388,6.0%
Multiple,714,5.1%,68,5.0%,87,4.9%,12,3.4%,543,5.2%,21,5.1%,1,1.4%,23,347,5.4%
Other,553,3.9%,33,2.4%,47,2.6%,14,3.9%,458,4.4%,14,3.4%,1,1.4%,24,196,3.1%
UI Race,3252,23.1%,0,0.0%,0,0.0%,0,0.0%,3252,31.0%,28,6.8%,3,4.2%,25,360,5.6%
Unknown Race,343,2.4%,99,7.2%,171,9.6%,34,9.6%,0,0.0%,8,1.9%,0,0.0%,26,216,3.4%
