,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=387,368",,"N=29,779",,"N=3,214",,"N=1,183",
Female,202309,55%,16060,54%,1552,48%,626,53%
Male,164404,45%,13452,46%,1650,51%,557,47%
Other,80,<1%,11,<1%,<5,--,0,0%
Pending further information,20575,--,256,--,8,--,0,--
Age Group,,,,,,,,
0-4,8925,2%,498,2%,25,1%,0,0%
5-9,10261,3%,547,2%,11,<1%,0,0%
10-14,10088,3%,678,2%,16,<1%,<5,--
15-18,18111,5%,1199,4%,24,1%,0,0%
19-24,50453,13%,3572,12%,96,3%,<5,--
25-29,34555,9%,2720,9%,108,3%,<5,--
30-39,60082,16%,4783,16%,246,8%,7,1%
40-49,48076,12%,4238,14%,358,11%,16,1%
50-59,56686,15%,4296,14%,494,15%,51,4%
60-69,46245,12%,2982,10%,615,19%,127,11%
70-79,24933,6%,1822,6%,605,19%,271,23%
80-89,12601,3%,1470,5%,423,13%,388,33%
90+,5942,2%,971,3%,192,6%,318,27%
Pending further information,410,--,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,28092,19%,10654,43%,949,36%,110,11%
American Indian or Alaska Native*,3682,3%,93,<1%,5,<1%,<5,--
Asian*,3575,2%,448,2%,47,2%,14,1%
Black or African American*,10776,7%,2865,12%,328,12%,62,6%
Native Hawaiian or Other Pacific Islander*,431,<1%,0,0%,0,0%,0,0%
White*,87100,59%,10051,41%,1249,47%,784,81%
Other race*,12622,9%,399,2%,53,2%,0,0%
Multiple race*,129,<1%,221,1%,9,<1%,0,0%
Declined,2976,--,276,--,9,--,0,--
Unknown or pending further information,237985,--,4772,--,565,--,212,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,10/28/2020,,,,,,,
