Last updated: 6/22/2020,Cases,,Hospitalizations,,Deaths,
Sex,N=15948,,N=1950,,N=903,
Female,"8,780",56%,891,46%,478,53%
Male,"7,009",44%,1048,54%,425,47%
Pending further information,159,--,11,--,0,--
Age Group,,,,,,
0-9,407,3%,13,0.01,0,0%
10-19,803,5%,18,1%,<5,--
20-29,"2,419",15%,78,4%,<5,--
30-39,"2,517",16%,141,7%,6,1%
40-49,"2,438",15%,223,11%,11,1%
50-59,"2,499",16%,319,16%,41,5%
60-69,"1,776",11%,400,21%,91,10%
70-79,1197,8%,375,19%,226,25%
80-89,1118,7%,264,14%,284,31%
90-99,720,5%,108,6%,223,25%
100+,53,<1%,5,<1%,19,2%
Pending further information,<5,--,6,--,0,--
Race and Ethnicity,,,,,,
Hispanic/Latinx (any race),"5,710",46%,520,34%,78,10%
Black (non-Hispanic or ethnicity unknown),1535,12%,180,12%,46,6%
White (non-Hispanic or ethnicity unknown),"4,430",36%,749,48%,608,82%
Other race (non-Hispanic or ethnicity unknown),448,4%,47,3%,12,2%
Multiple races (non-Hispanic or ethnicity unknown),345,3%,60,4%,0,0%
"Unknown, declined, or pending further information","3,480",--,394,--,159,--
Source: RIDOH,,,,,,
"-- Percentages for counts of less than five are not shown. Percentages do not include cases with unknown or declined demographics or those that are pending further information. COVID-19 cases and COVID-19 involved deaths exclude out of state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,
