ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,383,50.3%,99,50.3%,151,46.7%,69,59.0%,64,51.6%,37,59.7%,6,50.0%
2,Female,378,49.7%,98,49.7%,172,53.3%,48,41.0%,60,48.4%,25,40.3%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,25,3.3%,2,1.0%,13,4.0%,2,1.7%,8,6.5%,0,0.0%,0,0.0%
5,10-19 Years,57,7.5%,16,8.1%,27,8.4%,3,2.6%,11,8.9%,1,1.6%,0,0.0%
6,20-29 Years,142,18.7%,29,14.7%,68,21.1%,15,12.8%,30,24.2%,3,4.8%,0,0.0%
7,30-39 Years,147,19.3%,43,21.8%,55,17.0%,23,19.7%,26,21.0%,6,9.7%,2,16.7%
8,40-49 Years,119,15.6%,31,15.7%,40,12.4%,21,17.9%,27,21.8%,3,4.8%,0,0.0%
9,50-59 Years,125,16.4%,34,17.3%,65,20.1%,19,16.2%,7,5.6%,11,17.7%,1,8.3%
10,60-69 Years,84,11.0%,22,11.2%,33,10.2%,20,17.1%,9,7.3%,11,17.7%,1,8.3%
11,70-79 Years,45,5.9%,15,7.6%,14,4.3%,13,11.1%,3,2.4%,20,32.3%,6,50.0%
12,80+ Years,17,2.2%,5,2.5%,8,2.5%,1,0.9%,3,2.4%,7,11.3%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,52,6.8%,11,5.6%,29,9.0%,10,8.5%,2,1.6%,5,8.1%,0,0.0%
15,Non-Hispanic,589,77.4%,172,87.3%,281,87.0%,100,85.5%,36,29.0%,54,87.1%,12,100.0%
16,Unknown Ethnicity,120,15.8%,14,7.1%,13,4.0%,7,6.0%,86,69.4%,3,4.8%,0,0.0%
17,White,439,57.7%,125,63.5%,201,62.2%,94,80.3%,19,15.3%,37,59.7%,7,58.3%
18,Black,20,2.6%,7,3.6%,6,1.9%,5,4.3%,2,1.6%,0,0.0%,0,0.0%
19,AI/AN,84,11.0%,30,15.2%,34,10.5%,1,0.9%,19,15.3%,7,11.3%,2,16.7%
20,Asian,58,7.6%,12,6.1%,40,12.4%,5,4.3%,1,0.8%,8,12.9%,2,16.7%
21,NHOPI,18,2.4%,4,2.0%,12,3.7%,1,0.9%,1,0.8%,5,8.1%,1,8.3%
22,Multiple,26,3.4%,10,5.1%,11,3.4%,3,2.6%,2,1.6%,0,0.0%,0,0.0%
23,Other,16,2.1%,2,1.0%,9,2.8%,4,3.4%,1,0.8%,4,6.5%,0,0.0%
24,Unknown Race,100,13.1%,7,3.6%,10,3.1%,4,3.4%,79,63.7%,1,1.6%,0,0.0%
25,Grand Total,761,100.0%,197,100.0%,323,100.0%,117,100.0%,124,100.0%,62,100.0%,12,100.0%
