Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29292,52.0%,945,52.1%,1161,51.0%,237,53.4%,26536,52.0%,685,55.2%,177,59.6%,1
Female,27037,48.0%,869,47.9%,1114,49.0%,207,46.6%,24488,48.0%,555,44.8%,120,40.4%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3826,6.8%,41,2.3%,162,7.1%,14,3.2%,3579,7.0%,12,1.0%,0,0.0%,4
10-19 Years,6923,12.3%,154,8.5%,270,11.9%,64,14.4%,6350,12.4%,9,0.7%,0,0.0%,5
20-29 Years,11548,20.5%,473,26.1%,542,23.8%,78,17.6%,10302,20.2%,49,4.0%,3,1.0%,6
30-39 Years,10701,19.0%,313,17.3%,385,16.9%,84,18.9%,9785,19.2%,98,7.9%,6,2.0%,7
40-49 Years,7744,13.7%,269,14.8%,271,11.9%,69,15.5%,7041,13.8%,117,9.4%,12,4.0%,8
50-59 Years,7262,12.9%,228,12.6%,286,12.6%,61,13.7%,6594,12.9%,201,16.2%,20,6.7%,9
60-69 Years,5139,9.1%,190,10.5%,167,7.3%,50,11.3%,4626,9.1%,272,21.9%,58,19.5%,10
70-79 Years,2250,4.0%,94,5.2%,106,4.7%,22,5.0%,1977,3.9%,277,22.3%,93,31.3%,11
80+ Years,946,1.7%,52,2.9%,86,3.8%,2,0.5%,780,1.5%,205,16.5%,105,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2858,5.1%,135,7.4%,198,8.7%,47,10.6%,2451,4.8%,66,5.3%,12,4.0%,14
Non-Hispanic,28427,50.5%,1430,78.8%,1754,77.1%,340,76.6%,24615,48.2%,930,75.0%,278,93.6%,15
UI Ethnicity,23968,42.5%,0,0.0%,0,0.0%,0,0.0%,23968,47.0%,225,18.1%,5,1.7%,16
Unknown Ethnicity,1086,1.9%,249,13.7%,323,14.2%,57,12.8%,0,0.0%,19,1.5%,2,0.7%,17
White,17272,30.7%,806,44.4%,958,42.1%,275,61.9%,15027,29.4%,416,33.5%,125,42.1%,18
Black,1371,2.4%,96,5.3%,120,5.3%,21,4.7%,1117,2.2%,45,3.6%,9,3.0%,19
AI/AN,12134,21.5%,508,28.0%,569,25.0%,52,11.7%,10882,21.3%,333,26.9%,110,37.0%,20
Asian,2223,3.9%,89,4.9%,135,5.9%,19,4.3%,1953,3.8%,117,9.4%,30,10.1%,21
NHOPI,1474,2.6%,79,4.4%,149,6.5%,4,0.9%,1234,2.4%,125,10.1%,16,5.4%,22
Multiple,4322,7.7%,83,4.6%,101,4.4%,15,3.4%,4091,8.0%,66,5.3%,4,1.3%,23
Other,6829,12.1%,54,3.0%,63,2.8%,17,3.8%,6558,12.9%,52,4.2%,1,0.3%,24
UI Race,10172,18.1%,0,0.0%,0,0.0%,0,0.0%,10172,19.9%,77,6.2%,1,0.3%,25
Unknown Race,542,1.0%,99,5.5%,180,7.9%,41,9.2%,0,0.0%,9,0.7%,1,0.3%,26
