ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1398,48.6%,240,49.1%,335,48.9%,103,54.5%,706,47.5%,59.4%,56.5%,76,13,445,50.3%
2,Female,1479,51.4%,249,50.9%,350,51.1%,86,45.5%,780,52.5%,40.6%,43.5%,52,10,440,49.7%
3,Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,134,4.7%,8,1.6%,46,6.7%,3,1.6%,77,5.2%,0.0%,0.0%,0,0,38,4.3%
5,10-19 Years,280,9.7%,40,8.2%,55,8.0%,19,10.1%,158,10.6%,0.8%,0.0%,1,0,78,8.8%
6,20-29 Years,708,24.6%,123,25.2%,166,24.2%,29,15.3%,382,25.7%,7.0%,0.0%,9,0,196,22.1%
7,30-39 Years,548,19.0%,96,19.6%,129,18.8%,37,19.6%,281,18.9%,11.7%,8.7%,15,2,177,20.0%
8,40-49 Years,395,13.7%,77,15.7%,85,12.4%,36,19.0%,194,13.0%,7.8%,4.3%,10,1,132,14.9%
9,50-59 Years,373,13.0%,65,13.3%,107,15.6%,26,13.8%,174,11.7%,20.3%,8.7%,26,2,126,14.2%
10,60-69 Years,275,9.6%,47,9.6%,64,9.3%,24,12.7%,138,9.3%,19.5%,17.4%,25,4,93,10.5%
11,70-79 Years,123,4.3%,26,5.3%,23,3.4%,14,7.4%,60,4.0%,22.7%,43.5%,29,10,38,4.3%
12,80+ Years,42,1.5%,7,1.4%,10,1.5%,1,0.5%,23,1.5%,10.2%,17.4%,13,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,150,5.2%,38,7.8%,60,8.8%,23,12.2%,27,1.8%,5.5%,0.0%,7,0,88,9.9%
15,Non-Hispanic,1244,43.2%,396,81.0%,498,72.7%,144,76.2%,193,13.0%,80.5%,100.0%,103,23,728,82.3%
16,UI Ethnicity,1267,44.0%,0,0.0%,0,0.0%,0,0.0%,1267,85.2%,10.9%,0.0%,14,0,2,0.2%
17,Unknown Ethnicity,217,7.5%,55,11.2%,127,18.5%,22,11.6%,0,0.0%,3.1%,0.0%,4,0,67,7.6%
18,White,865,30.1%,243,49.7%,337,49.2%,133,70.4%,148,10.0%,38.3%,47.8%,49,11,511,57.7%
19,Black,83,2.9%,29,5.9%,17,2.5%,12,6.3%,23,1.5%,3.1%,0.0%,4,0,30,3.4%
20,AI/AN,379,13.2%,109,22.3%,113,16.5%,9,4.8%,142,9.5%,25.0%,34.8%,32,8,132,14.9%
21,Asian,84,2.9%,20,4.1%,46,6.7%,6,3.2%,11,0.7%,7.8%,8.7%,10,2,60,6.8%
22,NHOPI,107,3.7%,25,5.1%,39,5.7%,1,0.5%,42,2.8%,14.1%,8.7%,18,2,34,3.8%
23,Multiple,72,2.5%,17,3.5%,28,4.1%,8,4.2%,18,1.2%,0.0%,0.0%,0,0,38,4.3%
24,Other,49,1.7%,8,1.6%,16,2.3%,8,4.2%,16,1.1%,3.1%,0.0%,4,0,23,2.6%
25,UI Race,1087,37.8%,0,0.0%,0,0.0%,0,0.0%,1087,73.1%,5.5%,0.0%,7,0,4,0.5%
26,Unknown Race,152,5.3%,38,7.8%,89,13.0%,12,6.3%,0,0.0%,3.1%,0.0%,4,0,53,6.0%
