Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30487,52.0%,977,51.7%,1224,50.7%,243,52.8%,27607,52.1%,723,55.1%,182,59.5%,1
Female,28075,47.9%,912,48.3%,1189,49.3%,217,47.2%,25364,47.9%,589,44.9%,124,40.5%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.0%,0,0.0%,0,0.0%,3
<10 Years,4032,6.9%,44,2.3%,181,7.5%,15,3.3%,3761,7.1%,14,1.1%,0,0.0%,4
10-19 Years,7308,12.5%,161,8.5%,286,11.9%,65,14.1%,6702,12.6%,10,0.8%,0,0.0%,5
20-29 Years,11961,20.4%,485,25.7%,557,23.1%,80,17.4%,10674,20.1%,52,4.0%,3,1.0%,6
30-39 Years,11110,19.0%,324,17.2%,407,16.9%,86,18.7%,10152,19.2%,105,8.0%,6,2.0%,7
40-49 Years,8060,13.8%,282,14.9%,295,12.2%,72,15.7%,7310,13.8%,125,9.5%,12,3.9%,8
50-59 Years,7554,12.9%,237,12.5%,311,12.9%,61,13.3%,6848,12.9%,219,16.7%,20,6.5%,9
60-69 Years,5300,9.0%,203,10.7%,175,7.3%,54,11.7%,4758,9.0%,295,22.5%,60,19.6%,10
70-79 Years,2292,3.9%,97,5.1%,115,4.8%,25,5.4%,1998,3.8%,283,21.6%,93,30.4%,11
80+ Years,963,1.6%,56,3.0%,86,3.6%,2,0.4%,786,1.5%,209,15.9%,112,36.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3153,5.4%,138,7.3%,209,8.7%,50,10.9%,2727,5.1%,68,5.2%,13,4.2%,14
Non-Hispanic,31977,54.6%,1501,79.5%,1864,77.2%,352,76.5%,27935,52.7%,1009,76.9%,287,93.8%,15
UI Ethnicity,22327,38.1%,0,0.0%,0,0.0%,0,0.0%,22327,42.1%,215,16.4%,4,1.3%,16
Unknown Ethnicity,1123,1.9%,250,13.2%,340,14.1%,58,12.6%,0,0.0%,20,1.5%,2,0.7%,17
White,19389,33.1%,834,44.2%,1005,41.6%,283,61.5%,17044,32.2%,461,35.1%,129,42.2%,18
Black,1466,2.5%,96,5.1%,123,5.1%,21,4.6%,1209,2.3%,47,3.6%,9,2.9%,19
AI/AN,12581,21.5%,546,28.9%,625,25.9%,56,12.2%,11204,21.1%,359,27.4%,113,36.9%,20
Asian,2381,4.1%,89,4.7%,152,6.3%,20,4.3%,2093,3.9%,117,8.9%,30,9.8%,21
NHOPI,1570,2.7%,80,4.2%,154,6.4%,4,0.9%,1323,2.5%,129,9.8%,17,5.6%,22
Multiple,4537,7.7%,87,4.6%,103,4.3%,16,3.5%,4298,8.1%,69,5.3%,5,1.6%,23
Other,7058,12.0%,56,3.0%,69,2.9%,18,3.9%,6774,12.8%,57,4.3%,1,0.3%,24
UI Race,9044,15.4%,0,0.0%,0,0.0%,0,0.0%,9044,17.1%,64,4.9%,1,0.3%,25
Unknown Race,554,0.9%,101,5.3%,182,7.5%,42,9.1%,0,0.0%,9,0.7%,1,0.3%,26
