Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30696,52.0%,1007,52.0%,1257,50.6%,246,52.8%,27738,52.1%,724,54.9%,182,59.5%,1
Female,28276,47.9%,931,48.0%,1228,49.4%,220,47.2%,25490,47.9%,594,45.1%,124,40.5%,2
Unknown Sex,21,0.0%,0,0.0%,0,0.0%,0,0.0%,21,0.0%,0,0.0%,0,0.0%,3
<10 Years,4065,6.9%,48,2.5%,196,7.9%,16,3.4%,3770,7.1%,14,1.1%,0,0.0%,4
10-19 Years,7392,12.5%,174,9.0%,296,11.9%,65,13.9%,6761,12.7%,11,0.8%,0,0.0%,5
20-29 Years,12036,20.4%,496,25.6%,570,22.9%,82,17.6%,10716,20.1%,53,4.0%,3,1.0%,6
30-39 Years,11183,19.0%,334,17.2%,414,16.7%,87,18.7%,10205,19.2%,106,8.0%,6,2.0%,7
40-49 Years,8112,13.8%,283,14.6%,304,12.2%,72,15.5%,7348,13.8%,126,9.6%,12,3.9%,8
50-59 Years,7610,12.9%,240,12.4%,324,13.0%,61,13.1%,6884,12.9%,219,16.6%,20,6.5%,9
60-69 Years,5329,9.0%,207,10.7%,179,7.2%,56,12.0%,4775,9.0%,296,22.5%,60,19.6%,10
70-79 Years,2300,3.9%,100,5.2%,115,4.6%,25,5.4%,2002,3.8%,284,21.5%,93,30.4%,11
80+ Years,966,1.6%,56,2.9%,87,3.5%,2,0.4%,788,1.5%,209,15.9%,112,36.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3161,5.4%,138,7.1%,212,8.5%,50,10.7%,2732,5.1%,69,5.2%,13,4.2%,14
Non-Hispanic,32177,54.5%,1545,79.7%,1917,77.1%,357,76.6%,28016,52.6%,1014,76.9%,287,93.8%,15
UI Ethnicity,22501,38.1%,0,0.0%,0,0.0%,0,0.0%,22501,42.3%,215,16.3%,4,1.3%,16
Unknown Ethnicity,1154,2.0%,255,13.2%,356,14.3%,59,12.7%,0,0.0%,20,1.5%,2,0.7%,17
White,19516,33.1%,834,43.0%,1014,40.8%,283,60.7%,17161,32.2%,462,35.1%,129,42.2%,18
Black,1470,2.5%,96,5.0%,127,5.1%,21,4.5%,1209,2.3%,48,3.6%,9,2.9%,19
AI/AN,12678,21.5%,594,30.7%,665,26.8%,60,12.9%,11188,21.0%,360,27.3%,113,36.9%,20
Asian,2393,4.1%,90,4.6%,161,6.5%,20,4.3%,2094,3.9%,117,8.9%,30,9.8%,21
NHOPI,1577,2.7%,80,4.1%,154,6.2%,4,0.9%,1330,2.5%,129,9.8%,17,5.6%,22
Multiple,4565,7.7%,87,4.5%,105,4.2%,17,3.6%,4322,8.1%,70,5.3%,5,1.6%,23
Other,7085,12.0%,56,2.9%,70,2.8%,18,3.9%,6800,12.8%,57,4.3%,1,0.3%,24
UI Race,9145,15.5%,0,0.0%,0,0.0%,0,0.0%,9145,17.2%,66,5.0%,1,0.3%,25
Unknown Race,564,1.0%,101,5.2%,189,7.6%,43,9.2%,0,0.0%,9,0.7%,1,0.3%,26
