Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/24/2020,02/01/2020,06/20/2020,United States,All,Under 1 year,9,6504,59,2,14,80,
06/24/2020,02/01/2020,06/20/2020,United States,All,1-4 years,6,1259,46,2,40,90,
06/24/2020,02/01/2020,06/20/2020,United States,All,5-14 years,13,1859,61,3,46,117,
06/24/2020,02/01/2020,06/20/2020,United States,All,15-24 years,132,11608,235,45,51,369,
06/24/2020,02/01/2020,06/20/2020,United States,All,25-34 years,732,24675,885,327,146,1423,
06/24/2020,02/01/2020,06/20/2020,United States,All,35-44 years,1860,35202,1983,784,232,3266,
06/24/2020,02/01/2020,06/20/2020,United States,All,45-54 years,5238,66547,5254,2308,560,8643,
06/24/2020,02/01/2020,06/20/2020,United States,All,55-64 years,12895,155823,14615,5904,1197,22593,
06/24/2020,02/01/2020,06/20/2020,United States,All,65-74 years,22429,239025,25224,10271,1401,38557,
06/24/2020,02/01/2020,06/20/2020,United States,All,75-84 years,28735,296558,32280,12855,1423,49389,
06/24/2020,02/01/2020,06/20/2020,United States,All,85 years and over,35948,376456,37172,14225,1334,60066,
06/24/2020,02/01/2020,06/20/2020,United States,All,All Ages,107997,1215516,117814,46726,6444,184593,
06/24/2020,02/01/2020,06/20/2020,United States,Male,Under 1 year,5,3643,40,2,8,51,
06/24/2020,02/01/2020,06/20/2020,United States,Male,1-4 years,3,721,23,1,24,49,
06/24/2020,02/01/2020,06/20/2020,United States,Male,5-14 years,11,1125,30,3,19,57,
06/24/2020,02/01/2020,06/20/2020,United States,Male,15-24 years,85,8580,143,26,27,226,
06/24/2020,02/01/2020,06/20/2020,United States,Male,25-34 years,496,17282,557,226,74,892,
06/24/2020,02/01/2020,06/20/2020,United States,Male,35-44 years,1327,23103,1277,557,120,2148,
06/24/2020,02/01/2020,06/20/2020,United States,Male,45-54 years,3678,41749,3314,1632,328,5619,
06/24/2020,02/01/2020,06/20/2020,United States,Male,55-64 years,8516,95910,8903,3854,682,14103,
06/24/2020,02/01/2020,06/20/2020,United States,Male,65-74 years,13893,138708,15090,6372,778,23243,
06/24/2020,02/01/2020,06/20/2020,United States,Male,75-84 years,15717,154110,17942,7183,705,27072,
06/24/2020,02/01/2020,06/20/2020,United States,Male,85 years and over,14017,144953,16211,6037,543,24656,
06/24/2020,02/01/2020,06/20/2020,United States,Male,All ages,57748,629884,63530,25893,3308,98116,
06/24/2020,02/01/2020,06/20/2020,United States,Female,Under 1 year,4,2849,19,0,6,29,
06/24/2020,02/01/2020,06/20/2020,United States,Female,1-4 years,3,538,23,1,16,41,
06/24/2020,02/01/2020,06/20/2020,United States,Female,5-14 years,2,734,31,0,27,60,
06/24/2020,02/01/2020,06/20/2020,United States,Female,15-24 years,47,3027,92,19,24,143,
06/24/2020,02/01/2020,06/20/2020,United States,Female,25-34 years,236,7392,328,101,72,531,
06/24/2020,02/01/2020,06/20/2020,United States,Female,35-44 years,533,12097,706,227,112,1118,
06/24/2020,02/01/2020,06/20/2020,United States,Female,45-54 years,1560,24796,1940,676,232,3024,
06/24/2020,02/01/2020,06/20/2020,United States,Female,55-64 years,4379,59909,5711,2050,515,8489,
06/24/2020,02/01/2020,06/20/2020,United States,Female,65-74 years,8536,100311,10134,3899,623,15314,
06/24/2020,02/01/2020,06/20/2020,United States,Female,75-84 years,13017,142442,14337,5671,718,22316,
06/24/2020,02/01/2020,06/20/2020,United States,Female,85 years and over,21929,231482,20960,8187,791,35408,
06/24/2020,02/01/2020,06/20/2020,United States,Female,All ages,50246,585577,54281,20831,3136,86473,
06/24/2020,02/01/2020,06/20/2020,United States,Unknown,All ages,3,55,3,2,0,4,
06/24/2020,02/01/2020,06/20/2020,United States Total,All,All Ages,107997,1215516,117814,46726,6444,184593,
06/24/2020,02/01/2020,06/20/2020,Alabama,Male,Under 1 year,0,70,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/24/2020,02/01/2020,06/20/2020,Alabama,Male,1-4 years,0,16,0,0,0,0,
