ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Sex,,,,,,,,,,,,,,
2,Male,397,50.1%,105,50.5%,163,47.9%,73,57.9%,56,47.5%,60.9%,50.0%,39,6
3,Female,395,49.9%,103,49.5%,177,52.1%,53,42.1%,62,52.5%,39.1%,50.0%,25,6
4,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
5,Age Group,,,,,,,,,,,,,,
6,<10 Years,27,3.4%,2,1.0%,13,3.8%,2,1.6%,10,8.5%,0.0%,0.0%,0,0
7,10-19 Years,62,7.8%,16,7.7%,28,8.2%,6,4.8%,12,10.2%,1.6%,0.0%,1,0
8,20-29 Years,148,18.7%,31,14.9%,73,21.5%,15,11.9%,29,24.6%,6.3%,0.0%,4,0
9,30-39 Years,154,19.4%,46,22.1%,57,16.8%,24,19.0%,27,22.9%,9.4%,16.7%,6,2
10,40-49 Years,123,15.5%,35,16.8%,46,13.5%,25,19.8%,17,14.4%,6.3%,0.0%,4,0
11,50-59 Years,129,16.3%,35,16.8%,67,19.7%,19,15.1%,8,6.8%,17.2%,8.3%,11,1
12,60-69 Years,87,11.0%,22,10.6%,33,9.7%,21,16.7%,11,9.3%,17.2%,8.3%,11,1
13,70-79 Years,45,5.7%,16,7.7%,15,4.4%,13,10.3%,1,0.8%,31.3%,50.0%,20,6
14,80+ Years,17,2.1%,5,2.4%,8,2.4%,1,0.8%,3,2.5%,10.9%,16.7%,7,2
15,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
16,Ethnicity,,,,,,,,,,,,,,
17,Hispanic,54,6.8%,12,5.8%,29,8.5%,12,9.5%,1,0.8%,7.8%,0.0%,5,0
18,Non-Hispanic,614,77.5%,180,86.5%,294,86.5%,107,84.9%,33,28.0%,87.5%,100.0%,56,12
19,Unknown Ethnicity,124,15.7%,16,7.7%,17,5.0%,7,5.6%,84,71.2%,4.7%,0.0%,3,0
20,Race,,,,,,,,,,,,,,
21,White,461,58.2%,133,63.9%,211,62.1%,101,80.2%,16,13.6%,59.4%,58.3%,38,7
22,Black,22,2.8%,8,3.8%,7,2.1%,6,4.8%,1,0.8%,0.0%,0.0%,0,0
23,AI/AN,89,11.2%,32,15.4%,35,10.3%,1,0.8%,21,17.8%,12.5%,16.7%,8,2
24,Asian,58,7.3%,12,5.8%,40,11.8%,5,4.0%,1,0.8%,12.5%,16.7%,8,2
25,NHOPI,20,2.5%,4,1.9%,14,4.1%,1,0.8%,1,0.8%,7.8%,8.3%,5,1
26,Multiple,28,3.5%,10,4.8%,12,3.5%,4,3.2%,2,1.7%,0.0%,0.0%,0,0
27,Other,17,2.1%,2,1.0%,9,2.6%,5,4.0%,1,0.8%,6.3%,0.0%,4,0
28,Unknown Race,97,12.2%,7,3.4%,12,3.5%,3,2.4%,75,63.6%,1.6%,0.0%,1,0
29,Grand Total,792,100.0%,208,100.0%,340,100.0%,126,100.0%,118,100.0%,100.0%,100.0%,64,12
