Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4940,50.0%,578,53.0%,753,50.8%,171,52.1%,3387,49.2%,172,52.6%,39,65.0%,1,2581,49.9%
Female,4935,50.0%,512,47.0%,728,49.2%,157,47.9%,3501,50.8%,155,47.4%,21,35.0%,2,2596,50.1%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,511,5.2%,23,2.1%,94,6.3%,8,2.4%,383,5.6%,3,0.9%,0,0.0%,4,257,5.0%
10-19 Years,1036,10.5%,95,8.7%,152,10.3%,49,14.9%,727,10.6%,2,0.6%,0,0.0%,5,551,10.6%
20-29 Years,2377,24.1%,302,27.7%,404,27.3%,58,17.7%,1592,23.1%,19,5.8%,0,0.0%,6,1259,24.3%
30-39 Years,1876,19.0%,209,19.2%,269,18.2%,66,20.1%,1314,19.1%,27,8.3%,2,3.3%,7,1018,19.7%
40-49 Years,1349,13.7%,168,15.4%,179,12.1%,52,15.9%,933,13.5%,45,13.8%,4,6.7%,8,690,13.3%
50-59 Years,1273,12.9%,130,11.9%,199,13.4%,43,13.1%,898,13.0%,60,18.3%,6,10.0%,9,664,12.8%
60-69 Years,905,9.2%,112,10.3%,105,7.1%,32,9.8%,649,9.4%,65,19.9%,11,18.3%,10,478,9.2%
70-79 Years,384,3.9%,40,3.7%,50,3.4%,19,5.8%,272,3.9%,68,20.8%,23,38.3%,11,194,3.7%
80+ Years,166,1.7%,11,1.0%,29,2.0%,1,0.3%,122,1.8%,38,11.6%,14,23.3%,12,66,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,738,7.5%,88,8.1%,148,10.0%,35,10.7%,460,6.7%,19,5.8%,1,1.7%,14,527,10.2%
Non-Hispanic,5531,56.0%,827,75.9%,1091,73.7%,251,76.5%,3320,48.2%,256,78.3%,52,86.7%,15,3911,75.5%
UI Ethnicity,3110,31.5%,0,0.0%,0,0.0%,0,0.0%,3110,45.1%,35,10.7%,2,3.3%,16,444,8.6%
Unknown Ethnicity,498,5.0%,175,16.1%,242,16.3%,42,12.8%,0,0.0%,17,5.2%,5,8.3%,17,295,5.7%
White,3217,32.6%,462,42.4%,614,41.5%,200,61.0%,1919,27.9%,88,26.9%,24,40.0%,18,2267,43.8%
Black,406,4.1%,71,6.5%,98,6.6%,19,5.8%,214,3.1%,10,3.1%,2,3.3%,19,252,4.9%
AI/AN,2256,22.8%,284,26.1%,333,22.5%,34,10.4%,1582,23.0%,104,31.8%,21,35.0%,20,1121,21.7%
Asian,444,4.5%,47,4.3%,78,5.3%,18,5.5%,300,4.4%,24,7.3%,5,8.3%,21,292,5.6%
NHOPI,485,4.9%,65,6.0%,110,7.4%,4,1.2%,304,4.4%,52,15.9%,7,11.7%,22,346,6.7%
Multiple,418,4.2%,56,5.1%,62,4.2%,11,3.4%,286,4.2%,12,3.7%,0,0.0%,23,241,4.7%
Other,348,3.5%,24,2.2%,41,2.8%,12,3.7%,270,3.9%,11,3.4%,0,0.0%,24,169,3.3%
UI Race,2015,20.4%,0,0.0%,0,0.0%,0,0.0%,2015,29.2%,17,5.2%,0,0.0%,25,305,5.9%
Unknown Race,288,2.9%,81,7.4%,145,9.8%,30,9.1%,0,0.0%,9,2.8%,1,1.7%,26,184,3.6%
