ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1112,49.4%,208,49.8%,287,48.6%,99,54.4%,512,48.9%,60.4%,47.4%,67,9,400,50.0%
2,Female,1137,50.6%,210,50.2%,303,51.4%,83,45.6%,536,51.1%,39.6%,52.6%,44,10,400,50.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,107,4.8%,7,1.7%,38,6.4%,3,1.6%,59,5.6%,0.0%,0.0%,0,0,33,4.1%
5,10-19 Years,213,9.5%,34,8.1%,47,8.0%,19,10.4%,111,10.6%,0.9%,0.0%,1,0,68,8.5%
6,20-29 Years,558,24.8%,106,25.4%,134,22.7%,27,14.8%,289,27.6%,8.1%,0.0%,9,0,173,21.6%
7,30-39 Years,435,19.3%,82,19.6%,115,19.5%,36,19.8%,198,18.9%,12.6%,10.5%,14,2,163,20.4%
8,40-49 Years,307,13.7%,69,16.5%,73,12.4%,34,18.7%,130,12.4%,6.3%,0.0%,7,0,121,15.1%
9,50-59 Years,281,12.5%,56,13.4%,97,16.4%,25,13.7%,103,9.8%,20.7%,10.5%,23,2,115,14.4%
10,60-69 Years,210,9.3%,37,8.9%,55,9.3%,23,12.6%,93,8.9%,18.0%,10.5%,20,2,85,10.6%
11,70-79 Years,102,4.5%,21,5.0%,21,3.6%,14,7.7%,46,4.4%,23.4%,47.4%,26,9,35,4.4%
12,80+ Years,36,1.6%,6,1.4%,10,1.7%,1,0.5%,19,1.8%,9.9%,21.1%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,128,5.7%,33,7.9%,54,9.2%,22,12.1%,19,1.8%,6.3%,0.0%,7,0,80,10.0%
15,Non-Hispanic,1096,48.7%,347,83.0%,455,77.1%,139,76.4%,148,14.1%,81.1%,100.0%,90,19,664,83.0%
16,Unknown Ethnicity,1025,45.6%,38,9.1%,81,13.7%,21,11.5%,881,84.1%,12.6%,0.0%,14,0,56,7.0%
17,White,773,34.4%,217,51.9%,311,52.7%,130,71.4%,113,10.8%,42.3%,57.9%,47,11,482,60.3%
18,Black,56,2.5%,22,5.3%,12,2.0%,10,5.5%,11,1.0%,1.8%,0.0%,2,0,26,3.3%
19,AI/AN,299,13.3%,88,21.1%,89,15.1%,7,3.8%,111,10.6%,19.8%,26.3%,22,5,104,13.0%
20,Asian,70,3.1%,18,4.3%,44,7.5%,5,2.7%,3,0.3%,8.1%,10.5%,9,2,57,7.1%
21,NHOPI,81,3.6%,19,4.5%,32,5.4%,1,0.5%,29,2.8%,14.4%,5.3%,16,1,29,3.6%
22,Multiple,70,3.1%,17,4.1%,25,4.2%,9,4.9%,17,1.6%,0.0%,0.0%,0,0,35,4.4%
23,Other,39,1.7%,7,1.7%,15,2.5%,8,4.4%,9,0.9%,4.5%,0.0%,5,0,22,2.8%
24,Unknown Race,861,38.3%,30,7.2%,62,10.5%,12,6.6%,755,72.0%,9.0%,0.0%,10,0,45,5.6%
