ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,859,49.6%,180,50.1%,243,47.9%,88,54.3%,347,49.4%,60.2%,52.9%,59,9,348,49.9%
2,Female,873,50.4%,179,49.9%,264,52.1%,74,45.7%,354,50.4%,39.8%,47.1%,39,8,349,50.1%
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,72,4.2%,5,1.4%,32,6.3%,2,1.2%,33,4.7%,0.0%,0.0%,0,0,23,3.3%
5,10-19 Years,165,9.5%,28,7.8%,39,7.7%,15,9.3%,83,11.8%,1.0%,0.0%,1,0,57,8.2%
6,20-29 Years,413,23.8%,86,24.0%,111,21.9%,23,14.2%,192,27.4%,9.2%,0.0%,9,0,146,20.9%
7,30-39 Years,336,19.4%,70,19.5%,95,18.7%,32,19.8%,137,19.5%,10.2%,11.8%,10,2,145,20.8%
8,40-49 Years,252,14.5%,63,17.5%,63,12.4%,31,19.1%,95,13.5%,5.1%,0.0%,5,0,109,15.6%
9,50-59 Years,235,13.6%,48,13.4%,87,17.2%,23,14.2%,77,11.0%,21.4%,5.9%,21,1,101,14.5%
10,60-69 Years,157,9.1%,32,8.9%,51,10.1%,22,13.6%,52,7.4%,19.4%,11.8%,19,2,76,10.9%
11,70-79 Years,76,4.4%,21,5.8%,20,3.9%,13,8.0%,22,3.1%,24.5%,52.9%,24,9,33,4.7%
12,80+ Years,27,1.6%,6,1.7%,9,1.8%,1,0.6%,11,1.6%,9.2%,17.6%,9,3,7,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,102,5.9%,26,7.2%,42,8.3%,19,11.7%,15,2.1%,7.1%,0.0%,7,0,63,9.0%
15,Non-Hispanic,963,55.6%,304,84.7%,411,81.1%,129,79.6%,117,16.7%,81.6%,100.0%,80,17,587,84.2%
16,Unknown Ethnicity,668,38.5%,29,8.1%,54,10.7%,14,8.6%,570,81.2%,11.2%,0.0%,11,0,47,6.7%
17,White,702,40.5%,204,56.8%,292,57.6%,120,74.1%,85,12.1%,48.0%,64.7%,47,11,436,62.6%
18,Black,41,2.4%,17,4.7%,9,1.8%,9,5.6%,6,0.9%,1.0%,0.0%,1,0,21,3.0%
19,AI/AN,223,12.9%,68,18.9%,71,14.0%,4,2.5%,79,11.3%,17.3%,17.6%,17,3,80,11.5%
20,Asian,67,3.9%,17,4.7%,43,8.5%,5,3.1%,2,0.3%,9.2%,11.8%,9,2,55,7.9%
21,NHOPI,57,3.3%,15,4.2%,24,4.7%,1,0.6%,17,2.4%,11.2%,5.9%,11,1,23,3.3%
22,Multiple,44,2.5%,14,3.9%,20,3.9%,7,4.3%,3,0.4%,0.0%,0.0%,0,0,32,4.6%
23,Other,37,2.1%,7,1.9%,13,2.6%,8,4.9%,9,1.3%,5.1%,0.0%,5,0,20,2.9%
24,Unknown Race,562,32.4%,17,4.7%,35,6.9%,8,4.9%,501,71.4%,8.2%,0.0%,8,0,30,4.3%
