ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,892,49.7%,183,49.2%,258,48.7%,92,54.8%,357,49.6%,59.6%,50.0%,59,9,354,50.0%
2,Female,903,50.3%,189,50.8%,272,51.3%,76,45.2%,363,50.4%,40.4%,50.0%,40,9,354,50.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,76,4.2%,5,1.3%,33,6.2%,2,1.2%,36,5.0%,0.0%,0.0%,0,0,24,3.4%
5,10-19 Years,172,9.6%,30,8.1%,43,8.1%,16,9.5%,83,11.5%,1.0%,0.0%,1,0,59,8.3%
6,20-29 Years,425,23.7%,91,24.5%,116,21.9%,25,14.9%,192,26.7%,9.1%,0.0%,9,0,150,21.2%
7,30-39 Years,353,19.7%,73,19.6%,101,19.1%,34,20.2%,142,19.7%,10.1%,11.1%,10,2,148,20.9%
8,40-49 Years,257,14.3%,64,17.2%,65,12.3%,31,18.5%,97,13.5%,5.1%,0.0%,5,0,110,15.5%
9,50-59 Years,238,13.3%,51,13.7%,89,16.8%,24,14.3%,74,10.3%,21.2%,11.1%,21,2,101,14.3%
10,60-69 Years,167,9.3%,31,8.3%,53,10.0%,22,13.1%,60,8.3%,19.2%,11.1%,19,2,76,10.7%
11,70-79 Years,80,4.5%,21,5.6%,21,4.0%,13,7.7%,25,3.5%,25.3%,50.0%,25,9,33,4.7%
12,80+ Years,27,1.5%,6,1.6%,9,1.7%,1,0.6%,11,1.5%,9.1%,16.7%,9,3,7,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,108,6.0%,27,7.3%,44,8.3%,21,12.5%,16,2.2%,7.1%,0.0%,7,0,67,9.5%
15,Non-Hispanic,991,55.2%,310,83.3%,422,79.6%,131,78.0%,124,17.2%,81.8%,100.0%,81,18,594,83.9%
16,Unknown Ethnicity,696,38.8%,35,9.4%,64,12.1%,16,9.5%,580,80.6%,11.1%,0.0%,11,0,47,6.6%
17,White,717,39.9%,206,55.4%,300,56.6%,123,73.2%,86,11.9%,47.5%,61.1%,47,11,443,62.6%
18,Black,42,2.3%,18,4.8%,9,1.7%,9,5.4%,5,0.7%,1.0%,0.0%,1,0,21,3.0%
19,AI/AN,233,13.0%,71,19.1%,74,14.0%,4,2.4%,83,11.5%,18.2%,22.2%,18,4,82,11.6%
20,Asian,67,3.7%,17,4.6%,43,8.1%,5,3.0%,2,0.3%,9.1%,11.1%,9,2,55,7.8%
21,NHOPI,66,3.7%,17,4.6%,25,4.7%,1,0.6%,23,3.2%,11.1%,5.6%,11,1,23,3.2%
22,Multiple,51,2.8%,16,4.3%,22,4.2%,7,4.2%,6,0.8%,0.0%,0.0%,0,0,33,4.7%
23,Other,39,2.2%,7,1.9%,14,2.6%,8,4.8%,10,1.4%,5.1%,0.0%,5,0,20,2.8%
24,Unknown Race,580,32.3%,20,5.4%,43,8.1%,11,6.5%,505,70.1%,8.1%,0.0%,8,0,31,4.4%
