ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,844,49.9%,171,49.1%,240,47.8%,88,55.7%,344,50.4%,60.4%,52.9%,58,9,344,50.0%
2,Female,848,50.1%,177,50.9%,262,52.2%,70,44.3%,337,49.4%,39.6%,47.1%,38,8,344,50.0%
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,72,4.3%,5,1.4%,32,6.4%,2,1.3%,33,4.8%,0.0%,0.0%,0,0,23,3.3%
5,10-19 Years,159,9.4%,26,7.5%,39,7.8%,13,8.2%,81,11.9%,1.0%,0.0%,1,0,55,8.0%
6,20-29 Years,400,23.6%,82,23.6%,110,21.9%,22,13.9%,185,27.1%,9.4%,0.0%,9,0,143,20.8%
7,30-39 Years,325,19.2%,68,19.5%,94,18.7%,32,20.3%,129,18.9%,9.4%,11.8%,9,2,142,20.6%
8,40-49 Years,245,14.5%,62,17.8%,62,12.4%,30,19.0%,91,13.3%,5.2%,0.0%,5,0,109,15.8%
9,50-59 Years,232,13.7%,48,13.8%,85,16.9%,23,14.6%,76,11.1%,20.8%,5.9%,20,1,101,14.7%
10,60-69 Years,157,9.3%,30,8.6%,51,10.2%,22,13.9%,54,7.9%,19.8%,11.8%,19,2,75,10.9%
11,70-79 Years,76,4.5%,21,6.0%,20,4.0%,13,8.2%,22,3.2%,25.0%,52.9%,24,9,33,4.8%
12,80+ Years,27,1.6%,6,1.7%,9,1.8%,1,0.6%,11,1.6%,9.4%,17.6%,9,3,7,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,101,6.0%,26,7.5%,42,8.4%,19,12.0%,14,2.1%,7.3%,0.0%,7,0,62,9.0%
15,Non-Hispanic,941,55.6%,293,84.2%,407,81.1%,127,80.4%,112,16.4%,80.2%,100.0%,77,17,580,84.3%
16,Unknown Ethnicity,651,38.5%,29,8.3%,53,10.6%,12,7.6%,556,81.5%,12.5%,0.0%,12,0,46,6.7%
17,White,689,40.7%,199,57.2%,289,57.6%,118,74.7%,82,12.0%,49.0%,64.7%,47,11,433,62.9%
18,Black,41,2.4%,16,4.6%,9,1.8%,9,5.7%,7,1.0%,1.0%,0.0%,1,0,20,2.9%
19,AI/AN,212,12.5%,66,19.0%,70,13.9%,3,1.9%,72,10.6%,17.7%,17.6%,17,3,80,11.6%
20,Asian,66,3.9%,16,4.6%,42,8.4%,5,3.2%,3,0.4%,9.4%,11.8%,9,2,55,8.0%
21,NHOPI,55,3.2%,13,3.7%,24,4.8%,1,0.6%,17,2.5%,10.4%,5.9%,10,1,22,3.2%
22,Multiple,43,2.5%,14,4.0%,20,4.0%,7,4.4%,2,0.3%,0.0%,0.0%,0,0,32,4.7%
23,Other,36,2.1%,7,2.0%,13,2.6%,8,5.1%,8,1.2%,4.2%,0.0%,4,0,19,2.8%
24,Unknown Race,551,32.5%,17,4.9%,35,7.0%,7,4.4%,491,72.0%,8.3%,0.0%,8,0,27,3.9%
