ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1727,48.8%,279,48.3%,389,48.4%,111,53.6%,930,48.6%,58.9%,64.0%,83,16,516,48.6%
2,Female,1809,51.2%,299,51.7%,415,51.6%,96,46.4%,985,51.4%,41.1%,36.0%,58,9,546,51.4%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,165,4.7%,12,2.1%,52,6.5%,3,1.4%,98,5.1%,0.0%,0.0%,0,0,48,4.5%
5,10-19 Years,371,10.5%,48,8.3%,73,9.1%,22,10.6%,220,11.5%,0.7%,0.0%,1,0,102,9.6%
6,20-29 Years,863,24.4%,149,25.8%,206,25.6%,35,16.9%,464,24.2%,7.1%,0.0%,10,0,245,23.1%
7,30-39 Years,667,18.9%,120,20.8%,153,19.0%,42,20.3%,347,18.1%,10.6%,8.0%,15,2,223,21.0%
8,40-49 Years,489,13.8%,91,15.7%,94,11.7%,37,17.9%,261,13.6%,8.5%,4.0%,12,1,148,13.9%
9,50-59 Years,450,12.7%,73,12.6%,117,14.6%,28,13.5%,231,12.1%,18.4%,12.0%,26,3,142,13.4%
10,60-69 Years,328,9.3%,50,8.7%,70,8.7%,25,12.1%,181,9.5%,18.4%,12.0%,26,3,108,10.2%
11,70-79 Years,151,4.3%,27,4.7%,25,3.1%,14,6.8%,85,4.4%,25.5%,48.0%,36,12,39,3.7%
12,80+ Years,52,1.5%,8,1.4%,14,1.7%,1,0.5%,28,1.5%,10.6%,16.0%,15,4,7,0.7%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,191,5.4%,46,8.0%,78,9.7%,26,12.6%,39,2.0%,5.7%,0.0%,8,0,113,10.6%
15,Non-Hispanic,1445,40.9%,448,77.5%,568,70.6%,151,72.9%,265,13.8%,79.4%,100.0%,112,25,831,78.2%
16,UI Ethnicity,1611,45.6%,0,0.0%,0,0.0%,0,0.0%,1611,84.1%,11.3%,0.0%,16,0,1,0.1%
17,Unknown Ethnicity,289,8.2%,84,14.5%,158,19.7%,30,14.5%,0,0.0%,3.5%,0.0%,5,0,117,11.0%
18,White,970,27.4%,273,47.2%,369,45.9%,143,69.1%,181,9.5%,36.2%,44.0%,51,11,561,52.8%
19,Black,115,3.3%,39,6.7%,31,3.9%,13,6.3%,30,1.6%,2.8%,0.0%,4,0,48,4.5%
20,AI/AN,476,13.5%,126,21.8%,136,16.9%,8,3.9%,199,10.4%,26.2%,36.0%,37,9,173,16.3%
21,Asian,101,2.9%,23,4.0%,47,5.8%,8,3.9%,22,1.1%,7.8%,8.0%,11,2,66,6.2%
22,NHOPI,142,4.0%,35,6.1%,53,6.6%,1,0.5%,53,2.8%,14.9%,12.0%,21,3,48,4.5%
23,Multiple,105,3.0%,25,4.3%,34,4.2%,8,3.9%,37,1.9%,0.0%,0.0%,0,0,49,4.6%
24,Other,80,2.3%,11,1.9%,23,2.9%,9,4.3%,36,1.9%,3.5%,0.0%,5,0,34,3.2%
25,UI Race,1357,38.4%,0,0.0%,0,0.0%,0,0.0%,1357,70.9%,5.7%,0.0%,8,0,3,0.3%
26,Unknown Race,190,5.4%,46,8.0%,111,13.8%,17,8.2%,0,0.0%,2.8%,0.0%,4,0,80,7.5%
