ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1630,48.8%,254,48.9%,350,48.9%,109,54.8%,901,48.0%,60.0%,64.0%,81,16,472,49.9%
2,Female,1711,51.2%,265,51.1%,366,51.1%,90,45.2%,976,52.0%,40.0%,36.0%,54,9,474,50.1%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,157,4.7%,9,1.7%,46,6.4%,3,1.5%,99,5.3%,0.0%,0.0%,0,0,39,4.1%
5,10-19 Years,341,10.2%,43,8.3%,58,8.1%,21,10.6%,211,11.2%,0.7%,0.0%,1,0,88,9.3%
6,20-29 Years,825,24.7%,129,24.9%,178,24.9%,30,15.1%,480,25.6%,6.7%,0.0%,9,0,215,22.7%
7,30-39 Years,629,18.8%,104,20.0%,135,18.9%,40,20.1%,345,18.4%,11.1%,8.0%,15,2,190,20.1%
8,40-49 Years,459,13.7%,83,16.0%,90,12.6%,37,18.6%,244,13.0%,8.9%,4.0%,12,1,140,14.8%
9,50-59 Years,429,12.8%,66,12.7%,110,15.4%,28,14.1%,224,11.9%,19.3%,12.0%,26,3,130,13.7%
10,60-69 Years,310,9.3%,50,9.6%,65,9.1%,25,12.6%,168,9.0%,19.3%,12.0%,26,3,99,10.5%
11,70-79 Years,141,4.2%,27,5.2%,23,3.2%,14,7.0%,77,4.1%,23.7%,48.0%,32,12,38,4.0%
12,80+ Years,50,1.5%,8,1.5%,11,1.5%,1,0.5%,29,1.5%,10.4%,16.0%,14,4,7,0.7%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,172,5.1%,42,8.1%,65,9.1%,25,12.6%,38,2.0%,5.2%,0.0%,7,0,97,10.3%
15,Non-Hispanic,1335,40.0%,410,79.0%,514,71.8%,147,73.9%,251,13.4%,80.0%,100.0%,108,25,762,80.5%
16,UI Ethnicity,1588,47.5%,0,0.0%,0,0.0%,0,0.0%,1588,84.6%,11.1%,0.0%,15,0,1,0.1%
17,Unknown Ethnicity,246,7.4%,67,12.9%,137,19.1%,27,13.6%,0,0.0%,3.7%,0.0%,5,0,86,9.1%
18,White,907,27.1%,251,48.4%,342,47.8%,138,69.3%,172,9.2%,36.3%,44.0%,49,11,527,55.7%
19,Black,97,2.9%,32,6.2%,20,2.8%,12,6.0%,31,1.7%,3.0%,0.0%,4,0,38,4.0%
20,AI/AN,424,12.7%,113,21.8%,119,16.6%,9,4.5%,177,9.4%,25.9%,36.0%,35,9,144,15.2%
21,Asian,95,2.8%,20,3.9%,46,6.4%,7,3.5%,21,1.1%,7.4%,8.0%,10,2,61,6.4%
22,NHOPI,129,3.9%,30,5.8%,44,6.1%,1,0.5%,54,2.9%,15.6%,12.0%,21,3,39,4.1%
23,Multiple,93,2.8%,21,4.0%,31,4.3%,8,4.0%,32,1.7%,0.0%,0.0%,0,0,42,4.4%
24,Other,67,2.0%,9,1.7%,17,2.4%,9,4.5%,31,1.7%,3.0%,0.0%,4,0,27,2.9%
25,UI Race,1359,40.7%,0,0.0%,0,0.0%,0,0.0%,1359,72.4%,5.9%,0.0%,8,0,3,0.3%
26,Unknown Race,170,5.1%,43,8.3%,97,13.5%,15,7.5%,0,0.0%,3.0%,0.0%,4,0,65,6.9%
