Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,35146,52.1%,1233,52.4%,1583,50.0%,308,51.9%,31465,52.3%,853,54.7%,220,60.8%,1
Female,32229,47.8%,1120,47.6%,1585,50.0%,286,48.1%,28721,47.7%,707,45.3%,142,39.2%,2
Unknown Sex,28,0.0%,0,0.0%,0,0.0%,0,0.0%,28,0.0%,0,0.0%,0,0.0%,3
<10 Years,4985,7.4%,80,3.4%,312,9.8%,24,4.0%,4518,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8840,13.1%,245,10.4%,452,14.3%,79,13.3%,7952,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13828,20.5%,584,24.8%,664,21.0%,97,16.3%,12267,20.4%,67,4.3%,6,1.7%,6
30-39 Years,12700,18.8%,413,17.6%,511,16.1%,105,17.7%,11503,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9138,13.6%,318,13.5%,361,11.4%,88,14.8%,8228,13.7%,162,10.4%,16,4.4%,8
50-59 Years,8516,12.6%,289,12.3%,384,12.1%,84,14.1%,7630,12.7%,271,17.4%,27,7.5%,9
60-69 Years,5848,8.7%,244,10.4%,234,7.4%,76,12.8%,5147,8.5%,349,22.4%,72,19.9%,10
70-79 Years,2519,3.7%,114,4.8%,144,4.5%,36,6.1%,2155,3.6%,329,21.1%,111,30.7%,11
80+ Years,1029,1.5%,66,2.8%,106,3.3%,5,0.8%,814,1.4%,225,14.4%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3420,5.1%,150,6.4%,229,7.2%,58,9.8%,2942,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35362,52.5%,1880,79.9%,2502,79.0%,451,75.9%,30079,50.0%,1164,74.6%,336,92.8%,15
UI Ethnicity,27193,40.3%,0,0.0%,0,0.0%,0,0.0%,27193,45.2%,289,18.5%,4,1.1%,16
Unknown Ethnicity,1428,2.1%,323,13.7%,437,13.8%,85,14.3%,0,0.0%,25,1.6%,4,1.1%,17
White,22364,33.2%,990,42.1%,1267,40.0%,344,57.9%,19458,32.3%,577,37.0%,165,45.6%,18
Black,1636,2.4%,114,4.8%,136,4.3%,23,3.9%,1343,2.2%,57,3.7%,10,2.8%,19
AI/AN,13989,20.8%,774,32.9%,964,30.4%,84,14.1%,11934,19.8%,395,25.3%,121,33.4%,20
Asian,2593,3.8%,105,4.5%,187,5.9%,30,5.1%,2237,3.7%,127,8.1%,35,9.7%,21
NHOPI,1742,2.6%,85,3.6%,167,5.3%,10,1.7%,1470,2.4%,141,9.0%,21,5.8%,22
Multiple,5061,7.5%,100,4.2%,144,4.5%,24,4.0%,4751,7.9%,84,5.4%,7,1.9%,23
Other,7733,11.5%,62,2.6%,80,2.5%,23,3.9%,7425,12.3%,73,4.7%,1,0.3%,24
UI Race,11596,17.2%,0,0.0%,0,0.0%,0,0.0%,11596,19.3%,95,6.1%,1,0.3%,25
Unknown Race,689,1.0%,123,5.2%,223,7.0%,56,9.4%,0,0.0%,11,0.7%,1,0.3%,26
