Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4839,50.0%,577,53.0%,751,50.8%,170,52.0%,3290,49.1%,172,53.3%,39,65.0%,1,2571,49.8%
Female,4846,50.0%,511,47.0%,728,49.2%,157,48.0%,3413,50.9%,151,46.7%,21,35.0%,2,2593,50.2%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,498,5.1%,22,2.0%,94,6.4%,8,2.4%,371,5.5%,3,0.9%,0,0.0%,4,256,5.0%
10-19 Years,1017,10.5%,95,8.7%,152,10.3%,49,15.0%,708,10.6%,2,0.6%,0,0.0%,5,551,10.7%
20-29 Years,2341,24.2%,301,27.7%,404,27.3%,58,17.7%,1557,23.2%,18,5.6%,0,0.0%,6,1254,24.3%
30-39 Years,1840,19.0%,209,19.2%,268,18.1%,66,20.2%,1279,19.1%,27,8.4%,2,3.3%,7,1015,19.7%
40-49 Years,1316,13.6%,168,15.4%,179,12.1%,52,15.9%,900,13.4%,44,13.6%,4,6.7%,8,690,13.4%
50-59 Years,1249,12.9%,130,11.9%,198,13.4%,42,12.8%,876,13.1%,59,18.3%,6,10.0%,9,661,12.8%
60-69 Years,883,9.1%,112,10.3%,105,7.1%,32,9.8%,627,9.4%,65,20.1%,11,18.3%,10,478,9.3%
70-79 Years,377,3.9%,40,3.7%,50,3.4%,19,5.8%,265,4.0%,67,20.7%,23,38.3%,11,193,3.7%
80+ Years,165,1.7%,11,1.0%,29,2.0%,1,0.3%,121,1.8%,38,11.8%,14,23.3%,12,66,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,733,7.6%,87,8.0%,148,10.0%,35,10.7%,456,6.8%,19,5.9%,1,1.7%,14,526,10.2%
Non-Hispanic,5443,56.2%,826,75.9%,1089,73.6%,250,76.5%,3236,48.3%,255,78.9%,52,86.7%,15,3907,75.7%
UI Ethnicity,3012,31.1%,0,0.0%,0,0.0%,0,0.0%,3012,44.9%,32,9.9%,2,3.3%,16,436,8.4%
Unknown Ethnicity,498,5.1%,175,16.1%,242,16.4%,42,12.8%,0,0.0%,17,5.3%,5,8.3%,17,295,5.7%
White,3167,32.7%,462,42.5%,614,41.5%,200,61.2%,1869,27.9%,88,27.2%,24,40.0%,18,2267,43.9%
Black,403,4.2%,71,6.5%,98,6.6%,19,5.8%,211,3.1%,10,3.1%,2,3.3%,19,252,4.9%
AI/AN,2197,22.7%,283,26.0%,331,22.4%,34,10.4%,1526,22.8%,102,31.6%,21,35.0%,20,1117,21.6%
Asian,434,4.5%,47,4.3%,78,5.3%,18,5.5%,290,4.3%,24,7.4%,5,8.3%,21,292,5.7%
NHOPI,480,5.0%,65,6.0%,110,7.4%,3,0.9%,300,4.5%,52,16.1%,7,11.7%,22,346,6.7%
Multiple,407,4.2%,55,5.1%,62,4.2%,11,3.4%,276,4.1%,12,3.7%,0,0.0%,23,240,4.6%
Other,345,3.6%,24,2.2%,41,2.8%,12,3.7%,267,4.0%,11,3.4%,0,0.0%,24,169,3.3%
UI Race,1965,20.3%,0,0.0%,0,0.0%,0,0.0%,1965,29.3%,15,4.6%,0,0.0%,25,297,5.8%
Unknown Race,288,3.0%,81,7.4%,145,9.8%,30,9.2%,0,0.0%,9,2.8%,1,1.7%,26,184,3.6%
