,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=627,436",,"N=96,230",,"N=7,204",,"N=1,939",
0-4,18088,3%,2028,2%,54,1%,<5,--
5-9,22283,4%,2426,3%,16,<1%,0,0%
10-14,23435,4%,3288,3%,30,<1%,<5,--
15-18,30929,5%,4398,5%,44,1%,0,0%
19-24,70728,11%,10552,11%,173,2%,<5,--
25-29,54740,9%,8785,9%,210,3%,<5,--
30-39,96036,15%,15359,16%,439,6%,10,1%
40-49,77554,12%,13217,14%,632,9%,26,1%
50-59,91247,15%,14600,15%,1017,14%,79,4%
60-69,75467,12%,10383,11%,1395,19%,232,12%
70-79,40363,6%,5471,6%,1473,20%,440,23%
80-89,18114,3%,3593,4%,1182,16%,619,32%
90+,7713,1%,2123,2%,538,7%,524,27%
Pending further information,739,--,7,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,45768,17%,25955,33%,1595,30%,169,10%
American Indian or Alaska Native*,4370,2%,204,<1%,11,<1%,<5,--
Asian*,6620,2%,1714,2%,120,2%,31,2%
Black or African American*,15480,6%,6169,8%,496,9%,90,5%
Native Hawaiian or Other Pacific Islander*,471,<1%,0,0%,0,0%,0,0%
White*,178312,66%,42123,54%,3022,56%,1397,83%
Other race*,17631,7%,1472,2%,103,2%,<5,--
Multiple race*,336,<1%,812,1%,25,<1%,<5,--
Declined,5989,--,1664,--,57,--,0,--
Unknown or pending further information,352459,--,16117,--,1775,--,247,--
Sex Assigned at Birth,,,,,,,,
Female,312595,54%,49397,54%,3422,49%,988,51%
Male,261740,46%,42717,46%,3490,50%,950,49%
Other,111,<1%,109,<1%,23,<1%,<5,--
Pending further information,52990,--,4007,--,269,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,2091,4%,64,3%,--,--
No,--,--,45236,96%,2222,97%,--,--
Unknown or pending,--,--,48903,--,4918,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,29325,54%,3583,50%,--,--
Cisgender man,--,--,24723,45%,3613,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,340,1%,0,0%,--,--
Other,--,--,158,<1%,<5,--,--,--
Declined,--,--,13273,--,0,--,--,--
Unknown or pending,--,--,28411,--,5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,28,<1%,<5,--,--,--
Bisexual,--,--,428,1%,<5,--,--,--
Lesbian or gay,--,--,790,2%,26,1%,--,--
Queer,--,--,91,<1%,<5,--,--,--
Straight,--,--,46971,96%,2310,98%,--,--
Other,--,--,429,1%,13,1%,--,--
Declined,--,--,17048,--,1111,--,--,--
Unknown or pending,--,--,30445,--,3737,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,1/13/2021,,,,,,,
