Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,All Ages,240213,2579548,242296,109504,6829,378800,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,Under 1 year,29,14582,136,4,15,176,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,0-17 years,123,25845,401,19,123,628,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,1-4 years,16,2718,89,2,42,145,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,5-14 years,42,4366,120,7,53,208,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,15-24 years,428,28020,566,148,55,897,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,18-29 years,1038,49486,1300,421,103,2010,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,25-34 years,1812,57251,2009,802,154,3158,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,30-49 years,10658,171449,10071,4811,573,16411,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,35-44 years,4663,80852,4513,2062,250,7335,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,45-54 years,12371,147270,11792,5859,592,18787,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,50-64 years,37430,425579,39119,18409,1620,59470,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,55-64 years,29888,337300,31666,14776,1258,47813,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,65-74 years,51667,512249,54235,25488,1487,81649,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,75-84 years,64575,623712,66663,30404,1512,102128,
11/25/2020,02/01/2020,11/21/2020,United States,All Sexes,85 years and over,74722,771228,70507,29952,1411,116504,
11/25/2020,02/01/2020,11/21/2020,United States,Male,All Ages,130005,1346939,133445,62138,3528,204206,
11/25/2020,02/01/2020,11/21/2020,United States,Male,Under 1 year,20,8063,82,3,7,106,
11/25/2020,02/01/2020,11/21/2020,United States,Male,0-17 years,73,15224,223,11,64,349,
11/25/2020,02/01/2020,11/21/2020,United States,Male,1-4 years,8,1585,44,1,25,76,
11/25/2020,02/01/2020,11/21/2020,United States,Male,5-14 years,27,2623,63,6,24,108,
11/25/2020,02/01/2020,11/21/2020,United States,Male,15-24 years,262,20737,346,89,27,543,
11/25/2020,02/01/2020,11/21/2020,United States,Male,18-29 years,659,36280,787,249,54,1244,
11/25/2020,02/01/2020,11/21/2020,United States,Male,25-34 years,1169,40500,1232,505,79,1965,
11/25/2020,02/01/2020,11/21/2020,United States,Male,30-49 years,7195,112455,6290,3252,310,10486,
11/25/2020,02/01/2020,11/21/2020,United States,Male,35-44 years,3132,53199,2817,1385,133,4675,
11/25/2020,02/01/2020,11/21/2020,United States,Male,45-54 years,8368,92454,7334,3972,354,12009,
11/25/2020,02/01/2020,11/21/2020,United States,Male,50-64 years,24344,262847,23916,11925,937,37075,
11/25/2020,02/01/2020,11/21/2020,United States,Male,55-64 years,19285,207645,19298,9476,716,29672,
11/25/2020,02/01/2020,11/21/2020,United States,Male,65-74 years,31615,297285,32616,15749,830,49149,
11/25/2020,02/01/2020,11/21/2020,United States,Male,75-84 years,35702,324116,37569,17349,755,56555,
11/25/2020,02/01/2020,11/21/2020,United States,Male,85 years and over,30417,298732,32044,13603,578,49348,
11/25/2020,02/01/2020,11/21/2020,United States,Female,All Ages,110202,1232515,108844,47362,3300,174584,
11/25/2020,02/01/2020,11/21/2020,United States,Female,Under 1 year,9,6495,54,1,8,70,
11/25/2020,02/01/2020,11/21/2020,United States,Female,0-17 years,50,10596,178,8,59,279,
11/25/2020,02/01/2020,11/21/2020,United States,Female,1-4 years,8,1133,45,1,17,69,
11/25/2020,02/01/2020,11/21/2020,United States,Female,5-14 years,15,1743,57,1,29,100,
11/25/2020,02/01/2020,11/21/2020,United States,Female,15-24 years,166,7280,220,59,28,354,
11/25/2020,02/01/2020,11/21/2020,United States,Female,18-29 years,379,13204,513,172,49,766,
11/25/2020,02/01/2020,11/21/2020,United States,Female,25-34 years,643,16749,777,297,75,1193,
11/25/2020,02/01/2020,11/21/2020,United States,Female,30-49 years,3463,58988,3781,1559,263,5925,
11/25/2020,02/01/2020,11/21/2020,United States,Female,35-44 years,1531,27650,1696,677,117,2660,
11/25/2020,02/01/2020,11/21/2020,United States,Female,45-54 years,4001,54812,4457,1886,238,6776,
11/25/2020,02/01/2020,11/21/2020,United States,Female,50-64 years,13084,162720,15201,6483,682,22391,
11/25/2020,02/01/2020,11/21/2020,United States,Female,55-64 years,10603,129646,12367,5300,541,18139,
11/25/2020,02/01/2020,11/21/2020,United States,Female,65-74 years,20051,214954,21618,9738,657,32499,
11/25/2020,02/01/2020,11/21/2020,United States,Female,75-84 years,28872,299581,29092,13054,757,45571,
11/25/2020,02/01/2020,11/21/2020,United States,Female,85 years and over,44303,472472,38461,16348,833,67153,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,All Ages,6,94,7,4,1,10,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,Under 1 year,0,24,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,0-17 years,0,25,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,1-4 years,0,0,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,5-14 years,0,0,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,15-24 years,0,3,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,18-29 years,0,2,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,25-34 years,0,2,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,30-49 years,0,6,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,35-44 years,0,3,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,45-54 years,2,4,1,1,0,2,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,50-64 years,2,12,2,1,1,4,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,55-64 years,0,9,1,0,1,2,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,65-74 years,1,10,1,1,0,1,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,75-84 years,1,15,2,1,0,2,
11/25/2020,02/01/2020,11/21/2020,United States,Unknown,85 years and over,2,24,2,1,0,3,
11/25/2020,02/01/2020,11/21/2020,Alabama,All Sexes,All Ages,4288,48164,3791,1406,103,6770,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,All Ages,2217,25035,2025,741,61,3558,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,Under 1 year,,157,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,0-17 years,,310,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,1-4 years,0,34,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,5-14 years,0,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,15-24 years,,413,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,18-29 years,11,661,,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,25-34 years,18,719,21,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,30-49 years,115,2193,113,39,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,35-44 years,54,1046,58,20,,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,45-54 years,141,1878,109,38,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,50-64 years,425,5405,369,125,21,690,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,55-64 years,335,4269,300,101,16,550,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,65-74 years,617,6033,572,214,17,991,
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,75-84 years,637,6140,582,221,,1005,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Male,85 years and over,411,4293,378,140,,655,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,All Ages,2071,23129,1766,665,42,3212,
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,Under 1 year,0,119,0,0,0,0,
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,0-17 years,0,187,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,1-4 years,0,26,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,5-14 years,0,27,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,15-24 years,,139,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,18-29 years,,233,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,25-34 years,13,318,19,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,30-49 years,87,1290,73,24,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,35-44 years,36,592,32,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,45-54 years,116,1247,80,35,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,50-64 years,337,3640,324,103,13,570,
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,55-64 years,261,2882,271,77,,463,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,65-74 years,447,4470,385,156,12,688,
11/25/2020,02/01/2020,11/21/2020,Alabama,Female,75-84 years,550,6058,499,196,,860,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
