Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,14206,50.1%,741,52.4%,935,51.0%,195,52.8%,12249,49.9%,354,54.4%,72,62.6%,1
Female,14092,49.7%,672,47.6%,897,49.0%,174,47.2%,12268,50.0%,297,45.6%,43,37.4%,2
Unknown Sex,41,0.1%,0,0.0%,0,0.0%,0,0.0%,41,0.2%,0,0.0%,0,0.0%,3
<10 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,4
10-19 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,5
20-29 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,6
30-39 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,7
40-49 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,8
50-59 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,9
60-69 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,10
70-79 Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,11
80+ Years,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,12
Unknown Age,28339,100.0%,1413,100.0%,1832,100.0%,369,100.0%,24558,100.0%,651,100.0%,115,100.0%,13
Hispanic,1663,5.9%,112,7.9%,174,9.5%,39,10.6%,1326,5.4%,34,5.2%,2,1.7%,14
Non-Hispanic,15261,53.9%,1102,78.0%,1390,75.9%,286,77.5%,12398,50.5%,485,74.5%,91,79.1%,15
UI Ethnicity,10834,38.2%,0,0.0%,0,0.0%,0,0.0%,10834,44.1%,117,18.0%,19,16.5%,16
Unknown Ethnicity,581,2.1%,199,14.1%,268,14.6%,44,11.9%,0,0.0%,15,2.3%,3,2.6%,17
White,9298,32.8%,637,45.1%,781,42.6%,223,60.4%,7616,31.0%,194,29.8%,38,33.0%,18
Black,880,3.1%,91,6.4%,115,6.3%,21,5.7%,646,2.6%,30,4.6%,4,3.5%,19
AI/AN,6301,22.2%,348,24.6%,409,22.3%,43,11.7%,5452,22.2%,196,30.1%,41,35.7%,20
Asian,1147,4.0%,72,5.1%,95,5.2%,18,4.9%,958,3.9%,41,6.3%,9,7.8%,21
NHOPI,972,3.4%,73,5.2%,133,7.3%,4,1.1%,760,3.1%,75,11.5%,9,7.8%,22
Multiple,1729,6.1%,71,5.0%,89,4.9%,13,3.5%,1549,6.3%,43,6.6%,4,3.5%,23
Other,2055,7.3%,34,2.4%,49,2.7%,15,4.1%,1956,8.0%,23,3.5%,2,1.7%,24
UI Race,5621,19.8%,0,0.0%,0,0.0%,0,0.0%,5621,22.9%,42,6.5%,8,7.0%,25
Unknown Race,336,1.2%,87,6.2%,161,8.8%,32,8.7%,0,0.0%,7,1.1%,0,0.0%,26
