,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=472,575",,"N=48,325",,"N=4,199",,"N=1,303",
Female,242877,55%,25686,54%,2017,48%,681,52%
Male,199243,45%,21992,46%,2158,52%,622,48%
Other,82,<1%,52,<1%,8,<1%,0,0%
Pending further information,30373,--,595,--,16,--,0,--
Age Group,,,,,,,,
0-4,11903,3%,866,2%,33,1%,0,0%
5-9,15123,3%,1012,2%,12,<1%,0,0%
10-14,15251,3%,1402,3%,17,<1%,<5,--
15-18,23059,5%,2114,4%,25,1%,0,0%
19-24,57293,12%,5669,12%,113,3%,<5,--
25-29,41670,9%,4510,9%,142,3%,<5,--
30-39,72914,16%,7814,16%,286,7%,7,1%
40-49,58119,12%,6821,14%,434,10%,18,1%
50-59,68538,15%,7218,15%,645,15%,57,4%
60-69,55699,12%,4956,10%,825,20%,144,11%
70-79,29568,6%,2775,6%,811,19%,295,23%
80-89,14259,3%,1952,4%,602,14%,423,32%
90+,6498,1%,1213,3%,253,6%,353,27%
Pending further information,2681,<1%,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,28936,15%,15580,40%,1114,34%,125,11%
American Indian or Alaska Native*,4207,2%,118,<1%,6,<1%,<5,--
Asian*,4545,2%,753,2%,67,2%,15,1%
Black or African American*,12962,7%,3910,10%,380,12%,70,6%
Native Hawaiian or Other Pacific Islander*,560,<1%,0,0%,0,0%,0,0%
White*,119106,63%,17952,46%,1618,50%,877,81%
Other race*,17182,9%,655,2%,68,2%,0,0%
Multiple race*,139,<1%,356,1%,15,<1%,0,0%
Declined,3672,--,534,--,16,--,0,--
Unknown or pending further information,281266,--,8467,--,915,--,215,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,11/25/2020,,,,,,,
