Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22119,52.2%,753,52.5%,950,51.3%,198,52.8%,19930,52.2%,499,54.4%,111,60.7%,1
Female,20272,47.8%,681,47.5%,902,48.7%,177,47.2%,18257,47.8%,417,45.5%,72,39.3%,2
Unknown Sex,22,0.1%,0,0.0%,0,0.0%,0,0.0%,22,0.1%,1,0.1%,0,0.0%,3
<10 Years,2612,6.2%,30,2.1%,122,6.6%,9,2.4%,2437,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4956,11.7%,121,8.4%,211,11.4%,56,14.9%,4501,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8709,20.5%,403,28.1%,476,25.7%,62,16.5%,7658,20.0%,44,4.8%,3,1.6%,6
30-39 Years,8174,19.3%,260,18.1%,330,17.8%,78,20.8%,7401,19.4%,81,8.8%,5,2.7%,7
40-49 Years,5995,14.1%,215,15.0%,233,12.6%,58,15.5%,5418,14.2%,83,9.1%,7,3.8%,8
50-59 Years,5496,13.0%,176,12.3%,238,12.9%,50,13.3%,4971,13.0%,150,16.4%,13,7.1%,9
60-69 Years,3957,9.3%,148,10.3%,135,7.3%,39,10.4%,3563,9.3%,204,22.2%,36,19.7%,10
70-79 Years,1768,4.2%,54,3.8%,69,3.7%,22,5.9%,1591,4.2%,197,21.5%,54,29.5%,11
80+ Years,746,1.8%,27,1.9%,38,2.1%,1,0.3%,669,1.8%,143,15.6%,65,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2372,5.6%,113,7.9%,175,9.4%,40,10.7%,2020,5.3%,45,4.9%,4,2.2%,14
Non-Hispanic,22283,52.5%,1117,77.9%,1410,76.1%,287,76.5%,19314,50.5%,680,74.2%,148,80.9%,15
UI Ethnicity,16875,39.8%,0,0.0%,0,0.0%,0,0.0%,16875,44.2%,172,18.8%,22,12.0%,16
Unknown Ethnicity,883,2.1%,204,14.2%,267,14.4%,48,12.8%,0,0.0%,20,2.2%,9,4.9%,17
White,13358,31.5%,645,45.0%,791,42.7%,225,60.0%,11574,30.3%,298,32.5%,66,36.1%,18
Black,1135,2.7%,91,6.3%,115,6.2%,21,5.6%,896,2.3%,36,3.9%,7,3.8%,19
AI/AN,8621,20.3%,354,24.7%,416,22.5%,43,11.5%,7739,20.3%,239,26.1%,67,36.6%,20
Asian,1727,4.1%,74,5.2%,97,5.2%,18,4.8%,1524,4.0%,81,8.8%,19,10.4%,21
NHOPI,1243,2.9%,73,5.1%,133,7.2%,4,1.1%,1030,2.7%,105,11.5%,11,6.0%,22
Multiple,3390,8.0%,73,5.1%,90,4.9%,13,3.5%,3186,8.3%,62,6.8%,6,3.3%,23
Other,5424,12.8%,36,2.5%,50,2.7%,16,4.3%,5204,13.6%,41,4.5%,3,1.6%,24
UI Race,7056,16.6%,0,0.0%,0,0.0%,0,0.0%,7056,18.5%,48,5.2%,4,2.2%,25
Unknown Race,459,1.1%,88,6.1%,160,8.6%,35,9.3%,0,0.0%,7,0.8%,0,0.0%,26
