ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1045,49.0%,199,50.0%,273,48.7%,96,54.5%,474,47.8%,61.5%,47.4%,67,9,377,50.1%
2,Female,1087,51.0%,199,50.0%,288,51.3%,80,45.5%,517,52.2%,38.5%,52.6%,42,10,376,49.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,101,4.7%,7,1.8%,35,6.2%,2,1.1%,57,5.8%,0.0%,0.0%,0,0,29,3.9%
5,10-19 Years,203,9.5%,33,8.3%,44,7.8%,18,10.2%,107,10.8%,0.9%,0.0%,1,0,66,8.8%
6,20-29 Years,521,24.4%,98,24.6%,127,22.6%,27,15.3%,268,27.0%,8.3%,0.0%,9,0,163,21.6%
7,30-39 Years,415,19.5%,78,19.6%,108,19.3%,35,19.9%,191,19.3%,11.0%,10.5%,12,2,153,20.3%
8,40-49 Years,294,13.8%,68,17.1%,70,12.5%,32,18.2%,124,12.5%,6.4%,0.0%,7,0,115,15.3%
9,50-59 Years,267,12.5%,54,13.6%,92,16.4%,25,14.2%,96,9.7%,21.1%,10.5%,23,2,105,13.9%
10,60-69 Years,199,9.3%,33,8.3%,55,9.8%,22,12.5%,88,8.9%,18.3%,10.5%,20,2,81,10.8%
11,70-79 Years,99,4.6%,21,5.3%,21,3.7%,14,8.0%,43,4.3%,23.9%,47.4%,26,9,34,4.5%
12,80+ Years,33,1.5%,6,1.5%,9,1.6%,1,0.6%,17,1.7%,10.1%,21.1%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,117,5.5%,30,7.5%,50,8.9%,21,11.9%,16,1.6%,6.4%,0.0%,7,0,73,9.7%
15,Non-Hispanic,1045,49.0%,327,82.2%,439,78.3%,135,76.7%,140,14.1%,79.8%,94.7%,87,18,623,82.7%
16,Unknown Ethnicity,970,45.5%,41,10.3%,72,12.8%,20,11.4%,835,84.3%,13.8%,5.3%,15,1,57,7.6%
17,White,750,35.2%,213,53.5%,308,54.9%,126,71.6%,101,10.2%,43.1%,57.9%,47,11,467,62.0%
18,Black,49,2.3%,19,4.8%,9,1.6%,9,5.1%,11,1.1%,0.9%,0.0%,1,0,22,2.9%
19,AI/AN,282,13.2%,83,20.9%,81,14.4%,6,3.4%,111,11.2%,19.3%,21.1%,21,4,93,12.4%
20,Asian,67,3.1%,17,4.3%,43,7.7%,5,2.8%,2,0.2%,8.3%,10.5%,9,2,55,7.3%
21,NHOPI,76,3.6%,16,4.0%,30,5.3%,1,0.6%,29,2.9%,13.8%,5.3%,15,1,25,3.3%
22,Multiple,61,2.9%,16,4.0%,24,4.3%,7,4.0%,14,1.4%,0.0%,0.0%,0,0,32,4.2%
23,Other,38,1.8%,7,1.8%,14,2.5%,8,4.5%,9,0.9%,4.6%,0.0%,5,0,20,2.7%
24,Unknown Race,809,37.9%,27,6.8%,52,9.3%,14,8.0%,714,72.0%,10.1%,5.3%,11,1,39,5.2%
