ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,2031,48.9%,304,48.4%,439,49.2%,116,53.2%,1152,48.4%,57.2%,64.3%,99,18,592,49.2%
2,Female,2124,51.1%,324,51.6%,454,50.8%,102,46.8%,1229,51.6%,42.8%,35.7%,74,10,612,50.8%
3,Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,203,4.9%,13,2.1%,57,6.4%,3,1.4%,130,5.5%,0.0%,0.0%,0,0,52,4.3%
5,10-19 Years,439,10.6%,47,7.5%,84,9.4%,24,11.0%,276,11.6%,0.6%,0.0%,1,0,114,9.5%
6,20-29 Years,1011,24.3%,163,26.0%,225,25.2%,37,17.0%,577,24.2%,6.9%,0.0%,12,0,298,24.8%
7,30-39 Years,772,18.6%,130,20.7%,164,18.4%,44,20.2%,429,18.0%,9.2%,7.1%,16,2,245,20.3%
8,40-49 Years,585,14.1%,100,15.9%,105,11.8%,38,17.4%,334,14.0%,10.4%,3.6%,18,1,165,13.7%
9,50-59 Years,519,12.5%,77,12.3%,129,14.4%,30,13.8%,282,11.8%,17.3%,10.7%,30,3,160,13.3%
10,60-69 Years,385,9.3%,58,9.2%,78,8.7%,26,11.9%,220,9.2%,21.4%,14.3%,37,4,115,9.6%
11,70-79 Years,176,4.2%,31,4.9%,30,3.4%,15,6.9%,100,4.2%,23.7%,46.4%,41,13,44,3.7%
12,80+ Years,66,1.6%,9,1.4%,21,2.4%,1,0.5%,34,1.4%,10.4%,17.9%,18,5,11,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,216,5.2%,49,7.8%,82,9.2%,26,11.9%,57,2.4%,5.8%,0.0%,10,0,120,10.0%
15,Non-Hispanic,1603,38.6%,471,75.0%,594,66.5%,156,71.6%,367,15.4%,77.5%,100.0%,134,28,919,76.3%
16,UI Ethnicity,1958,47.1%,0,0.0%,0,0.0%,0,0.0%,1958,82.2%,12.1%,0.0%,21,0,15,1.2%
17,Unknown Ethnicity,379,9.1%,108,17.2%,217,24.3%,36,16.5%,0,0.0%,4.6%,0.0%,8,0,150,12.5%
18,White,1041,25.0%,285,45.4%,381,42.7%,148,67.9%,222,9.3%,33.5%,42.9%,58,12,611,50.7%
19,Black,145,3.5%,40,6.4%,37,4.1%,14,6.4%,52,2.2%,3.5%,0.0%,6,0,62,5.1%
20,AI/AN,580,14.0%,133,21.2%,148,16.6%,9,4.1%,282,11.8%,24.3%,35.7%,42,10,194,16.1%
21,Asian,111,2.7%,25,4.0%,47,5.3%,8,3.7%,30,1.3%,6.9%,7.1%,12,2,69,5.7%
22,NHOPI,174,4.2%,41,6.5%,59,6.6%,1,0.5%,73,3.1%,17.9%,14.3%,31,4,66,5.5%
23,Multiple,118,2.8%,26,4.1%,32,3.6%,8,3.7%,51,2.1%,0.6%,0.0%,1,0,50,4.2%
24,Other,105,2.5%,12,1.9%,23,2.6%,10,4.6%,59,2.5%,3.5%,0.0%,6,0,37,3.1%
25,UI Race,1613,38.8%,0,0.0%,0,0.0%,0,0.0%,1613,67.7%,7.5%,0.0%,13,0,13,1.1%
26,Unknown Race,269,6.5%,66,10.5%,166,18.6%,20,9.2%,0,0.0%,2.3%,0.0%,4,0,102,8.5%
