,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=224,929",,"N=19,880",,"N=2,382",,"N=1,022",
Female,121948,56%,10963,55%,1127,47%,538,53%
Male,96126,44%,8826,45%,1245,53%,484,47%
Other,13,<1%,42,<1%,<5,--,0,0%
Pending further information,6842,--,49,--,8,--,0,--
Age Group,,,,,,,,
0-9,7534,3%,604,3%,24,1%,0,0%
10-19,13263,6%,1235,6%,34,1%,<5,--
20-29,38792,17%,3346,17%,129,5%,<5,--
30-39,37266,17%,3230,16%,184,8%,7,1%
40-49,30761,14%,2967,15%,274,12%,16,2%
50-59,36191,16%,2988,15%,381,16%,47,5%
60-69,29634,13%,2105,11%,468,20%,106,10%
70-79,16839,7%,1372,7%,450,19%,245,24%
80-89,9591,4%,1224,6%,309,13%,326,32%
90-99,4638,2%,749,4%,119,5%,250,24%
100+,263,<1%,55,<1%,6,<1%,22,2%
Pending further information,157,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic/Latinx (any race),19946,26%,7274,46%,670,35%,93,11%
Black (non-Hispanic or ethnicity unknown),6883,9%,1896,12%,224,12%,53,6%
White (non-Hispanic or ethnicity unknown),43832,58%,5655,35%,877,46%,678,81%
Other race (non-Hispanic or ethnicity unknown),5208,7%,595,4%,66,3%,14,2%
Multiple races (non-Hispanic or ethnicity unknown),90,<1%,521,3%,87,5%,0,0%
"Unknown, declined, or pending further information",148970,--,3939,--,458,--,184,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,8/19/2020,,,,,,,
