Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22196,52.1%,754,52.5%,950,51.3%,198,52.8%,20000,52.1%,500,54.4%,111,60.7%,1
Female,20345,47.8%,681,47.5%,903,48.7%,177,47.2%,18329,47.8%,418,45.5%,72,39.3%,2
Unknown Sex,22,0.1%,0,0.0%,0,0.0%,0,0.0%,22,0.1%,1,0.1%,0,0.0%,3
<10 Years,2627,6.2%,30,2.1%,122,6.6%,9,2.4%,2452,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4980,11.7%,121,8.4%,211,11.4%,56,14.9%,4525,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8740,20.5%,403,28.1%,476,25.7%,62,16.5%,7687,20.0%,44,4.8%,3,1.6%,6
30-39 Years,8198,19.3%,260,18.1%,330,17.8%,78,20.8%,7423,19.4%,81,8.8%,5,2.7%,7
40-49 Years,6007,14.1%,215,15.0%,233,12.6%,58,15.5%,5429,14.2%,84,9.1%,7,3.8%,8
50-59 Years,5516,13.0%,176,12.3%,238,12.8%,50,13.3%,4990,13.0%,150,16.3%,13,7.1%,9
60-69 Years,3973,9.3%,148,10.3%,135,7.3%,39,10.4%,3579,9.3%,204,22.2%,36,19.7%,10
70-79 Years,1773,4.2%,55,3.8%,69,3.7%,22,5.9%,1595,4.2%,197,21.4%,54,29.5%,11
80+ Years,749,1.8%,27,1.9%,39,2.1%,1,0.3%,671,1.7%,144,15.7%,65,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2377,5.6%,113,7.9%,175,9.4%,40,10.7%,2025,5.3%,45,4.9%,4,2.2%,14
Non-Hispanic,22337,52.5%,1117,77.8%,1411,76.1%,287,76.5%,19367,50.5%,680,74.0%,148,80.9%,15
UI Ethnicity,16959,39.8%,0,0.0%,0,0.0%,0,0.0%,16959,44.2%,174,18.9%,21,11.5%,16
Unknown Ethnicity,890,2.1%,205,14.3%,267,14.4%,48,12.8%,0,0.0%,20,2.2%,10,5.5%,17
White,13383,31.4%,645,44.9%,791,42.7%,225,60.0%,11599,30.2%,299,32.5%,67,36.6%,18
Black,1138,2.7%,91,6.3%,115,6.2%,21,5.6%,899,2.3%,36,3.9%,7,3.8%,19
AI/AN,8644,20.3%,355,24.7%,417,22.5%,43,11.5%,7760,20.2%,240,26.1%,67,36.6%,20
Asian,1734,4.1%,74,5.2%,97,5.2%,18,4.8%,1531,4.0%,81,8.8%,19,10.4%,21
NHOPI,1247,2.9%,73,5.1%,133,7.2%,4,1.1%,1034,2.7%,105,11.4%,11,6.0%,22
Multiple,3401,8.0%,73,5.1%,90,4.9%,13,3.5%,3196,8.3%,61,6.6%,5,2.7%,23
Other,5444,12.8%,36,2.5%,50,2.7%,16,4.3%,5219,13.6%,41,4.5%,3,1.6%,24
UI Race,7113,16.7%,0,0.0%,0,0.0%,0,0.0%,7113,18.5%,49,5.3%,4,2.2%,25
Unknown Race,459,1.1%,88,6.1%,160,8.6%,35,9.3%,0,0.0%,7,0.8%,0,0.0%,26
