Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,19611,51.7%,744,52.5%,936,51.1%,196,52.7%,17490,51.6%,464,55.0%,93,60.4%,1
Female,18329,48.3%,672,47.5%,896,48.9%,176,47.3%,16365,48.3%,380,45.0%,61,39.6%,2
Unknown Sex,22,0.1%,0,0.0%,0,0.0%,0,0.0%,22,0.1%,0,0.0%,0,0.0%,3
<10 Years,2278,6.0%,30,2.1%,121,6.6%,9,2.4%,2107,6.2%,8,0.9%,0,0.0%,4
10-19 Years,4496,11.8%,121,8.5%,210,11.5%,55,14.8%,4051,12.0%,7,0.8%,0,0.0%,5
20-29 Years,7811,20.6%,402,28.4%,475,25.9%,62,16.7%,6776,20.0%,43,5.1%,2,1.3%,6
30-39 Years,7252,19.1%,260,18.4%,327,17.8%,77,20.7%,6495,19.2%,75,8.9%,5,3.2%,7
40-49 Years,5414,14.3%,215,15.2%,232,12.7%,58,15.6%,4845,14.3%,80,9.5%,7,4.5%,8
50-59 Years,4910,12.9%,175,12.4%,239,13.0%,49,13.2%,4396,13.0%,138,16.4%,10,6.5%,9
60-69 Years,3536,9.3%,144,10.2%,134,7.3%,39,10.5%,3160,9.3%,188,22.3%,31,20.1%,10
70-79 Years,1596,4.2%,52,3.7%,61,3.3%,22,5.9%,1435,4.2%,180,21.3%,45,29.2%,11
80+ Years,669,1.8%,17,1.2%,33,1.8%,1,0.3%,612,1.8%,125,14.8%,54,35.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1916,5.0%,112,7.9%,174,9.5%,39,10.5%,1573,4.6%,40,4.7%,4,2.6%,14
Non-Hispanic,17768,46.8%,1102,77.8%,1390,75.9%,286,76.9%,14884,43.9%,595,70.5%,123,79.9%,15
UI Ethnicity,17420,45.9%,0,0.0%,0,0.0%,0,0.0%,17420,51.4%,194,23.0%,24,15.6%,16
Unknown Ethnicity,858,2.3%,202,14.3%,268,14.6%,47,12.6%,0,0.0%,15,1.8%,3,1.9%,17
White,11044,29.1%,638,45.1%,781,42.6%,225,60.5%,9320,27.5%,262,31.0%,54,35.1%,18
Black,989,2.6%,91,6.4%,115,6.3%,21,5.6%,754,2.2%,34,4.0%,7,4.5%,19
AI/AN,7668,20.2%,348,24.6%,409,22.3%,43,11.6%,6803,20.1%,224,26.5%,56,36.4%,20
Asian,1416,3.7%,72,5.1%,95,5.2%,18,4.8%,1225,3.6%,66,7.8%,15,9.7%,21
NHOPI,1097,2.9%,73,5.2%,133,7.3%,4,1.1%,884,2.6%,94,11.1%,10,6.5%,22
Multiple,2770,7.3%,71,5.0%,90,4.9%,13,3.5%,2569,7.6%,59,7.0%,6,3.9%,23
Other,4660,12.3%,35,2.5%,49,2.7%,15,4.0%,4445,13.1%,38,4.5%,3,1.9%,24
UI Race,7877,20.7%,0,0.0%,0,0.0%,0,0.0%,7877,23.3%,60,7.1%,3,1.9%,25
Unknown Race,441,1.2%,88,6.2%,160,8.7%,33,8.9%,0,0.0%,7,0.8%,0,0.0%,26
