Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,33174,52.1%,1086,51.7%,1418,50.0%,275,52.5%,29899,52.2%,781,54.8%,198,60.2%,1
Female,30486,47.9%,1013,48.3%,1419,50.0%,249,47.5%,27337,47.7%,645,45.2%,131,39.8%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4574,7.2%,64,3.0%,263,9.3%,18,3.4%,4185,7.3%,15,1.1%,0,0.0%,4
10-19 Years,8237,12.9%,209,10.0%,376,13.3%,70,13.4%,7479,13.1%,15,1.1%,0,0.0%,5
20-29 Years,12961,20.4%,531,25.3%,608,21.4%,88,16.8%,11541,20.2%,58,4.1%,4,1.2%,6
30-39 Years,12053,18.9%,365,17.4%,461,16.2%,91,17.4%,10980,19.2%,119,8.3%,6,1.8%,7
40-49 Years,8704,13.7%,293,14.0%,331,11.7%,79,15.1%,7881,13.8%,144,10.1%,15,4.6%,8
50-59 Years,8124,12.8%,258,12.3%,356,12.5%,70,13.4%,7326,12.8%,242,17.0%,21,6.4%,9
60-69 Years,5603,8.8%,217,10.3%,210,7.4%,68,13.0%,4974,8.7%,322,22.6%,65,19.8%,10
70-79 Years,2414,3.8%,105,5.0%,130,4.6%,35,6.7%,2080,3.6%,295,20.7%,100,30.4%,11
80+ Years,1005,1.6%,57,2.7%,102,3.6%,5,1.0%,805,1.4%,216,15.1%,118,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3274,5.1%,137,6.5%,220,7.8%,56,10.7%,2826,4.9%,74,5.2%,15,4.6%,14
Non-Hispanic,33822,53.1%,1681,80.1%,2223,78.4%,398,76.0%,29122,50.9%,1075,75.4%,308,93.6%,15
UI Ethnicity,25303,39.7%,0,0.0%,0,0.0%,0,0.0%,25303,44.2%,256,18.0%,4,1.2%,16
Unknown Ethnicity,1276,2.0%,281,13.4%,394,13.9%,70,13.4%,0,0.0%,21,1.5%,2,0.6%,17
White,21021,33.0%,869,41.4%,1113,39.2%,312,59.5%,18468,32.3%,508,35.6%,144,43.8%,18
Black,1542,2.4%,96,4.6%,132,4.7%,22,4.2%,1275,2.2%,50,3.5%,10,3.0%,19
AI/AN,13337,20.9%,712,33.9%,867,30.6%,74,14.1%,11469,20.0%,382,26.8%,117,35.6%,20
Asian,2490,3.9%,94,4.5%,167,5.9%,22,4.2%,2176,3.8%,121,8.5%,32,9.7%,21
NHOPI,1654,2.6%,80,3.8%,160,5.6%,4,0.8%,1401,2.4%,133,9.3%,18,5.5%,22
Multiple,4836,7.6%,87,4.1%,122,4.3%,20,3.8%,4567,8.0%,77,5.4%,6,1.8%,23
Other,7473,11.7%,55,2.6%,75,2.6%,20,3.8%,7181,12.5%,62,4.3%,1,0.3%,24
UI Race,10714,16.8%,0,0.0%,0,0.0%,0,0.0%,10714,18.7%,84,5.9%,0,0.0%,25
Unknown Race,608,1.0%,106,5.1%,201,7.1%,50,9.5%,0,0.0%,9,0.6%,1,0.3%,26
