section,category,description,date,metric,value
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Cases,66669
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Hospitalized,7444
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Counties,63
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,People Tested,848906
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Test Encounters,1245745
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Deaths Among Cases,2030
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Deaths Due to COVID-19,1926
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Outbreaks,717
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Confirmed cases,61983
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Percent of confirmed cases,0.9297
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Probable cases,4686
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Percent of probable cases,0.0703
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Confirmed deaths among cases,1676
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Percent of confirmed deaths among cases,0.8256
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Probable deaths among cases,354
State Data,Colorado COVID-19 Data,Cumulative counts to date,NA,Percent of probable deaths among cases,0.1744
State Metrics,Cases,Cases Reported Today,NA,Current,493
State Metrics,Cases,Cases Reported Today,NA,Change,-102
State Metrics,Cases,Cases Added with Previous Reported Date,NA,Current,123
State Metrics,Cases,7-Day Moving Average of Cases Reported,NA,Current,544
State Metrics,Cases,7-Day Moving Average of Cases Reported,NA,Change,1
State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,NA,Current,113.7
State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,NA,Change,3.3
State Metrics,Hospitalizations,New Hospital Admissions,NA,Current,22
State Metrics,Hospitalizations,New Hospital Admissions,NA,Change,2
State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,NA,Current,22
State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,NA,Change,1
State Metrics,Hospitalizations,Adult Critical Care Ventilators in Use,NA,Current,0.3
State Metrics,Hospitalizations,Available Hospital Beds Occupied by Confirmed and Suspected COVID Patients,NA,Current,0.03
State Metrics,Positivity and COVID Visits,State Positivity Rate,NA,Current,0.0418
State Metrics,Positivity and COVID Visits,State Positivity Rate,NA,Change,0.0062
State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,NA,Current,0.0349
State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,NA,Change,0.0017
State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,NA,Current,0.0122
State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,NA,Change,0.0027
State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,NA,Current,0.0395
State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,NA,Change,0.0057
State Metrics,Testing,"Tests per 1,000 People",NA,Current,2.3
State Metrics,Testing,"Tests per 1,000 People",NA,Change,0
State Metrics,Testing,"7-Day Average of Tests per 1,000 People",NA,Current,2.3
State Metrics,Testing,"7-Day Average of Tests per 1,000 People",NA,Change,0.1
State Metrics,Testing,New Individual People Tested,NA,Current,13435
State Metrics,Testing,New Individual People Tested,NA,Change,395
State Metrics,Testing,New Test Encounters,NA,Current,13457
State Metrics,Testing,New Test Encounters,NA,Change,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-05,Counts,7
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-06,Counts,0
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-07,Counts,0
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-08,Counts,0
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-09,Counts,5
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-10,Counts,6
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-11,Counts,18
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-12,Counts,10
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-13,Counts,26
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-14,Counts,29
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-15,Counts,34
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-16,Counts,35
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-17,Counts,30
