Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34578,52.1%,1130,51.9%,1470,50.1%,290,52.7%,31169,52.2%,829,54.9%,207,60.3%,1
Female,31744,47.8%,1047,48.1%,1465,49.9%,260,47.3%,28488,47.7%,681,45.1%,136,39.7%,2
Unknown Sex,28,0.0%,0,0.0%,0,0.0%,0,0.0%,28,0.0%,0,0.0%,0,0.0%,3
<10 Years,4846,7.3%,70,3.2%,278,9.5%,18,3.3%,4433,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8658,13.0%,217,10.0%,394,13.4%,72,13.1%,7870,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13605,20.5%,541,24.9%,627,21.4%,94,17.1%,12139,20.3%,62,4.1%,6,1.7%,6
30-39 Years,12513,18.9%,379,17.4%,473,16.1%,96,17.5%,11404,19.1%,122,8.1%,7,2.0%,7
40-49 Years,9028,13.6%,300,13.8%,344,11.7%,82,14.9%,8174,13.7%,153,10.1%,16,4.7%,8
50-59 Years,8398,12.7%,273,12.5%,362,12.3%,78,14.2%,7567,12.7%,264,17.5%,23,6.7%,9
60-69 Years,5787,8.7%,229,10.5%,220,7.5%,69,12.5%,5132,8.6%,337,22.3%,67,19.5%,10
70-79 Years,2490,3.8%,107,4.9%,135,4.6%,36,6.5%,2145,3.6%,317,21.0%,105,30.6%,11
80+ Years,1025,1.5%,61,2.8%,102,3.5%,5,0.9%,821,1.4%,224,14.8%,119,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3369,5.1%,139,6.4%,223,7.6%,57,10.4%,2914,4.9%,76,5.0%,16,4.7%,14
Non-Hispanic,34781,52.4%,1752,80.5%,2304,78.5%,415,75.5%,29892,50.1%,1127,74.6%,321,93.6%,15
UI Ethnicity,26879,40.5%,0,0.0%,0,0.0%,0,0.0%,26879,45.0%,285,18.9%,4,1.2%,16
Unknown Ethnicity,1321,2.0%,286,13.1%,408,13.9%,78,14.2%,0,0.0%,22,1.5%,2,0.6%,17
White,21947,33.1%,907,41.7%,1155,39.4%,325,59.1%,19290,32.3%,552,36.6%,152,44.3%,18
Black,1602,2.4%,98,4.5%,133,4.5%,22,4.0%,1331,2.2%,53,3.5%,10,2.9%,19
AI/AN,13781,20.8%,742,34.1%,900,30.7%,77,14.0%,11839,19.8%,388,25.7%,120,35.0%,20
Asian,2545,3.8%,95,4.4%,175,6.0%,25,4.5%,2219,3.7%,125,8.3%,33,9.6%,21
NHOPI,1707,2.6%,81,3.7%,161,5.5%,4,0.7%,1452,2.4%,137,9.1%,20,5.8%,22
Multiple,4984,7.5%,89,4.1%,127,4.3%,22,4.0%,4705,7.9%,79,5.2%,6,1.7%,23
Other,7680,11.6%,57,2.6%,76,2.6%,21,3.8%,7383,12.4%,70,4.6%,1,0.3%,24
UI Race,11466,17.3%,0,0.0%,0,0.0%,0,0.0%,11466,19.2%,97,6.4%,0,0.0%,25
Unknown Race,638,1.0%,108,5.0%,208,7.1%,54,9.8%,0,0.0%,9,0.6%,1,0.3%,26
