Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34771,52.1%,1147,51.9%,1493,50.0%,296,52.6%,31303,52.3%,841,54.8%,211,60.8%,1
Female,31883,47.8%,1062,48.1%,1493,50.0%,267,47.4%,28570,47.7%,695,45.2%,136,39.2%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4895,7.3%,73,3.3%,287,9.6%,20,3.6%,4467,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8713,13.1%,223,10.1%,408,13.7%,73,13.0%,7902,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13673,20.5%,546,24.7%,632,21.2%,97,17.2%,12190,20.3%,66,4.3%,6,1.7%,6
30-39 Years,12576,18.9%,383,17.3%,481,16.1%,98,17.4%,11450,19.1%,124,8.1%,7,2.0%,7
40-49 Years,9056,13.6%,305,13.8%,348,11.7%,82,14.6%,8186,13.7%,156,10.2%,16,4.6%,8
50-59 Years,8433,12.6%,276,12.5%,368,12.3%,81,14.4%,7588,12.7%,269,17.5%,24,6.9%,9
60-69 Years,5806,8.7%,234,10.6%,221,7.4%,71,12.6%,5143,8.6%,342,22.3%,67,19.3%,10
70-79 Years,2503,3.8%,108,4.9%,136,4.6%,36,6.4%,2156,3.6%,323,21.0%,107,30.8%,11
80+ Years,1028,1.5%,61,2.8%,105,3.5%,5,0.9%,820,1.4%,225,14.6%,120,34.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3381,5.1%,139,6.3%,224,7.5%,58,10.3%,2924,4.9%,80,5.2%,16,4.6%,14
Non-Hispanic,34933,52.4%,1779,80.5%,2351,78.7%,425,75.5%,29950,50.0%,1139,74.2%,326,93.9%,15
UI Ethnicity,27028,40.5%,0,0.0%,0,0.0%,0,0.0%,27028,45.1%,294,19.1%,3,0.9%,16
Unknown Ethnicity,1341,2.0%,291,13.2%,411,13.8%,80,14.2%,0,0.0%,23,1.5%,2,0.6%,17
White,22061,33.1%,924,41.8%,1173,39.3%,330,58.6%,19358,32.3%,560,36.5%,156,45.0%,18
Black,1612,2.4%,98,4.4%,134,4.5%,22,3.9%,1338,2.2%,56,3.6%,10,2.9%,19
AI/AN,13834,20.7%,751,34.0%,917,30.7%,79,14.0%,11858,19.8%,390,25.4%,119,34.3%,20
Asian,2560,3.8%,96,4.3%,181,6.1%,26,4.6%,2225,3.7%,125,8.1%,33,9.5%,21
NHOPI,1717,2.6%,82,3.7%,161,5.4%,6,1.1%,1459,2.4%,140,9.1%,20,5.8%,22
Multiple,5005,7.5%,91,4.1%,132,4.4%,22,3.9%,4719,7.9%,82,5.3%,7,2.0%,23
Other,7708,11.6%,57,2.6%,77,2.6%,22,3.9%,7409,12.4%,74,4.8%,1,0.3%,24
UI Race,11536,17.3%,0,0.0%,0,0.0%,0,0.0%,11536,19.3%,99,6.4%,0,0.0%,25
Unknown Race,650,1.0%,110,5.0%,211,7.1%,56,9.9%,0,0.0%,10,0.7%,1,0.3%,26
