Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,35038,52.1%,1208,52.2%,1553,50.0%,302,51.7%,31426,52.3%,851,54.8%,220,60.8%,1
Female,32134,47.8%,1106,47.8%,1550,50.0%,282,48.3%,28684,47.7%,702,45.2%,142,39.2%,2
Unknown Sex,27,0.0%,0,0.0%,0,0.0%,0,0.0%,27,0.0%,0,0.0%,0,0.0%,3
<10 Years,4964,7.4%,79,3.4%,301,9.7%,22,3.8%,4511,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8812,13.1%,235,10.2%,433,14.0%,77,13.2%,7955,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13773,20.5%,573,24.8%,649,20.9%,97,16.6%,12241,20.4%,67,4.3%,6,1.7%,6
30-39 Years,12665,18.8%,404,17.5%,502,16.2%,103,17.6%,11488,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9116,13.6%,316,13.7%,356,11.5%,86,14.7%,8217,13.7%,159,10.2%,16,4.4%,8
50-59 Years,8493,12.6%,284,12.3%,381,12.3%,83,14.2%,7621,12.7%,271,17.5%,27,7.5%,9
60-69 Years,5834,8.7%,243,10.5%,231,7.4%,75,12.8%,5141,8.5%,347,22.3%,72,19.9%,10
70-79 Years,2513,3.7%,114,4.9%,144,4.6%,36,6.2%,2149,3.6%,328,21.1%,111,30.7%,11
80+ Years,1029,1.5%,66,2.9%,106,3.4%,5,0.9%,814,1.4%,224,14.4%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3406,5.1%,145,6.3%,225,7.3%,58,9.9%,2937,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35229,52.4%,1856,80.2%,2445,78.8%,443,75.9%,30041,50.0%,1158,74.6%,336,92.8%,15
UI Ethnicity,27159,40.4%,0,0.0%,0,0.0%,0,0.0%,27159,45.2%,288,18.5%,4,1.1%,16
Unknown Ethnicity,1405,2.1%,313,13.5%,433,14.0%,83,14.2%,0,0.0%,25,1.6%,4,1.1%,17
White,22268,33.1%,980,42.4%,1236,39.8%,341,58.4%,19412,32.3%,572,36.8%,165,45.6%,18
Black,1625,2.4%,108,4.7%,135,4.4%,22,3.8%,1340,2.2%,57,3.7%,10,2.8%,19
AI/AN,13942,20.7%,763,33.0%,941,30.3%,80,13.7%,11926,19.8%,393,25.3%,121,33.4%,20
Asian,2579,3.8%,102,4.4%,185,6.0%,28,4.8%,2230,3.7%,127,8.2%,35,9.7%,21
NHOPI,1733,2.6%,85,3.7%,166,5.3%,10,1.7%,1464,2.4%,141,9.1%,21,5.8%,22
Multiple,5052,7.5%,97,4.2%,141,4.5%,24,4.1%,4748,7.9%,84,5.4%,7,1.9%,23
Other,7726,11.5%,61,2.6%,78,2.5%,23,3.9%,7421,12.3%,73,4.7%,1,0.3%,24
UI Race,11596,17.3%,0,0.0%,0,0.0%,0,0.0%,11596,19.3%,95,6.1%,1,0.3%,25
Unknown Race,678,1.0%,118,5.1%,221,7.1%,56,9.6%,0,0.0%,11,0.7%,1,0.3%,26
